para,word
1,introduction
2,the
2,facebook
2,privacy
2,policy
2,is
2,designed
2,to
2,assist
2,you
2,in
2,understanding
2,how
2,we
2,collect
2,and
2,use
2,the
2,personal
2,information
2,that
2,you
2,provide
2,to
2,us
2,and
2,to
2,assist
2,you
2,in
2,making
2,informed
2,decisions
2,when
2,using
2,the
2,facebook
2,web
2,site
2,located
2,at
2,www.facebook.com
2,the
2,web
2,site
3,the
3,information
3,we
3,collect
4,when
4,you
4,visit
4,the
4,web
4,site
4,you
4,may
4,provide
4,us
4,with
4,two
4,types
4,of
4,information
4,personal
4,information
4,you
4,knowingly
4,choose
4,to
4,disclose
4,that
4,is
4,collected
4,by
4,us
4,and
4,web
4,site
4,use
4,information
4,collected
4,by
4,us
4,on
4,an
4,aggregate
4,basis
4,as
4,you
4,and
4,others
4,browse
4,our
4,web
4,site
5,when
5,you
5,register
5,on
5,the
5,web
5,site
5,you
5,provide
5,us
5,with
5,certain
5,personal
5,information
5,such
5,as
5,your
5,name
5,your
5,email
5,address
5,your
5,telephone
5,number
5,your
5,address
5,your
5,gender
5,schools
5,attended
5,and
5,any
5,other
5,personal
5,or
5,preference
5,information
5,that
5,you
5,provide
5,to
5,us
6,when
6,you
6,enter
6,our
6,web
6,site
6,we
6,collect
6,the
6,user's
6,browser
6,type
6,and
6,ip
6,address
6,this
6,information
6,is
6,gathered
6,for
6,all
6,users
6,to
6,the
6,web
6,site
6,in
6,addition
6,we
6,store
6,certain
6,information
6,from
6,your
6,browser
6,using
6,cookies
6,a
6,cookie
6,is
6,a
6,piece
6,of
6,data
6,stored
6,on
6,the
6,user's
6,computer
6,tied
6,to
6,information
6,about
6,the
6,user
6,we
6,use
6,session
6,id
6,cookies
6,to
6,confirm
6,that
6,users
6,are
6,logged
6,in
6,these
6,cookies
6,terminate
6,once
6,the
6,users
6,close
6,the
6,browser
6,we
6,do
6,not
6,use
6,cookies
6,to
6,collect
6,private
6,information
6,from
6,any
6,user
7,facebook
7,also
7,collects
7,information
7,about
7,you
7,from
7,other
7,sources
7,such
7,as
7,newspapers
7,and
7,instant
7,messaging
7,services
7,this
7,information
7,is
7,gathered
7,regardless
7,of
7,your
7,use
7,of
7,the
7,web
7,site
8,children
8,under
8,age
8,13
9,facebook
9,does
9,not
9,knowingly
9,collect
9,or
9,solicit
9,personal
9,information
9,from
9,anyone
9,under
9,the
9,age
9,of
9,13
9,or
9,allow
9,such
9,persons
9,to
9,register
9,if
9,you
9,are
9,under
9,13
9,please
9,do
9,not
9,send
9,any
9,information
9,about
9,yourself
9,to
9,us
9,including
9,information
9,like
9,your
9,name
9,address
9,telephone
9,number
9,or
9,e
9,mail
9,address
9,no
9,one
9,under
9,age
9,13
9,is
9,allowed
9,to
9,provide
9,any
9,personal
9,information
9,or
9,use
9,our
9,public
9,forums
9,in
9,the
9,event
9,that
9,we
9,learn
9,that
9,we
9,have
9,collected
9,personal
9,information
9,from
9,a
9,child
9,under
9,age
9,13
9,without
9,verification
9,of
9,parental
9,consent
9,we
9,will
9,delete
9,that
9,information
9,as
9,quickly
9,as
9,possible
9,if
9,you
9,believe
9,that
9,we
9,might
9,have
9,any
9,information
9,from
9,or
9,about
9,a
9,child
9,under
9,13
9,please
9,contact
9,us
9,at:info
9,facebook.com
10,children
10,between
10,the
10,ages
10,of
10,13
10,and
10,18
11,we
11,recommend
11,that
11,minors
11,over
11,the
11,age
11,of
11,13
11,ask
11,their
11,parents
11,for
11,permission
11,before
11,sending
11,any
11,information
11,about
11,themselves
11,to
11,anyone
11,over
11,the
11,internet
12,use
12,of
12,information
12,obtained
12,by
12,facebook
13,when
13,you
13,register
13,on
13,the
13,web
13,site
