para,word
1,platform
1,application
1,terms
1,of
1,use
2,last
2,updated
2,may
2,24
2,2007
3,i
3,introduction
4,the
4,terms
4,and
4,conditions
4,below
4,describe
4,the
4,terms
4,applicable
4,to
4,your
4,installation
4,and
4,use
4,of
4,certain
4,applications
4,which
4,use
4,the
4,facebook
4,platform
4,as
4,defined
4,below
4,to
4,access
4,certain
4,information
4,about
4,you
4,that
4,is
4,available
4,from
4,the
4,www.facebook.com
4,website
4,the
4,facebook
4,site
4,or
4,to
4,retrieve
4,authorized
4,data
4,from
4,third
4,party
4,sites
4,for
4,use
4,on
4,the
4,facebook
4,site
4,platform
4,applications
5,the
5,facebook
5,platform
5,is
5,a
5,set
5,of
5,application
5,programming
5,interfaces
5,apis
5,and
5,services
5,provided
5,by
5,facebook
5,which
5,makes
5,this
5,information
5,available
5,to
5,platform
5,applications
5,and
5,allows
5,facebook
5,and
5,third
5,party
5,developers
5,developers
5,to
5,develop
5,new
5,features
5,and
5,applications
5,that
5,we
5,hope
5,will
5,enhance
5,your
5,ability
5,to
5,interact
5,with
5,people
5,in
5,your
5,life
5,in
5,new
5,and
5,interesting
5,ways
6,please
6,note
6,the
6,facebook
6,platform
6,does
6,not
6,give
6,developers
6,access
6,to
6,your
6,e
6,mail
6,address
6,personal
6,website
6,instant
6,messenger
6,id
6,telephone
6,number
6,or
6,street
6,address
6,contact
6,information
6,facebook
6,will
6,only
6,disclose
6,your
6,contact
6,information
6,to
6,third
6,parties
6,in
6,accordance
6,with
6,the
6,facebook
6,privacy
6,policy
7,ii
7,consent
7,regarding
7,use
7,of
7,facebook
7,site
7,information
8,a
8,information
8,that
8,may
8,be
8,provided
8,to
8,developers
8,in
8,order
8,to
8,allow
8,you
8,to
8,use
8,and
8,participate
8,in
8,platform
8,applications
8,created
8,by
8,developers
8,developer
8,applications
8,facebook
8,may
8,from
8,time
8,to
8,time
8,provide
8,developers
8,access
8,to
8,the
8,following
8,information
8,collectively
8,the
8,facebook
8,site
8,information
9,i
9,any
9,information
9,provided
9,by
9,you
9,and
9,visible
9,to
9,you
9,on
9,the
9,facebook
9,site
9,excluding
9,any
9,of
9,your
9,contact
9,information
9,and
10,ii
10,the
10,user
10,id
10,associated
10,with
10,your
10,facebook
10,site
10,profile
11,b
11,examples
11,of
11,facebook
11,site
11,information
11,the
11,facebook
11,site
11,information
11,may
11,include
11,without
11,limitation
11,the
11,following
11,information
11,to
11,the
11,extent
11,visible
11,on
11,the
11,facebook
11,site
11,your
11,name
11,your
11,profile
11,picture
11,your
11,gender
11,your
11,birthday
11,your
11,hometown
11,location
11,city
11,state
11,country
11,your
11,current
11,location
11,city
11,state
11,country
11,your
11,political
11,view
11,your
11,activities
11,your
11,interests
11,your
11,musical
11,preferences
11,television
11,shows
11,in
11,which
11,you
11,are
11,interested
11,movies
11,in
11,which
11,you
11,are
11,interested
11,books
11,in
11,which
11,you
11,are
11,interested
11,your
11,favorite
11,quotes
11,the
11,text
11,of
11,your
11,about
11,me
11,section
11,your
11,relationship
11,status
11,your
11,dating
11,interests
11,your
11,relationship
11,interests
11,your
11,summer
11,plans
11,your
11,facebook
11,user
11,network
11,affiliations
11,your
11,education
11,history
11,your
11,work
11,history
11,your
11,course
11,information
11,copies
11,of
11,photos
11,in
11,your
11,facebook
11,site
11,photo
11,albums
11,metadata
11,associated
11,with
11,your
11,facebook
11,site
11,photo
11,albums
11,e.g
11,time
11,of
11,upload
11,album
11,name
11,comments
11,on
11,your
11,photos
11,etc
11,the
11,total
11,number
11,of
11,messages
11,sent
11,and
11,or
11,received
11,by
11,you
11,the
11,total
11,number
11,of
11,unread
11,messages
11,in
11,your
11,facebook
11,in
11,box
11,the
11,total
11,number
11,of
11,pokes
11,you
11,have
11,sent
11,and
11,or
11,received
11,the
11,total
11,number
11,of
11,wall
11,posts
11,on
11,your
11,wall
11,a
11,list
11,of
11,user
11,ids
11,mapped
11,to
11,your
11,facebook
11,friends
11,your
11,social
11,timeline
11,and
11,events
11,associated
11,with
11,your
11,facebook
11,profile
12,c
12,privacy
12,settings
12,you
12,may
12,revoke
12,or
12,modify
12,your
12,permission
12,for
12,facebook
12,to
12,provide
12,facebook
12,site
12,information
12,to
12,developers
12,at
12,any
12,time
12,through
12,the
12,means
12,provided
12,in
12,your
12,privacy
12,settings
13,d
13,developer
13,agreement
13,before
13,providing
13,any
13,information
13,to
13,any
13,developer
13,through
13,the
13,facebook
13,platform
13,facebook
13,requires
13,each
13,developer
13,to
13,enter
13,into
13,an
13,agreement
13,a
13,developer
13,agreement
13,which
13,among
13,other
13,things
13,strictly
13,limits
13,their
13,collection
13,use
13,and
13,storage
13,of
13,facebook
13,site
13,information
13,our
13,standard
13,developer
13,agreement
13,consists
13,of
13,the
13,facebook
13,developer
13,terms
13,of
13,service
13,and
13,the
13,related
13,facebook
13,platform
13,application
13,guidelines
13,we
13,may
13,from
13,time
13,to
13,time
13,enter
13,into
13,separate
13,agreements
13,with
13,certain
13,third
13,party
13,developers
13,that
13,contain
13,different
13,or
13,additional
13,terms
13,provided
13,however
13,that
13,each
13,such
13,separate
13,agreement
13,will
13,require
13,the
13,third
13,party
13,developer
13,to
13,only
13,display
13,your
13,information
13,in
13,accordance
13,with
13,your
13,facebook
13,privacy
13,settings
13,the
13,standard
13,developer
13,agreement
13,is
13,subject
13,to
13,change
13,without
13,prior
13,notice
13,at
13,any
13,time
13,in
13,the
13,company's
13,sole
13,discretion
13,so
13,you
13,should
13,review
13,these
13,terms
13,from
13,time
13,to
13,time
13,however
13,facebook
13,cannot
13,guarantee
13,that
13,each
13,developer
13,will
13,comply
13,with
13,its
13,contractual
13,requirements
13,and
13,facebook
13,does
13,not
13,assume
13,any
13,liability
13,or
13,responsibility
13,for
13,any
13,of
13,developer's
13,actions
13,developer
13,applications
13,or
13,websites
13,or
13,for
13,enforcing
13,any
13,developer
13,agreement
13,against
13,any
13,developer
14,e
14,facebook
14,applications
14,platform
14,applications
14,developed
14,by
14,facebook
14,facebook
14,applications
14,may
14,also
14,make
14,use
14,of
14,facebook
14,site
14,information
14,facebook
14,will
14,use
14,and
14,disclose
14,facebook
14,site
14,information
14,in
14,connection
14,with
14,facebook
14,applications
14,only
14,in
14,accordance
14,with
14,the
14,facebook
14,privacy
14,policy
15,iii
15,use
15,of
15,platform
15,applications
16,a
16,developer
16,applications
16,when
16,you
16,install
16,a
16,developer
16,application
16,you
16,understand
16,that
16,such
16,developer
16,application
16,has
16,not
16,been
16,approved
16,endorsed
16,or
16,reviewed
16,in
16,any
16,manner
16,by
16,facebook
16,and
16,we
16,are
16,not
16,responsible
16,for
16,your
16,use
16,of
16,or
16,inability
16,to
16,use
16,any
16,developer
16,applications
16,including
16,without
16,limitation
16,the
16,content
16,accuracy
16,or
16,reliability
16,of
16,such
16,developer
16,application
16,and
16,the
16,privacy
16,practices
16,or
16,other
16,policies
16,of
16,the
16,developer
16,you
16,use
16,such
16,developer
16,applications
16,at
16,your
16,own
16,risk
16,developers
16,may
16,require
16,you
16,to
16,agree
16,to
16,their
16,own
16,terms
16,of
16,service
16,privacy
16,policies
16,and
16,or
16,other
16,policies
16,as
16,a
16,condition
16,of
16,using
16,developer
16,applications
16,those
16,terms
16,and
16,or
16,policies
16,may
16,give
16,developers
16,rights
16,with
16,respect
16,to
16,your
16,facebook
16,site
16,information
16,beyond
16,those
16,provided
16,by
16,the
16,developer
16,agreement
16,please
16,review
16,each
16,developer's
16,terms
16,and
16,or
16,policies
16,carefully
17,b
17,facebook
17,applications
17,facebook
17,applications
17,are
17,made
17,available
17,to
17,you
17,for
17,your
17,personal
17,non
17,commercial
17,use
17,only
17,if
17,you
17,want
17,to
17,sell
17,license
17,or
17,otherwise
17,distribute
17,any
17,facebook
17,application
17,reproduce
17,or
17,modify
17,any
17,facebook
17,application
17,or
17,use
17,any
17,facebook
17,application
17,for
17,any
17,commercial
17,purpose
17,you
17,must
17,obtain
17,facebook's
17,prior
17,written
17,consent
17,facebook
17,may
17,require
17,you
17,to
17,agree
17,to
17,additional
17,or
17,different
17,terms
17,of
17,use
17,and
17,may
17,notify
17,you
17,of
17,additional
17,or
17,different
17,policies
17,that
17,may
17,apply
17,to
17,particular
17,facebook
17,applications
18,c
18,facebook
18,terms
18,of
18,use
18,you
18,understand
18,and
18,agree
18,that
18,your
18,use
18,of
18,any
18,platform
18,application
18,is
18,subject
18,to
18,and
18,you
18,agree
18,to
18,comply
18,with
18,all
18,terms
18,and
18,conditions
18,of
18,the
18,facebook
18,site
18,terms
18,of
18,use
18,including
18,without
18,limitations
18,all
18,disclaimers
18,and
18,limitations
18,of
18,liability
18,contained
18,therein
18,to
18,the
18,extent
18,these
18,platform
18,application
18,terms
18,of
18,use
18,directly
18,contradict
18,such
18,facebook
18,site
18,terms
18,of
18,use
18,these
18,platfrom
18,application
18,terms
18,of
18,use
18,shall
18,control
18,without
18,limiting
18,the
18,foregoing
18,all
18,restrictions
18,on
18,user
18,conduct
18,set
18,forth
18,in
18,the
18,facebook
18,site
18,terms
18,of
18,use
18,also
18,apply
18,to
18,your
18,use
18,of
18,and
18,all
18,information
18,and
18,content
18,you
18,provide
18,on
18,or
18,through
18,any
18,platform
18,applications
18,and
18,to
18,your
18,conduct
18,in
18,using
18,any
18,platform
18,applications
19,d
19,you
19,acknowledge
19,that
19,developers
19,or
19,facebook
19,or
19,its
19,licensors
19,own
19,all
19,right
19,title
19,and
19,interest
19,in
19,and
19,to
19,any
19,and
19,all
19,platform
19,applications
19,portions
19,thereof
19,and
19,or
19,content
19,or
19,software
19,provided
19,through
19,or
19,in
19,conjunction
19,with
19,any
19,platform
19,applications
19,including
19,without
19,limitation
19,any
19,and
19,all
