para,word
1,platform
1,application
1,guidelines
2,date
2,of
2,last
2,revision
2,may
2,25
2,2007
3,the
3,facebook
3,platform
3,is
3,a
3,set
3,of
3,apis
3,and
3,tools
3,that
3,provides
3,a
3,way
3,for
3,external
3,applications
3,to
3,access
3,facebook
3,content
3,on
3,behalf
3,of
3,facebook
3,users
3,our
3,goal
3,in
3,creating
3,facebook
3,platform
3,is
3,to
3,allow
3,any
3,developer
3,to
3,build
3,an
3,application
3,that
3,integrates
3,with
3,the
3,facebook
3,site
3,in
3,all
3,of
3,the
3,ways
3,our
3,own
3,applications
3,do
3,we
3,are
3,making
3,this
3,as
3,open
3,as
3,possible
3,for
3,example
3,applications
3,can
3,publish
3,content
3,into
3,many
3,features
3,inside
3,the
3,facebook
3,site
3,access
3,the
3,social
3,graph
3,gain
3,distribution
3,through
3,their
3,users
3,and
3,even
3,make
3,money
3,via
3,advertisements
3,or
3,other
3,features
4,we
4,hope
4,developers
4,will
4,build
4,lots
4,of
4,cool
4,innovative
4,applications
4,that
4,will
4,enhance
4,users
4,ability
4,to
4,interact
4,with
4,people
4,in
4,their
4,lives
4,in
4,new
4,and
4,interesting
4,ways
4,however
4,because
4,the
4,facebook
4,platform
4,is
4,designed
4,to
4,be
4,as
4,open
4,as
4,possible
4,we
4,also
4,need
4,to
4,make
4,sure
4,that
4,developers
4,understand
4,and
4,respect
4,the
4,expectations
4,that
4,facebook
4,users
4,have
4,about
4,their
4,experiences
4,on
4,and
4,through
4,the
4,facebook
4,site
5,we
5,have
5,created
5,these
5,platform
5,application
5,guidelines
5,to
5,help
5,developers
5,understand
5,what
5,kinds
5,of
5,things
5,are
5,and
5,are
5,not
5,appropriate
5,for
5,the
5,facebook
5,platform
5,all
5,applications
5,that
5,use
5,the
5,facebook
5,platform
5,are
5,subject
5,to
5,these
5,guidelines
5,in
5,addition
5,to
5,any
5,other
5,guidelines
5,and
5,agreements
5,applicable
5,to
5,a
5,developer's
5,use
5,of
5,the
5,facebook
5,platform
5,such
5,as
5,the
5,facebook
5,developer
5,terms
5,of
5,service
6,i
6,applications
6,may
6,not
6,promote
6,or
6,contain
6,content
6,including
6,any
6,advertising
6,content
6,referencing
6,facilitating
6,promoting
6,or
6,using
6,the
6,following
7,1
7,adult
7,content
7,including
7,nudity
7,sexual
7,terms
7,and
7,or
7,images
7,of
7,people
7,in
7,positions
7,or
7,activities
7,that
7,are
7,excessively
7,suggestive
7,or
7,sexual
8,2
8,obscene
8,defamatory
8,libelous
8,slanderous
8,and
8,or
8,unlawful
8,content
9,3
9,content
9,that
9,infringes
9,upon
9,the
9,rights
9,of
9,any
9,third
9,party
9,including
9,copyright
9,trademark
9,privacy
9,publicity
9,or
9,other
9,personal
9,or
9,proprietary
9,right
9,or
9,that
9,is
9,deceptive
9,or
9,fraudulent
10,4
10,sale
10,of
10,liquor
10,beer
10,wine
10,tobacco
10,products
10,ammunition
10,and
10,or
10,firearms
11,5
11,gambling
11,including
11,without
11,limitation
11,any
11,online
11,casino
11,sports
11,books
11,bingo
11,or
11,poker
12,6
12,inflammatory
12,religious
12,content
13,7
13,politically
13,religious
13,agendas
13,and
13,or
13,any
13,known
13,associations
13,with
13,hate
13,criminal
13,and
13,or
13,terrorist
13,activities
14,8
14,political
14,content
14,that
14,exploits
14,political
14,agendas
14,or
14,uses
14,hot
14,button
14,political
14,issues
14,for
14,commercial
14,use
14,regardless
14,of
14,whether
14,the
14,developer
14,has
14,a
14,political
14,agenda
15,9
15,hate
15,speech
15,whether
15,directed
15,at
15,an
15,individual
15,or
15,a
15,group
15,and
15,whether
15,based
15,upon
15,the
15,race
15,sex
15,creed
15,national
15,origin
15,religious
15,affiliation
15,marital
15,status
15,sexual
15,orientation
15,or
15,language
15,of
15,such
15,individual
15,or
15,group
16,10
16,illegal
16,activity
16,and
16,or
16,illegal
16,contests
16,pyramid
16,schemes
16,or
16,chain
16,letters
17,11
17,content
17,from
17,uncertified
17,pharmacies
18,12
18,sale
18,or
18,use
18,of
18,web
18,cams
18,or
18,surveillance
18,equipment
18,for
18,non
18,legitimate
18,use
18,or
19,13
19,spam
19,or
19,other
19,advertising
19,or
19,marketing
19,content
19,that
19,violates
19,applicable
19,laws
19,regulations
19,or
19,industry
19,standards
20,ii
20,applications
20,may
20,not
21,1
21,contain
21,functionality
21,that
21,requests
21,or
21,collects
21,facebook
21,site
21,usernames
21,or
21,passwords
21,from
21,any
21,user
22,2
22,contain
22,functionality
22,that
22,proxies
22,usernames
22,or
22,passwords
22,for
22,the
22,purposes
22,of
22,automating
22,logins
22,to
22,the
22,facebook
22,site
23,3
23,contain
23,functionality
23,that
23,permits
23,any
23,person
23,to
23,impersonate
23,a
23,user
23,of
23,the
23,facebook
23,site
23,or
23,obtain
23,access
23,to
23,the
23,facebook
23,site
23,without
23,authorization
24,4
24,disregard
24,or
24,circumvent
24,any
24,technical
24,measures
24,instituted
24,by
24,facebook
24,to
24,ensure
24,that
24,the
24,application
24,only
24,provides
24,users
24,with
24,access
24,to
24,facebook
24,site
24,content
24,that
24,they
24,would
24,otherwise
24,be
24,able
24,to
24,view
24,on
24,the
24,facebook
24,site
24,in
24,accordance
24,with
24,any
24,user
24,privacy
24,settings
25,5
25,contain
25,or
25,distribute
25,any
25,software
25,that
25,i
25,sneaks
25,onto
25,a
25,user's
25,system
25,and
25,performs
25,activities
25,hidden
25,to
25,the
25,user
25,ii
25,may
25,alter
25,harm
25,disable
25,or
25,replace
25,any
25,hardware
25,or
25,software
25,installed
25,on
25,user's
25,computer
25,without
25,express
25,permission
25,from
25,the
25,user
25,iii
25,is
25,bundled
25,as
25,a
25,hidden
25,component
25,of
25,other
25,software
25,whether
25,free
25,or
25,for
25,fee
25,iv
25,automatically
25,downloads
25,without
25,the
25,user's
25,express
25,prior
25,approval
25,or
25,v
25,presents
25,any
25,download
25,dialog
25,boxes
25,without
25,a
25,user's
25,express
25,action
25,i.e
25,a
25,click
25,to
25,perform
25,a
25,download
26,6
26,use
26,facebook
26,logos
26,or
26,trademarks
26,or
26,expresss
26,or
26,imply
26,any
26,endorsement
26,by
26,or
26,affiliation
26,with
26,facebook
27,7
27,be
27,designed
27,or
27,used
27,for
27,the
27,primary
27,purpose
27,of
27,facilitating
27,unauthorized
27,distribution
27,of
27,copyrighted
27,content
27,or
28,8
28,be
28,promoted
28,or
28,marketed
28,in
28,any
28,way
28,as
28,a
28,means
28,to
28,distribute
28,copyrighted
28,content
28,without
28,authorization
29,iii
29,applications
29,that
29,are
29,designed
29,or
29,implemented
29,to
29,be
29,presented
29,in
29,an
29,i
29,frame
29,or
29,otherwise
29,framed
29,by
29,elements
29,of
29,the
29,facebook
29,site
29,or
29,to
29,be
29,embedded
29,into
29,any
29,page
29,of
29,the
29,facebook
29,site
29,e.g
29,via
29,fbml
29,must
29,comply
29,with
29,the
29,following
29,general
29,functionality
29,requirements
30,1
30,roll
30,over
30,expandables
30,must
30,state
30,roll
30,over
30,for
30,more
30,content
30,and
30,the
30,panel
30,must
30,retract
30,when
30,the
30,mouse
30,is
30,removed
30,from
30,the
30,content
31,2
31,click
31,expandables
31,must
31,state
31,click
31,here
31,for
31,more
31,content
31,and
31,the
31,panel
31,must
31,retract
31,when
31,the
31,mouse
31,is
31,removed
31,from
31,the
31,content
31,or
31,when
31,user
31,clicks
31,a
31,second
31,time
32,3
32,pop
32,ups
32,and
32,pop
32,under
32,applications
32,are
32,not
32,allowed
33,4
33,facebook
33,does
33,not
33,allow
33,content
33,containing
33,flashing
33,excessive
33,animation
33,or
33,fake
33,functionality
33,such
33,as
33,html
33,drop
33,downs
33,or
33,search
33,forms
34,5
34,developer
34,must
34,have
34,intellectual
34,property
34,rights
34,to
34,any
34,content
34,displayed
34,and
34,be
34,permitted
34,to
34,display
34,such
34,content
34,on
34,the
34,facebook
34,site
35,facebook
35,reserves
35,the
35,right
35,to
35,modify
35,or
35,require
35,developers
35,to
35,modify
35,any
35,content
35,e.g
35,to
35,flatten
35,any
35,animated
35,gifs
35,to
35,remove
35,the
35,animation
35,displayed
35,on
35,any
35,pages
35,of
35,the
35,facebook
35,site
35,to
35,conform
35,to
35,these
35,facebook
35,platform
35,application
35,guidelines
36,iv
36,applications
36,displayed
36,on
36,the
36,facebook
36,site
37,applications
37,that
37,may
37,be
37,displayed
37,on
37,user
37,profile
37,pages
37,or
37,other
37,pages
37,of
37,the
37,facebook
37,site
37,i.e
37,as
37,opposed
37,to
37,pages
37,served
37,by
37,a
37,developer
37,or
37,other
37,third
37,party
37,may
37,not
37,include
37,advertisements
37,or
37,paid
37,promotional
37,content
37,of
37,any
37,kind
37,or
37,any
37,web
37,search
37,functionality
37,of
37,any
37,kind
37,however
37,these
37,restrictions
37,do
37,not
37,apply
37,to
37,any
37,page
37,primarily
37,dedicated
37,to
37,a
37,developer
37,application
37,even
37,if
37,framed
37,or
37,hosted
37,by
37,facebook
38,v
38,video
38,audio
38,and
38,flash
38,and
38,other
38,animation
38,functionality
38,and
38,editorial
38,requirements
39,for
39,applications
39,displayed
39,on
39,user
39,profile
39,pages
39,of
39,the
39,facebook
39,site
40,1
40,content
40,displayed
40,through
40,any
40,application
40,must
40,remain
40,within
40,the
40,dimensions
40,of
40,the
40,application's
40,placement
40,on
40,the
40,user
40,profile
40,page
40,and
40,cannot
40,float
40,or
40,break
40,through
40,to
40,other
40,parts
40,of
40,the
40,user
40,profile
40,page
41,2
41,animation
41,video
41,audio
41,and
41,any
41,other
41,interactive
41,application
41,content
41,collectively
41,interactive
41,content
41,on
41,the
41,user
41,profile
41,page
41,must
41,be
41,initiated
41,only
41,upon
41,user
41,click
41,unless
41,the
41,user
41,has
41,explicitly
41,authorized
