para,word
1,facebook
1,marketplace
1,guidelines
2,date
2,of
2,last
2,revision
2,may
2,11
2,2007
3,facebook
3,is
3,a
3,social
3,utility
3,that
3,connects
3,people
3,with
3,friends
3,and
3,others
3,who
3,work
3,study
3,and
3,live
3,around
3,them
3,facebook
3,marketplace
3,enables
3,users
3,to
3,connect
3,with
3,each
3,other
3,by
3,posting
3,classified
3,ads
3,on
3,facebook
3,facebook
3,marketplace
3,or
3,the
3,service
3,all
3,listings
3,posted
3,on
3,or
3,through
3,the
3,services
3,listings
3,and
3,all
3,transactions
3,conducted
3,in
3,connection
3,therewith
3,are
3,subject
3,to
3,and
3,governed
3,by
3,these
3,facebook
3,marketplace
3,guidelines
3,the
3,guidelines
3,as
3,well
3,as
3,the
3,facebook
3,terms
3,of
3,use
3,when
3,you
3,use
3,facebook
3,marketplace
3,in
3,any
3,manner
3,you
3,are
3,agreeing
3,to
3,abide
3,by
3,these
3,guidelines
3,guidelines
3,and
3,the
3,other
3,rules
3,set
3,forth
3,in
3,our
3,terms
3,of
3,use
4,please
4,note
4,that
4,all
4,listings
4,are
4,posted
4,and
4,offered
4,by
4,the
4,user
4,not
4,by
4,facebook
4,and
4,the
4,parties
4,participating
4,in
4,a
4,transaction
4,are
4,solely
4,responsible
4,for
4,all
4,aspects
4,of
4,such
4,transaction
4,and
4,for
4,resolving
4,any
4,disputes
4,that
4,arise
4,in
4,connection
4,therewith
4,including
4,but
4,not
4,limited
4,to
4,payment
4,processing
4,fulfillment
4,and
4,customer
4,support
5,listing
5,rules
6,all
6,listings
6,must
6,be
6,accurate
6,and
6,not
6,misleading
6,and
6,you
6,may
6,not
6,use
6,the
6,service
6,in
6,a
6,fraudulent
6,manner
6,or
6,to
6,engage
6,in
6,any
6,fraudulent
6,activity
6,or
6,purpose
6,or
6,to
6,impersonate
6,any
6,person
6,or
6,entity
7,you
7,may
7,list
7,an
7,item
7,in
7,only
7,one
7,listing
7,at
7,a
7,time
7,per
7,network
7,and
7,in
7,the
7,most
7,appropriate
7,category
8,all
8,real
8,estate
8,listings
8,must
8,comply
8,with
8,the
8,federal
8,fair
8,housing
8,act
8,which
8,makes
8,it
8,illegal
8,to
8,advertise
8,any
8,preference
8,limitation
8,or
8,discrimination
8,because
8,of
8,race
8,color
8,religion
8,sex
8,handicap
8,familial
8,status
8,or
8,national
8,origin
8,or
8,intention
8,to
8,make
8,any
8,such
8,preference
8,limitation
8,or
8,discrimination
8,your
8,state
8,or
8,local
8,jurisdiction
8,may
8,impose
8,additional
8,requirements
8,and
8,your
8,listings
8,must
8,comply
8,with
8,those
8,requirements
8,as
8,well
9,you
9,may
9,not
9,list
9,any
9,item
9,for
9,sale
9,lease
9,or
9,rent
9,that
9,is
9,not
9,in
9,your
9,possession
9,or
9,that
9,you
9,do
9,not
9,have
9,the
9,right
9,to
9,sell
9,lease
9,or
9,rent
9,at
9,the
9,time
9,the
9,item
9,is
9,listed
10,you
10,may
10,not
10,post
10,any
10,material
10,that
10,contains
10,or
10,links
10,to
10,any
10,viruses
10,worms
10,trojan
10,horses
10,corrupted
10,data
10,or
10,other
10,harmful
10,disruptive
10,or
10,destructive
10,files
10,or
10,programs
11,you
11,may
11,not
11,post
11,in
11,your
11,listings
11,any
11,content
11,that
11,is
11,infringing
11,obscene
11,offensive
11,harassing
11,hateful
11,inflammatory
11,abusive
11,defamatory
11,harmful
11,fraudulent
11,or
11,invasive
11,or
11,privacy
11,or
11,publicity
11,rights
11,or
11,otherwise
11,violates
11,these
11,guidelines
11,or
11,the
11,terms
11,of
11,use
12,you
12,may
12,not
12,promote
12,encourage
12,or
12,solicit
12,illegal
12,activity
12,of
12,any
12,kind
13,you
13,may
13,not
13,offer
13,list
13,sell
13,or
13,lease
13,any
13,items
13,that
13,are
13,designated
13,in
13,these
13,guidelines
13,as
13,prohibited
13,items
13,or
13,that
13,would
13,violate
13,these
13,guidelines
13,in
13,any
13,manner
14,all
14,listings
14,and
14,all
14,transactions
14,entered
14,into
14,through
14,the
14,service
14,must
14,comply
14,with
14,all
14,applicable
14,laws
14,rules
14,regulations
14,and
14,restrictions
14,and
14,you
14,may
14,not
14,offer
14,list
14,sell
14,lease
14,solicit
14,request
14,or
14,provide
14,anything
14,through
14,the
14,service
14,in
14,a
14,jurisdiction
14,where
14,such
14,action
14,would
14,violate
14,any
14,law
14,rule
14,regulation
14,or
14,restriction
14,the
14,parties
14,to
14,a
14,transaction
14,are
14,solely
14,responsible
14,for
14,researching
14,and
14,determining
14,the
14,scope
14,of
14,the
14,applicable
14,law
14,to
14,determine
14,whether
14,a
14,listing
14,or
14,transaction
14,complies
14,with
14,applicable
14,law
15,prohibited
15,items
16,without
16,limiting
16,any
16,of
16,the
16,restrictions
16,contained
16,elsewhere
16,in
16,these
16,guidelines
16,or
16,the
16,terms
16,of
16,use
16,the
16,following
16,items
16,may
16,not
16,be
16,sold
16,leased
16,rented
16,provided
16,or
16,otherwise
16,transacted
16,through
16,facebook
16,marketplace
17,firearms
17,ammunition
17,and
17,other
17,weapons
17,and
17,related
17,accessories
17,including
17,martial
17,arts
17,weapons
18,fireworks
18,or
18,any
18,destructive
18,devices
18,or
18,explosives
19,child
19,pornography
19,or
19,obscenity
20,illegal
20,drugs
20,and
20,drug
20,paraphernalia
21,prescription
21,or
21,nonprescription
21,drugs
21,and
21,medical
21,devices
22,alcohol
22,or
22,tobacco
22,products
23,goods
23,made
23,from
23,protected
23,animals
23,plants
24,restricted
24,or
24,regulated
24,plants
24,and
24,insects
25,pesticides
25,or
25,hazardous
25,substances
26,illegal
26,stolen
26,or
26,counterfeit
26,goods
26,or
26,knock
26,offs
26,of
26,brand
26,name
26,products
27,blood
27,bodily
27,fluids
27,and
27,body
27,parts
28,false
28,identification
28,cards
28,and
28,police
28,items
29,hacking
29,and
29,illegal
29,surveillance
29,equipment
29,and
29,descrambling
29,equipment
30,burglary
30,tools
31,counterfeit
31,stamps
31,currency
31,and
31,coins
32,material
32,that
32,infringes
32,the
32,rights
32,of
32,a
32,third
32,party
32,including
32,copyrights
32,trademarks
32,patents
32,rights
32,of
32,publicity
32,and
32,rights
32,or
32,privacy
32,including
32,warez
32,and
32,bootleg
32,copies
33,airline
33,tickets
33,that
33,restrict
33,transfer
34,lottery
34,or
34,raffle
34,tickets
34,sweepstakes
34,or
34,content
34,entries
34,or
34,gambling
34,related
34,items
34,or
34,devices
35,used
35,or
35,rebuilt
35,batteries
36,bulk
36,email
36,or
36,mailing
36,lists
36,that
36,contain
36,names
36,addresses
36,phone
36,numbers
36,or
36,other
36,personal
36,identifying
36,information
37,hazardous
37,goods
38,stocks
38,bonds
38,securities
39,sexual
39,services
39,or
39,sexually
39,explicit
39,materials
40,event
40,tickets
40,if
40,sale
40,pricing
40,or
40,manner
40,of
40,sale
40,violates
40,state
40,and
40,local
40,regulations
41,any
41,item
41,that
41,violates
41,us
41,export
41,laws
41,to
41,sell
41,to
41,the
41,intended
41,seller
41,including
41,items
41,subject
41,to
41,us
41,embargoes
42,items
42,that
42,are
42,associated
42,with
42,hate
42,groups
42,such
42,as
42,nazis
42,or
42,ku
42,klux
42,klan
43,items
43,subject
43,to
43,a
43,recall
43,or
43,for
43,which
43,resale
43,is
43,prohibited
44,general
44,rules
44,and
44,guidelines
45,the
45,parties
45,to
45,a
45,facebook
45,marketplace
45,transaction
45,are
45,solely
45,responsible
45,for
45,all
45,interactions
45,with
45,each
45,other
45,for
45,arranging
45,for
45,payment
45,customer
45,service
45,and
45,the
45,exchange
45,and
45,fulfillment
45,of
45,the
45,goods
45,or
45,services
45,purchased
45,and
45,for
45,the
45,results
45,of
45,the
45,transaction
45,and
45,for
45,all
45,applicable
45,taxes
45,facebook
45,is
45,not
45,responsible
45,for
45,any
45,failure
45,to
45,pay
45,any
45,amounts
45,due
45,or
45,to
45,deliver
45,any
45,merchandise
45,or
45,services
45,as
45,promised
45,or
45,for
45,any
45,other
45,aspect
45,of
45,the
45,transaction
46,you
46,should
46,be
46,aware
46,that
46,listings
46,are
46,intended
46,to
46,be
46,public
46,and
46,regardless
46,of
46,any
46,privacy
46,settings
46,you
46,select
46,listings
46,that
46,you
46,post
46,on
46,facebook
46,and
46,questions
46,or
46,comments
46,you
46,post
46,in
46,connection
46,with
46,the
46,services
46,may
46,in
46,some
46,cases
46,become
46,publicly
46,available
46,on
46,the
46,facebook
46,site
46,for
46,example
46,i
46,questions
46,that
46,you
46,send
46,regarding
46,a
46,listing
46,may
46,be
46,posted
46,by
46,the
46,person
46,who
46,initiated
46,the
46,listing
46,in
46,connection
46,with
46,such
46,listing
46,ii
46,your
46,listings
46,may
46,be
46,visible
46,to
46,all
46,facebook
46,users
46,unless
46,you
46,specify
46,that
46,your
46,listing
46,be
46,viewable
46,only
46,by
46,those
46,in
46,particular
46,networks
46,or
46,unless
46,you
46,block
46,a
46,specific
46,facebook
46,user
46,and
46,iii
46,users
46,who
46,can
46,view
46,your
46,listing
46,are
46,able
46,to
46,send
46,you
46,messages
46,through
46,your
46,listing
46,even
46,if
46,your
46,message
46,setting
46,is
46,set
46,to
46,receive
46,messages
46,only
46,from
46,your
46,facebook
46,friends
46,or
46,an
46,otherwise
46,restricted
46,set
46,of
46,users
46,therefore
46,you
46,should
46,also
46,avoid
46,posting
46,phone
46,numbers
46,email
46,addresses
46,or
46,other
46,personal
46,information
46,in
46,your
46,listings
46,and
46,in
46,any
46,questions
46,or
46,comments
46,you
46,may
46,post
46,in
46,connection
46,with
46,any
46,listings
47,parties
47,to
47,a
47,transaction
47,should
47,exercise
47,caution
47,in
47,providing
47,contact
47,information
47,or
47,personal
47,information
47,to
47,the
47,other
47,party
47,and
47,in
47,making
47,personal
47,contact
47,with
47,the
47,other
47,party
47,facebook
47,is
47,not
47,responsible
47,for
47,the
47,actions
47,of
47,any
47,of
47,its
47,users
47,and
47,this
47,service
47,is
47,provided
47,as
47,is
47,and
47,at
47,your
47,own
47,risk
48,both
48,parties
48,to
48,a
48,transaction
48,are
48,responsible
48,for
48,determining
48,if
48,the
48,transaction
48,is
48,illegal
48,or
48,otherwise
48,does
48,not
48,fully
48,comply
48,with
48,applicable
48,law
49,you
49,are
49,responsible
49,for
49,all
49,listings
49,posted
49,and
49,all
49,other
49,activities
49,conducted
49,using
49,your
49,password
49,and
49,you
49,should
49,protect
49,your
49,password
49,and
49,not
49,disclose
49,it
49,to
49,any
49,other
49,person
50,the
50,service
50,may
50,not
50,be
50,used
50,to
50,solicit
50,or
50,obtain
50,user
50,passwords
51,you
51,must
51,own
51,or
51,otherwise
51,have
51,the
51,right
51,to
51,use
51,all
51,photographs
51,used
51,in
51,any
51,listings
51,and
