para,word
1,developer
1,terms
1,of
1,service
2,last
2,revision
2,date
2,july
2,25
2,2007
3,facebook
3,platform
3,terms
3,of
3,service
3,preface
4,facebook
4,platform
4,is
4,a
4,set
4,of
4,apis
4,and
4,tools
4,that
4,provides
4,a
4,way
4,for
4,external
4,applications
4,to
4,access
4,facebook
4,content
4,on
4,behalf
4,of
4,facebook
4,users
4,our
4,goal
4,in
4,creating
4,the
4,facebook
4,platform
4,is
4,to
4,allow
4,any
4,developer
4,to
4,build
4,an
4,application
4,that
4,integrates
4,with
4,the
4,facebook
4,site
4,in
4,the
4,ways
4,our
4,own
4,applications
4,do
4,facebook
4,platform
4,lets
4,you
4,integrate
4,into
4,the
4,facebook
4,website
4,offers
4,you
4,the
4,potential
4,for
4,mass
4,distribution
4,and
4,even
4,gives
4,you
4,the
4,freedom
4,to
4,build
4,a
4,business
4,around
4,your
4,application
5,we're
5,excited
5,about
5,facebook
5,platform
5,and
5,invite
5,you
5,to
5,build
5,on
5,it
5,of
5,course
5,we're
5,committed
5,to
5,protecting
5,our
5,users
5,and
5,our
5,site
5,while
5,enabling
5,you
5,to
5,create
5,applications
5,so
5,we
5,require
5,you
5,to
5,abide
5,by
5,some
5,specific
5,terms
5,please
5,read
5,the
5,full
5,terms
5,of
5,service
5,below
5,as
5,they
5,govern
5,your
5,use
5,of
5,facebook
5,platform
5,some
5,examples
5,of
5,what's
5,covered
5,in
5,our
5,terms
5,of
5,service
6,we
6,do
6,our
6,absolute
6,best
6,to
6,keep
6,facebook
6,platform
6,up
6,and
6,bug
6,free
6,but
6,you
6,use
6,it
6,at
6,your
6,own
6,risk
7,you
7,own
7,your
7,application
7,and
7,you're
7,responsible
7,for
7,developing
7,operating
7,maintaining
7,and
7,supporting
7,it
7,you're
7,also
7,responsible
7,for
7,any
7,content
7,you
7,show
7,as
7,a
7,part
7,of
7,your
7,application
8,you
8,can't
8,use
8,facebook
8,platform
8,for
8,anything
8,that
8,infringes
8,on
8,anyone's
8,rights
8,or
8,intellectual
8,property
8,generates
8,spam
8,phishes
8,or
8,is
8,illegal
9,if
9,your
9,application
9,allows
9,file
9,sharing
9,you
9,must
9,adopt
9,and
9,implement
9,an
9,acceptable
9,copyright
9,policy
9,register
9,an
9,agent
9,with
9,the
9,copyright
9,office
9,and
9,take
9,some
9,other
9,steps
9,as
9,outlined
9,in
9,the
9,facebook
9,platform
9,developer
9,copyright
9,information
10,you
10,must
10,treat
10,users
10,privacy
10,with
10,the
10,same
10,respect
10,we
10,do
10,if
10,you
10,directly
10,collect
10,personally
10,identifiable
10,information
10,from
10,users
10,you
10,must
10,post
10,a
10,privacy
10,policy
10,detailing
10,what
10,you'll
10,do
10,with
10,that
10,info
11,you
11,must
11,be
11,honest
11,and
11,accurate
11,about
11,what
11,your
11,application
11,does
11,and
11,how
11,it
11,uses
11,information
11,from
11,facebook
11,users
11,your
11,application
11,cannot
11,falsely
11,represent
11,itself
12,you
12,can
12,only
12,show
12,information
12,from
12,facebook
12,platform
12,to
12,a
12,user
12,if
12,you
12,retrieved
12,it
12,on
12,behalf
12,of
12,that
12,particular
12,user
13,you
13,can
13,only
13,cache
13,user
13,information
13,for
13,up
13,to
13,24
13,hours
13,to
13,assist
13,with
13,performance
13,the
13,only
13,exceptions
13,are
13,those
13,listed
13,in
13,the
13,facebook
13,platform
13,documentation
14,you
14,can't
14,show
14,any
14,ads
14,or
14,web
14,search
14,functionality
14,on
14,user
14,profiles
14,but
14,this
14,restriction
14,doesn't
14,apply
14,on
14,application
14,canvas
14,pages
14,the
14,facebook
14,platform
14,application
14,guidelines
14,have
14,more
14,details
15,you
15,can
15,talk
15,to
15,the
15,press
15,and
15,your
15,users
15,about
15,your
15,facebook
15,platform
15,application
15,so
15,long
15,as
15,you
15,do
15,truthfully
15,and
15,without
15,implying
15,that
15,your
15,application
15,is
15,created
15,or
15,endorsed
15,by
15,facebook
15,or
15,otherwise
15,embellishing
15,your
15,relationship
15,with
15,facebook
15,however
15,you
15,must
15,get
15,signoff
15,from
15,us
15,before
15,releasing
15,any
15,formal
15,press
15,releases
15,check
15,out
15,the
15,facebook
15,platform
15,developer
15,pr
15,policy
15,for
15,more
15,info
16,you
16,can't
16,use
16,the
16,word
16,face
16,in
16,the
16,name
16,of
16,your
16,application
16,or
16,the
16,word
16,facebook
16,before
16,the
16,top
16,level
16,domain
16,in
16,your
16,url
17,other
17,required
17,reading
18,facebook
18,platform
18,application
18,guidelines
18,for
18,more
18,details
18,on
18,what
18,is
18,and
18,isn't
18,appropriate
18,in
18,a
18,facebook
18,platform
18,application
19,facebook
19,privacy
19,policy
20,facebook
20,site
20,terms
20,of
20,use
21,facebook
21,platform
21,developer
21,copyright
21,information
21,if
21,your
21,application
21,permits
21,file
21,sharing
22,facebook
22,platform
22,documentation
23,recommended
23,reading
24,facebook
24,developer
24,pr
24,guidelines
25,facebook
25,platform
25,api
25,updates
25,news
25,feed
26,facebook
26,developers
26,blog
27,terms
27,of
27,service
28,the
28,terms
28,and
28,conditions
28,set
28,forth
28,below
28,this
28,agreement
28,govern
28,your
28,use
28,of
28,facebook
28,platform
28,as
28,defined
28,below
28,if
28,you
28,are
28,an
28,individual
28,acting
28,as
28,a
28,representative
28,of
28,a
28,corporation
28,or
28,other
28,legal
28,entity
28,that
28,wishes
28,to
28,use
28,facebook
28,platform
28,then
28,you
28,represent
28,and
28,agree
28,that
28,you
28,enter
28,into
28,this
28,agreement
28,on
28,behalf
28,of
28,such
28,entity
28,and
28,that
28,all
28,provisions
28,of
28,this
28,agreement
28,will
28,bind
28,that
28,entity
28,as
28,if
28,it
28,were
28,named
28,in
28,this
28,agreement
28,in
28,place
28,of
28,you
28,by
28,accepting
28,these
28,terms
28,and
28,conditions
28,or
28,by
28,using
28,or
28,accessing
28,any
28,portion
28,of
28,facebook
28,platform
28,you
28,irrevocably
28,agree
28,to
28,the
28,terms
28,of
28,this
28,agreement
28,and
28,you
28,represent
28,and
28,warrant
28,that
28,you
28,have
28,all
28,authority
28,necessary
28,to
28,bind
28,yourself
28,and
28,if
28,you
28,are
28,employed
28,by
28,or
28,otherwise
28,represent
28,any
28,corporation
28,or
28,other
28,legal
28,entity
28,that
28,wishes
28,to
28,use
28,facebook
28,platform
28,that
28,entity
28,to
28,this
28,agreement
28,if
28,you
28,do
28,not
28,agree
28,to
28,these
28,terms
28,and
28,conditions
28,you
28,may
28,not
28,use
28,facebook
28,platform
29,section
29,1
29,definitions
30,whenever
30,used
30,in
30,this
30,agreement
30,with
30,initial
30,letters
30,capitalized
30,the
30,following
30,terms
30,will
30,have
30,the
30,meanings
30,attributed
30,to
30,them
30,below
30,and
30,other
30,terms
30,used
30,in
30,this
30,agreement
30,with
30,initial
30,letters
30,capitalized
30,will
30,have
30,the
30,meanings
30,attributed
30,to
30,them
30,elsewhere
30,in
30,this
30,agreement
31,applicable
31,facebook
31,user
31,means
31,with
31,respect
31,to
31,any
31,facebook
31,properties
31,the
31,session
31,owner
31,associated
31,with
31,the
31,call
31,through
31,which
31,such
31,facebook
31,properties
31,were
31,retrieved
32,call
32,means
32,an
32,automated
32,call
32,or
32,other
32,data
32,retrieval
32,request
32,delivered
32,to
32,or
32,through
32,facebook
32,platform
32,in
32,accordance
32,with
32,the
