para,word
1,terms
1,of
1,sale
2,date
2,of
2,last
2,revision
2,may
2,9
2,2007
3,certain
3,products
3,and
3,services
3,may
3,from
3,time
3,to
3,time
3,be
3,made
3,available
3,to
3,you
3,you
3,or
3,user
3,by
3,facebook
3,inc
3,or
3,its
3,corporate
3,affiliates
3,collectively
3,us
3,we
3,or
3,the
3,company
3,through
3,the
3,facebook
3,web
3,site
3,the
3,site
3,and
3,service
3,facebook
3,or
3,the
3,service
3,by
3,purchasing
3,any
3,products
3,or
3,services
3,through
3,facebook
3,you
3,signify
3,that
3,you
3,have
3,read
3,understand
3,and
3,agree
3,to
3,be
3,bound
3,by
3,the
3,terms
3,of
3,sale
3,in
3,effect
3,at
3,the
3,time
3,of
3,purchase
3,terms
3,of
3,sale
3,your
3,purchases
3,and
3,your
3,use
3,of
3,facebook
3,are
3,also
3,governed
3,by
3,the
3,facebook
3,terms
3,of
3,use
3,terms
3,of
3,use
3,which
3,are
3,incorporated
3,herein
3,by
3,reference
4,these
4,terms
4,of
4,sale
4,are
4,subject
4,to
4,change
4,without
4,prior
4,written
4,notice
4,at
4,any
4,time
4,in
4,company's
4,sole
4,discretion
4,and
4,such
4,changes
4,shall
4,apply
4,to
4,any
4,purchases
4,made
4,after
4,such
4,changes
4,are
4,posted
4,to
4,the
4,site
4,therefore
4,you
4,should
4,review
4,these
4,terms
4,of
4,sale
4,prior
4,to
4,each
4,purchase
4,so
4,you
4,will
4,understand
4,the
4,terms
4,applicable
4,to
4,such
4,transaction
4,if
4,you
4,do
4,not
4,agree
4,to
4,these
4,terms
4,of
4,sale
4,do
4,not
4,make
4,any
4,purchases
4,on
4,facebook
5,please
5,read
5,these
5,terms
5,of
5,sale
5,carefully
5,as
5,they
5,contain
5,important
5,information
5,regarding
5,your
5,legal
5,rights
5,remedies
5,and
5,obligations
5,these
5,include
5,various
5,limitations
5,and
5,exclusions
5,and
5,a
5,dispute
5,resolution
5,clause
5,that
5,governs
5,how
5,disputes
5,will
5,be
5,resolved
6,purchase
6,qualifications
6,account
6,security
7,to
7,make
7,a
7,purchase
7,on
7,facebook
7,you
7,must
7,be
7,a
7,registered
7,facebook
7,user
7,and
7,comply
7,with
7,these
7,terms
7,of
7,sale
7,including
7,the
7,terms
7,of
7,use
7,you
7,acknowledge
7,that
7,you
7,are
7,responsible
7,for
7,maintaining
7,the
7,security
7,of
7,and
7,restricting
7,access
7,to
7,your
7,account
7,and
7,password
7,and
7,you
7,agree
7,to
7,accept
7,responsibility
7,for
7,all
7,purchases
7,and
7,other
7,activities
7,that
7,occur
7,under
7,your
7,account
7,facebook
7,sells
7,its
7,products
7,only
7,to
7,those
7,users
7,who
7,can
7,legally
7,make
7,purchases
7,with
7,a
7,credit
7,card
7,if
7,you
7,are
7,under
7,18
7,you
7,may
7,make
7,purchases
7,on
7,facebook
7,only
7,with
7,the
7,involvement
7,of
7,a
7,parent
7,or
7,guardian
7,facebook
7,reserves
7,the
7,right
7,to
7,refuse
7,or
7,cancel
7,orders
7,or
7,terminate
7,accounts
7,at
7,any
7,time
7,in
7,its
7,sole
7,discretion
8,payment
8,method
8,and
8,terms
9,we
9,accept
9,visa
9,mastercard
9,american
9,express
9,discover
9,and
9,diner's
9,club
9,credit
9,cards
9,and
9,certain
9,debit
