para,word
1,copyright
1,policy
2,date
2,of
2,last
2,revision
2,august
2,16
2,2007
3,we
3,respect
3,the
3,intellectual
3,property
3,rights
3,of
3,others
3,and
3,we
3,prohibit
3,users
3,from
3,uploading
3,posting
3,or
3,otherwise
3,transmitting
3,on
3,the
3,facebook
3,website
3,or
3,service
3,any
3,materials
3,that
3,violate
3,another
3,party's
3,intellectual
3,property
3,rights
3,when
3,we
3,receive
3,proper
3,notification
3,of
3,alleged
3,copyright
3,infringement
3,as
3,described
3,below
3,we
3,promptly
3,remove
3,or
3,disable
3,access
3,to
3,the
3,allegedly
3,infringing
3,material
3,and
3,terminate
3,the
3,accounts
3,of
3,repeat
3,infringers
3,in
3,accordance
3,with
3,the
3,digital
3,millennium
3,copyright
3,act
4,a
4,notification
4,of
4,alleged
4,copyright
4,infringement
5,if
5,you
5,believe
5,that
5,your
5,own
5,copyrighted
5,work
5,is
5,accessible
5,on
5,the
5,facebook
5,website
5,or
5,service
5,in
5,violation
5,of
5,your
5,copyright
5,you
5,may
5,provide
5,our
5,designated
5,agent
5,with
5,a
5,written
5,communication
5,as
5,set
5,forth
5,in
5,the
5,digital
5,millennium
5,copyright
5,act
5,dmca
5,17
5,u.s.c
5,512
5,c
5,3
5,that
5,contains
5,substantially
5,the
5,following
5,information
6,identify
6,in
6,sufficient
6,detail
6,the
6,copyrighted
6,work
6,or
6,intellectual
6,property
6,that
6,you
6,claim
6,has
6,been
6,infringed
6,so
6,that
6,we
6,can
6,locate
6,the
6,material
6,for
6,example
6,the
6,copyrighted
6,work
6,is
6,my
6,content
6,that
6,appears
6,at
6,http
6,www.mycontentpage.com
6,item1_qjofkrns123
6,if
6,multiple
6,copyrighted
6,works
6,at
6,a
6,single
6,online
6,site
6,are
6,covered
6,by
6,your
6,notification
6,you
6,may
6,provide
6,a
6,representative
6,list
6,of
6,such
6,works
6,at
6,that
6,site
7,identify
7,the
7,url
7,or
7,other
7,specific
7,location
7,on
7,the
7,facebook
7,website
7,or
7,service
7,that
7,contains
7,the
7,material
7,that
7,you
7,claim
7,infringes
7,your
7,copyright
7,described
7,in
7,item
7,1
7,above
7,you
7,must
7,provide
7,us
7,with
7,reasonably
7,sufficient
7,information
7,to
7,locate
7,the
7,alleged
7,infringing
7,material
7,for
7,example
7,the
7,content
7,at
7,the
7,following
7,url
7,infringes
7,on
7,my
7,copyright
7,http
7,www.anothercontent.com
7,item2_hjdsi899
8,provide
8,the
8,electronic
8,or
8,physical
8,signature
8,of
8,the
8,owner
8,of
8,the
8,copyright
8,or
8,a
8,person
8,authorized
8,to
8,act
8,on
8,the
8,owner's
8,behalf
9,include
9,a
9,statement
9,by
9,you
9,that
9,you
9,have
9,a
9,good
9,faith
9,belief
9,that
9,the
9,disputed
9,use
9,is
9,not
9,authorized
9,by
9,the
9,copyright
9,owner
9,its
9,agent
9,or
9,the
9,law
10,include
10,a
10,statement
10,by
10,you
10,that
10,the
10,information
10,contained
10,in
10,your
10,notice
10,is
10,accurate
10,and
10,that
10,you
10,attest
10,under
10,the
10,penalty
10,of
10,perjury
10,that
10,you
10,are
10,the
10,copyright
10,owner
10,or
10,that
10,you
10,are
10,authorized
10,to
10,act
10,on
10,the
10,copyright
10,owner's
10,behalf
11,include
