para,word
1,introduction
2,date
2,of
2,last
2,revision
2,april
2,21
2,2010
3,facebook
3,platform
3,is
3,an
3,extension
3,of
3,facebook
3,whose
3,mission
3,is
3,to
3,give
3,people
3,the
3,power
3,to
3,share
3,and
3,make
3,the
3,world
3,more
3,open
3,and
3,connected
4,platform
4,applications
4,and
4,developers
4,are
4,required
4,to
4,comply
4,with
4,the
4,following
4,three
4,documents
5,statement
5,of
5,rights
5,and
5,responsibilities
5,requirements
5,for
5,anyone
5,who
5,uses
5,facebook
6,principles
6,the
6,spirit
6,of
6,the
6,law
6,for
6,platform
7,policies
7,the
7,letter
7,of
7,the
7,law
7,for
7,platform
8,here
8,are
8,some
8,examples
8,and
8,explanations
8,for
8,specifics
9,principles
10,be
10,trustworthy
11,respect
11,privacy
12,don't
12,mislead
12,or
12,surprise
12,users
13,don't
13,spam
13,encourage
13,authentic
13,communications
14,create
14,a
14,great
14,user
14,experience
15,build
15,social
15,and
15,engaging
15,applications
16,give
16,users
16,choice
16,and
16,control
17,help
17,users
17,share
17,expressive
17,and
17,relevant
17,content
18,policies
19,i
19,presenting
19,your
19,policies
20,you
20,must
20,provide
20,a
20,link
20,to
20,your
20,privacy
20,policy
20,and
20,any
20,other
20,applicable
20,policies
20,in
20,the
20,info
20,section
20,of
20,your
20,application's
20,profile
20,page
20,and
20,on
20,every
20,page
20,of
20,your
20,application
21,ii
21,features
21,and
21,functionality
22,you
22,must
22,not
22,confuse
22,mislead
22,surprise
22,or
22,defraud
22,anyone
23,you
23,must
23,not
23,violate
23,any
23,law
23,or
23,the
23,rights
23,of
23,any
23,individual
23,or
23,entity
23,and
23,must
23,not
23,expose
23,facebook
23,or
23,facebook
23,users
23,to
23,harm
23,or
23,legal
23,liability
23,as
23,determined
23,by
23,us
23,in
23,our
23,sole
23,discretion
24,you
24,must
24,not
24,use
24,a
24,user's
24,session
24,key
24,to
24,make
24,an
24,api
24,call
24,on
24,behalf
24,of
24,another
24,user
25,you
25,must
25,not
25,include
25,functionality
25,that
25,proxies
25,requests
25,or
25,collects
25,facebook
25,usernames
25,or
25,passwords
26,you
26,must
26,not
26,circumvent
26,our
26,intended
26,limitations
26,on
26,core
26,facebook
26,features
26,for
26,example
27,a
27,you
27,must
27,not
27,inform
27,a
27,user
27,that
27,someone
27,has
27,removed
27,the
27,user
27,as
27,a
27,friend
28,b
28,you
28,must
28,not
28,track
28,visits
28,to
28,a
28,user's
28,profile
28,or
28,estimate
28,the
28,number
28,of
28,such
28,visits
28,whether
28,aggregated
28,anonymously
28,or
28,identified
28,individually
29,you
29,must
29,not
29,significantly
29,alter
29,the
29,purpose
29,of
29,your
29,application
29,such
29,that
29,users
29,would
29,view
29,it
29,as
29,entirely
29,unfamiliar
29,or
29,different
30,to
30,change
30,the
30,name
30,of
30,your
30,application
30,you
30,must
30,use
30,one
30,of
30,the
30,following
30,formats
30,for
30,30
30,days
30,before
30,completely
30,switching
30,to
30,your
30,new
30,application
30,name
30,new
30,name
30,formerly
30,old
30,name
30,or
30,new
30,name
30,renamed
30,for
30,example
30,app
30,2
30,formerly
30,app
30,1
30,or
30,app
30,2
30,renamed
31,if
31,you
31,offer
31,a
31,service
31,for
31,a
31,user
31,that
31,integrates
31,user
31,data
31,into
31,a
31,physical
31,product
31,such
31,as
31,a
31,scrapbook
31,or
31,calendar
31,you
31,must
31,only
31,create
31,a
31,physical
31,product
31,for
31,that
31,user's
31,personal
31,and
31,non
31,commercial
31,use
32,special
32,provisions
32,for
32,email
32,addresses
32,obtained
32,from
32,us
33,a
33,emails
33,you
33,send
33,must
33,clearly
33,indicate
33,that
33,they
33,are
33,from
33,you
33,and
33,must
33,not
33,appear
33,to
33,be
33,from
33,facebook
33,or
33,anyone
33,else
