para,word
2,date
2,of
2,last
2,revision
2,september
2,13
2,2010
3,facebook
3,pages
3,terms
4,1
4,pages
4,are
4,special
4,profiles
4,that
4,may
4,only
4,be
4,used
4,to
4,promote
4,a
4,business
4,or
4,other
4,commercial
4,political
4,or
4,charitable
4,organization
4,or
4,endeavor
4,including
4,non
4,profit
4,organizations
4,political
4,campaigns
4,bands
4,and
4,celebrities
5,2
5,you
5,may
5,only
5,administer
5,a
5,facebook
5,page
5,if
5,you
5,are
5,an
5,authorized
5,representative
5,of
5,the
5,subject
5,of
5,the
5,page
6,3
6,pages
6,can
6,only
6,post
6,content
6,and
6,information
6,under
6,the
6,everyone
6,setting
7,4
7,when
7,you
7,publish
7,content
7,or
7,information
7,to
7,your
7,page
7,we
7,have
7,no
7,obligation
7,to
7,distribute
7,your
7,content
7,or
7,information
7,to
7,users
8,5
8,if
8,you
8,use
8,a
8,like
8,box
8,or
8,similar
8,widget
8,off
8,of
8,our
8,site
8,to
8,promote
8,your
8,page
8,others
8,will
8,be
8,able
8,to
8,copy
8,and
8,place
8,the
8,widget
8,elsewhere
9,6
9,you
9,may
9,not
9,place
9,a
9,like
9,box
9,or
9,similar
9,widget
9,in
9,an
9,advertisement
10,7
10,if
10,you
10,collect
10,user
10,information
10,on
10,your
10,page
10,section
10,9
10,of
10,this
10,statement
10,also
10,applies
10,to
10,you
11,8
11,if
11,you
11,display
11,any
11,content
11,on
11,your
11,page
11,that
11,is
11,an
11,ad
11,or
11,could
11,be
11,construed
11,as
11,an
11,ad
11,that
11,content
11,must
11,comply
11,with
11,the
11,ad
11,requirements
11,of
11,the
11,advertising
11,guidelines
12,9
12,you
12,may
12,not
12,establish
12,terms
12,beyond
12,those
12,set
12,forth
12,in
12,this
12,statement
12,to
12,govern
12,the
12,posting
12,of
12,content
12,by
12,users
12,on
12,a
12,page
12,you
12,administer
12,except
12,you
12,may
12,disclose
12,they
12,types
12,of
12,content
12,you
12,will
12,remove
12,from
12,your
12,page
12,and
12,grounds
12,for
12,which
12,you
12,may
12,ban
12,a
12,user
12,from
12,accessing
12,the
12,page
13,10
13,you
13,will
13,restrict
13,access
13,to
13,your
13,page
13,in
13,order
13,to
13,comply
13,with
13,all
13,applicable
13,laws
13,for
13,example
13,if
13,your
13,page
13,includes
13,content
13,not
13,suitable
13,for
13,minors
13,you
13,will
13,use
13,your
13,page
13,to
13,block
13,minors
13,from
13,accessing
13,your
13,page
16,amended
16,pages
16,terms
16,for
16,state
16,local
16,governments
16,in
16,the
16,united
16,states
