para,word
1,date
1,of
1,last
1,revision
1,may
1,16
1,2011
2,deals
2,terms
3,1
3,if
3,you
3,purchase
3,a
3,deal
3,on
3,or
3,through
3,facebook
4,1
4,your
4,full
4,name
4,may
4,be
4,shared
4,with
4,the
4,deal
4,provider
4,or
4,merchant
5,2
5,your
5,email
5,address
5,may
5,be
5,shared
5,with
5,the
5,deal
5,provider
5,or
5,merchant
5,for
5,use
5,only
5,in
5,connection
5,with
5,your
5,purchase
6,3
6,you
6,will
6,be
6,bound
6,by
6,the
6,additional
6,terms
6,provided
6,by
6,the
6,deal
6,provider
6,or
6,merchant
6,offering
6,the
6,deal
7,4
7,we
7,may
7,send
7,you
7,information
7,about
7,additional
7,deals
7,you
7,may
7,be
7,interested
7,in
7,and
8,5
8,you
8,agree
8,to
8,these
8,deals
8,terms
8,and
8,our
8,payments
8,terms
9,2
9,you
9,release
9,facebook
9,and
9,any
9,deal
9,provider
9,from
9,claims
9,arising
9,from
9,any
9,deal
9,or
9,act
9,or
9,omission
9,of
9,the
9,merchant
9,in
9,connection
9,with
9,the
9,deal
10,3
10,if
10,you
10,are
10,under
10,the
10,age
10,of
10,18
10,you
10,will
10,obtain
10,permission
10,from
10,your
10,parent
10,or
10,guardian
10,before
10,purchasing
10,a
10,deal
11,4
11,the
11,voucher
11,may
11,not
11,be
11,redeemed
11,for
11,products
11,or
11,services
11,other
11,than
11,those
11,specified
11,on
11,the
11,voucher
11,after
11,the
11,end
11,of
11,the
11,promotional
11,period
11,the
11,voucher
11,may
11,be
11,redeemed
11,for
11,goods
11,or
11,services
11,in
11,the
11,amount
11,originally
11,paid
11,for
11,example
11,a
11,voucher
11,purchased
11,at
11,the
11,discounted
11,price
11,of
11,50
11,retail
11,price
11,of
11,100
11,with
11,a
11,six
11,month
11,promotional
11,period
11,may
11,usually
11,be
11,used
11,after
11,the
11,end
11,of
11,the
11,promotional
11,period
11,to
11,purchase
11,50
11,worth
11,of
11,other
11,goods
11,and
11,services
11,from
11,the
11,merchant
11,however
11,vouchers
11,for
11,specific
11,events
11,such
11,as
11,concerts
11,or
11,sporting
11,events
11,can
11,no
11,longer
11,be
11,redeemed
11,once
11,the
11,event
11,date
11,passes
11,and
11,have
11,no
11,value
11,unless
11,required
11,by
11,law
11,or
11,specified
11,on
11,the
11,voucher
12,5
12,deals
12,are
12,not
12,redeemable
12,for
12,cash
12,except
12,where
12,required
12,by
12,applicable
12,law
12,if
12,cash
12,redemption
12,is
12,required
12,by
12,law
12,you
12,will
12,only
12,be
12,entitled
12,to
12,the
12,amount
12,you
12,paid
12,to
12,facebook
12,for
12,the
12,voucher
13,6
13,the
13,deal
13,price
13,does
13,not
13,necessarily
13,include
13,taxes
13,which
13,may
13,be
13,charged
13,to
13,you
13,separately
13,by
13,the
13,merchant
13,upon
13,redemption
14,7
14,vouchers
14,are
14,transferrable
14,unless
14,otherwise
14,specified
14,but
14,may
14,not
14,be
14,purchased
14,and
14,resold
15,8
15,merchants
15,will
15,accept
15,the
15,first
15,unaltered
15,voucher
15,presented
15,with
15,the
15,unique
15,number
15,printed
15,on
15,the
15,voucher
15,altered
15,manipulated
15,or
15,defaced
15,vouchers
15,are
15,void
16,9
16,all
16,purchases
16,of
16,vouchers
16,and
16,other
16,interactions
16,with
16,facebook
16,are
16,subject
16,to
16,facebook’s
16,data
16,use
16,policy
17,10
17,the
17,law
17,applicable
17,to
17,the
17,voucher
17,shall
17,be
17,the
17,law
17,of
17,the
17,state
17,of
17,the
17,merchant
17,by
17,deal
17,we
17,mean
17,the
17,opportunity
17,to
17,purchase
17,vouchers
17,with
17,promotional
17,value
17,or
17,discounts
17,where
17,the
17,vouchers
17,are
