para,word
1,date
1,of
1,last
1,revision
1,april
1,21
1,2011
2,merchant
2,deals
2,terms
3,deals
3,offered
3,on
3,facebook
3,must
3,comply
3,with
3,our
3,advertising
3,guidelines
5,your
5,deal
5,may
5,include
5,a
5,promotional
5,redemption
5,deadline
5,before
5,which
5,you
5,must
5,honor
5,the
5,full
5,promotional
5,value
5,of
5,the
5,deal
6,the
6,promotional
6,redemption
6,deadline
6,must
6,be
6,clearly
6,and
6,conspicuously
6,disclosed
6,in
6,all
6,materials
6,including
6,on
6,the
6,voucher
6,itself
7,as
7,the
7,merchant
7,you
7,are
7,responsible
7,for
7,understanding
7,the
7,applicable
7,laws
7,and
7,honoring
7,all
7,vouchers
7,as
7,required
7,by
7,law
7,including
7,any
7,refund
7,or
7,cash
7,out
7,obligations
9,after
9,the
9,promotional
9,redemption
9,deadline
9,you
9,must
9,fully
9,honor
9,the
9,paid
9,value
9,of
9,the
9,voucher
9,for
9,at
9,least
9,the
9,minimum
9,time
9,required
9,by
9,appliacble
9,laws
11,deals
11,must
11,be
11,based
11,on
11,the
11,regular
11,selling
11,price
11,for
11,the
11,offered
11,goods
11,or
11,services
13,once
13,a
13,deal
13,has
13,begun
13,it
13,may
13,not
13,be
13,altered
13,or
13,edited
15,deals
15,may
15,not
15,include
15,the
15,following
16,products
16,or
16,services
16,that
16,cannot
16,be
16,advertised
16,on
16,facebook
16,according
16,to
16,the
16,advertising
16,guidelines
17,products
17,or
17,services
17,that
17,upon
17,redemption
17,enroll
17,customers
17,into
17,automatic
17,renewal
17,programs
17,or
17,memberships
18,products
18,that
18,are
18,subject
18,in
18,your
18,jurisdiction
18,to
18,minimum
18,selling
18,price
18,or
18,other
18,restrictions
18,that
18,are
18,inconsistent
18,with
18,offering
18,the
18,deal
18,on
18,facebook
18,this
18,includes
18,but
18,is
18,not
18,limited
18,to
18,gasoline
18,dairy
18,gambling
18,or
18,alcohol
18,unless
18,explicitly
18,authorized
18,by
18,facebook
20,by
20,deal
20,we
20,mean
20,the
20,opportunity
20,to
20,purchase
20,vouchers
20,with
20,promotional
20,value
20,or
20,discounts
20,where
20,the
20,vouchers
20,are
20,offered
20,and
20,redeemable
20,by
20,a
20,third
20,party
20,merchant
20,featured
20,in
20,the
20,deal
