para,word
1,help
1,center
2,click
2,quality
3,help
3,centergetting
3,startedsafety
4,questions
4,and
4,answers
4,from
4,facebook
5,expand
5,all
6,how
6,do
6,i
6,know
6,i’m
6,receiving
6,quality
6,clicks
7,facebook
7,takes
7,a
7,proactive
7,approach
7,to
7,protect
7,you
7,from
7,invalid
7,clicks
8,facebook
8,takes
8,a
8,proactive
8,approach
8,to
8,protect
8,you
8,from
8,invalid
8,clicks
8,and
8,we
8,are
8,constantly
8,improving
8,our
8,systems
8,to
8,identify
8,invalid
8,activity
8,with
8,over
8,three
8,hundred
8,million
8,users
8,interacting
8,with
8,the
8,site
8,every
8,month
8,we
8,have
8,a
8,lot
8,of
8,data
8,to
8,analyze
8,and
8,help
8,us
8,identify
8,invalid
8,activity
8,quickly
8,by
8,combining
8,this
8,ongoing
8,analysis
8,with
8,your
8,ad’s
8,click
8,history
8,and
8,your
8,targeting
8,criteria
8,we
8,are
8,able
8,to
8,implement
8,solutions
8,quickly
8,to
8,ensure
8,that
8,you
8,continue
8,to
8,have
8,a
8,reliable
8,advertising
8,experience
8,on
8,facebook
9,what
9,kinds
9,of
9,clicks
9,does
9,facebook
9,consider
9,invalid
10,our
10,goal
10,is
10,to
10,send
10,relevant
10,genuine
10,traffic
10,to
10,your
10,site
10,our
10,syste
11,our
11,goal
11,is
11,to
11,send
11,relevant
11,genuine
11,traffic
11,to
11,your
11,site
11,our
11,systems
11,try
11,to
11,detect
11,and
11,invalidate
11,the
11,following
12,human
12,clicks
12,that
12,don’t
12,indicate
12,a
12,genuine
12,interest
12,in
12,the
12,ad
12,like
12,repetitive
12,or
12,accidental
12,clicks
12,or
12,clicks
12,by
12,facebook
12,employees
13,clicks
13,generated
13,through
13,prohibited
13,means
13,such
13,as
13,bots
13,scrapers
13,browser
13,add
13,ons
13,or
13,other
13,non
13,human
13,methods
14,we’re
14,constantly
14,working
14,to
14,refine
14,our
14,filters
14,and
14,continue
14,to
14,identify
14,and
14,invalidate
14,duplicitous
14,actions
15,how
15,does
15,facebook
15,prevent
15,and
15,detect
15,invalid
15,clicks
16,we
16,use
16,a
16,variety
16,of
16,prevention
16,and
16,detection
16,methods
16,to
16,verify
16,that
16,cl
17,we
17,use
17,a
17,variety
17,of
17,prevention
17,and
17,detection
17,methods
17,to
17,verify
17,that
17,clicks
17,on
17,your
17,ads
17,are
17,valid
17,to
17,prevent
17,invalid
17,activity
17,before
17,clicks
17,can
17,even
17,occur
17,we
17,use
17,tactics
17,such
17,as
17,capping
17,the
17,number
17,of
17,times
17,any
17,ad
17,can
17,be
17,shown
17,to
17,a
17,user
17,we
17,use
17,filtering
17,methods
17,to
17,detect
17,and
17,invalidate
17,clicks
17,that
17,are
17,repetitive
17,incomplete
17,or
17,appear
17,to
17,be
17,accidental
17,our
17,methods
17,involve
17,looking
17,at
17,numerous
17,data
17,points
17,for
17,each
17,click
17,as
17,well
17,as
17,traffic
17,patterns
17,across
17,the
17,site
18,for
18,specific
18,instances
18,of
18,suspicious
18,click
18,activity
18,if
18,we
18,detect
18,or
18,are
18,alerted
18,to
18,the
18,activity
18,our
18,team
18,will
18,perform
18,a
18,manual
18,review
18,to
18,determine
18,the
18,nature
18,of
18,it
18,you
18,will
18,not
18,be
18,charged
18,for
18,clicks
18,that
18,we
18,determine
18,to
18,be
18,invalid
19,we
19,do
19,not
19,disclose
19,the
19,specific
19,methods
19,and
19,thresholds
19,used
19,to
19,analyze
19,click
19,quality
19,to
19,ensure
19,we
19,protect
19,the
19,integrity
19,of
19,our
19,filters
19,and
19,analysis
20,my
20,third
20,party
20,reporting
20,doesn’t
20,match
20,my
20,facebook
20,ads
20,reporting
21,facebook
21,reports
21,valid
21,clicks
21,many
21,third
21,party
21,reporting
21,tools
21,instea
22,facebook
22,reports
22,valid
22,clicks
22,many
22,third
22,party
22,reporting
22,tools
22,instead
22,count
22,page
22,visits
22,or
22,views
22,which
22,may
22,not
22,correspond
22,directly
22,to
22,clicks
22,additionally
22,your
22,third
22,party
22,reporting
22,tool
22,may
22,not
22,count
22,certain
22,clicks
22,because
22,the
22,tool
22,requires
22,that
22,your
22,browser
22,have
22,cookies
22,javascript
22,and
22,or
22,images
22,enabled
22,in
22,order
22,to
22,record
22,statistics
22,your
22,third
22,party
22,tools
22,may
22,also
22,count
22,clicks
22,that
22,we
22,have
22,already
22,identified
22,and
22,filtered
22,out
22,of
22,your
22,reports
22,and
22,charges
22,please
22,remember
22,that
22,statistics
22,measured
22,at
22,daily
22,intervals
22,may
22,be
22,based
22,on
22,different
22,time
22,zones
22,resulting
22,in
22,different
22,daily
22,totals
23,if
23,your
23,ad
23,links
23,directly
23,to
23,the
23,site
23,you're
23,advertising
23,and
23,you're
23,trying
23,to
23,track
23,clicks
23,on
23,that
23,ad
23,by
23,looking
23,at
23,page
23,visits
23,with
23,facebook.com
23,as
23,the
23,source
23,it's
23,likely
23,that
23,your
23,statistics
23,will
23,be
23,different
23,than
23,the
23,reports
23,we
23,provide
23,to
23,you
23,this
23,is
23,an
23,expected
23,discrepancy
23,as
23,many
23,of
23,the
23,page
23,visit
23,sources
23,will
23,be
23,lost
23,with
23,this
23,kind
23,of
23,tracking
23,process
23,if
23,you’d
23,like
23,more
23,information
23,about
23,how
23,to
23,successfully
23,use
23,third
23,party
23,systems
23,to
23,track
23,your
23,page
23,visits
23,we
23,recommend
23,contacting
23,the
23,tracking
23,company
23,directly
24,what
24,can
24,i
24,do
24,if
24,i
24,think
24,i’m
24,receiving
24,invalid
24,clicks
25,if
25,you
25,have
25,reason
25,to
25,believe
25,you’re
25,currently
25,receiving
25,invalid
25,click
26,if
26,you
26,have
26,reason
26,to
26,believe
26,you’re
26,currently
26,receiving
26,invalid
26,clicks
26,or
26,have
26,received
26,invalid
26,clicks
26,in
26,the
26,last
26,two
26,months
26,please
26,fill
26,out
26,this
26,form
26,to
26,request
26,an
26,investigation
26,if
26,we
26,determine
26,that
26,you
26,were
26,in
26,fact
26,charged
26,for
26,invalid
26,clicks
26,that
26,we
26,did
26,not
26,previously
26,detect
26,we
26,will
26,credit
26,your
26,account
26,accordingly
27,when
27,you
27,contact
27,us
27,please
27,provide
27,as
27,many
27,details
27,as
27,possible
27,about
27,the
27,suspected
27,activity
27,so
27,that
27,we
27,can
27,thoroughly
27,investigate
27,your
27,report
27,we
27,often
27,request
27,server
27,logs
27,documenting
27,the
27,traffic
27,to
27,your
27,site
27,during
27,the
27,time
27,period
27,in
27,question
27,so
27,that
27,we
27,can
27,compare
27,our
27,logs
27,to
27,the
27,server
27,logs
27,and
27,explain
27,any
27,discrepancies
27,that
27,may
27,be
27,occurring
27,we
27,cannot
27,accept
27,third
27,party
27,aggregations
27,for
27,this
27,purpose
27,because
27,they
27,don’t
27,contain
27,the
27,level
27,of
27,detail
27,needed
27,for
27,investigation
28,where
28,can
28,i
28,learn
28,about
28,how
28,to
28,build
28,a
28,successful
28,ad
28,campaign
28,on
28,facebook
29,if
29,you’re
29,concerned
29,with
29,the
29,amount
29,of
29,time
29,visitors
29,are
29,spending
29,on
29,y
30,if
30,you’re
30,concerned
30,with
30,the
30,amount
30,of
30,time
30,visitors
30,are
30,spending
30,on
30,your
30,site
30,or
30,the
30,number
30,of
30,conversions
30,you’re
30,receiving
30,we
30,recommend
30,that
30,you
30,visit
30,the
30,success
30,stories
30,and
30,best
30,practices
30,section
30,of
30,the
30,facebook
30,help
30,center
31,return
31,to
31,the
31,facebook
31,ads
31,help
31,center
32,available
32,languages
33,this
33,page
33,is
33,available
33,in
33,the
33,following
33,languages
34,english
34,us
35,français
35,france
36,français
36,canada
37,español
37,españa
38,deutsch
39,日本語
40,italiano
41,türkçe
42,español
