para,word
1,letzte
1,überarbeitung
1,21
1,dezember
1,2009
2,für
2,nutzer
2,mit
2,wohnsitz
2,in
2,deutschland
3,1
3,ziffer
3,2
3,gilt
3,mit
3,der
3,maßgabe
3,dass
3,unsere
3,nutzung
3,dieser
3,inhalte
3,auf
3,die
3,verwendung
3,auf
3,oder
3,in
3,verbindung
3,mit
3,facebook
3,beschränkt
3,ist
4,2
4,ziffer
4,15.1
4,wird
4,ersetzt
4,durch
4,diese
4,erklärung
4,unterliegt
4,deutschem
4,recht
5,3
5,ziffer
5,15.3
5,wird
5,ersetzt
5,durch
5,wir
5,sind
5,ausschließlich
5,wie
5,folgt
5,haftbar
5,wir
5,haften
5,unbeschränkt
5,gemäß
5,den
5,gesetzlichen
5,bestimmungen
5,i
5,für
5,schäden
5,die
5,aus
5,der
5,verletzung
5,von
5,leben
5,körper
5,oder
5,gesundheit
5,entstehen
5,ii
5,bei
5,vorsatz
5,iii
5,bei
5,grober
5,fahrlässigkeit
5,und
5,iv
5,gemäß
5,dem
5,produkthaftungsgesetz
5,ohne
5,dass
5,dies
5,das
5,vorstehende
5,einschränkt
5,haften
5,wir
5,für
5,leichte
5,fahrlässigkeit
5,nur
5,im
5,falle
5,der
5,verletzung
5,einer
5,wesentlichen
5,pflicht
5,aus
5,diesem
5,vertrag
5,wesentliche
5,pflichten
5,in
5,diesem
5,sinne
5,sind
5,pflichten
5,die
5,für
5,die
5,erfüllung
5,des
5,vertrags
5,nötig
5,sind
5,deren
5,verletzung
5,die
5,erreichung
5,des
5,vertragszwecks
5,in
5,frage
5,stellen
5,würde
5,und
5,auf
5,deren
5,einhaltung
5,du
5,daher
5,regelmäßig
5,vertrauen
5,darfst
5,in
5,diesen
5,fällen
5,ist
5,die
5,haftung
5,beschränkt
5,auf
5,typische
5,und
5,vorhersehbare
5,schäden
5,in
5,sonstigen
5,fällen
5,besteht
5,keine
5,haftung
5,für
5,leichte
5,fahrlässigkeit
6,4
6,abweichend
6,von
6,ziffer
6,13
6,treten
6,änderungen
6,30
6,tage
6,nach
6,dem
6,datum
6,in
6,kraft
6,an
6,dem
6,wir
6,über
6,die
6,geplanten
6,änderungen
6,informiert
6,haben
6,wenn
6,du
6,die
6,änderungen
6,nicht
6,akzeptieren
6,möchtest
6,musst
6,du
6,dein
6,konto
6,löschen
6,und
6,wenn
6,du
6,dies
6,nicht
6,tust
6,gilt
6,das
6,als
6,annahme
6,der
6,änderungen
6,wir
6,werden
6,dich
6,in
6,unserer
6,die
6,änderungen
6,ankündigenden
6,e
6,mail
6,auf
6,diese
6,30
6,tages
6,frist
6,und
6,ihre
6,bedeutung
6,besonders
6,hinweisen
