para,word
1,facebook’s
1,privacy
1,policy
2,date
2,of
2,last
2,revision
2,december
2,22
2,2010
3,this
3,policy
3,contains
3,nine
3,sections
3,and
3,you
3,can
3,jump
3,to
3,each
3,by
3,selecting
3,the
3,links
3,below
4,1
4,introduction
4,2
4,information
4,we
4,receive
4,3
4,sharing
4,information
4,on
4,facebook
4,4
4,information
4,you
4,share
4,with
4,third
4,parties
4,5
4,how
4,we
4,use
4,your
4,information
4,6
4,how
4,we
4,share
4,information
4,7
4,how
4,you
4,can
4,change
4,or
4,remove
4,information
4,8
4,how
4,we
4,protect
4,information
4,9
4,other
4,terms1
4,introduction
5,questions
5,if
5,you
5,have
5,any
5,questions
5,or
5,concerns
5,about
5,our
5,privacy
5,policy
5,contact
5,our
5,privacy
5,team
5,through
5,this
5,help
5,page
5,you
5,may
5,also
5,contact
5,us
5,by
5,mail
5,at
5,1601
5,s
5,california
5,avenue
5,palo
5,alto
5,ca
5,94304
6,truste
6,program
6,facebook
6,has
6,been
6,awarded
6,truste's
6,privacy
6,seal
6,signifying
6,that
6,this
6,privacy
6,policy
6,and
6,practices
6,have
6,been
6,reviewed
6,by
6,truste
6,for
6,compliance
6,with
6,truste's
6,program
6,requirements
6,if
6,you
6,have
6,questions
6,or
6,complaints
6,regarding
6,our
6,privacy
6,policy
6,or
6,practices
6,please
6,contact
6,us
6,by
6,mail
6,at
6,1601
6,s
6,california
6,avenue
6,palo
6,alto
6,ca
6,94304
6,or
6,through
6,this
6,help
6,page
6,if
6,you
6,are
6,not
6,satisfied
6,with
6,our
6,response
6,you
6,can
6,contact
6,truste
6,here.this
6,privacy
6,policy
6,covers
6,the
6,website
6,www.facebook.com
6,the
6,truste
6,program
6,covers
6,only
6,information
6,that
6,is
6,collected
6,through
6,this
6,web
6,site
6,and
6,does
6,not
6,cover
6,other
6,information
6,such
6,as
6,information
6,that
6,may
6,be
6,collected
6,through
6,software
6,downloaded
6,from
6,facebook
7,safe
7,harbor
7,facebook
7,also
7,complies
7,with
7,the
7,eu
7,safe
7,harbor
7,framework
7,as
7,set
7,forth
7,by
7,the
7,department
7,of
7,commerce
7,regarding
7,the
7,collection
7,use
7,and
7,retention
