para,word
1,learn
1,more
1,about
1,cookies
1,and
1,similar
1,technologies
2,data
2,use
2,policy
3,last
3,updated
3,december
3,11
3,2012
4,information
4,we
4,receive
4,and
4,how
4,it
4,is
4,used
5,learn
5,about
5,the
5,types
5,of
5,information
5,we
5,receive
5,and
5,how
5,that
5,information
5,is
5,used
6,sharing
6,and
6,finding
6,you
6,on
6,facebook
7,get
7,to
7,know
7,the
7,privacy
7,settings
7,that
7,help
7,you
7,control
7,your
7,information
7,on
7,facebook.com
8,other
8,websites
8,and
8,applications
9,learn
9,about
9,things
9,like
9,social
9,plugins
9,and
9,how
9,information
9,is
9,shared
9,with
9,the
9,games
9,applications
9,and
9,websites
9,you
9,and
9,your
9,friends
9,use
9,off
9,facebook
10,how
10,advertising
10,and
10,sponsored
10,stories
10,work
11,see
11,how
11,ads
11,are
11,served
11,without
11,sharing
11,your
11,information
11,with
11,advertisers
11,and
11,understand
11,how
11,we
11,pair
11,ads
11,with
11,social
11,context
11,such
11,as
11,newsfeed
11,style
11,stories
12,cookies
12,pixels
12,and
12,other
12,system
12,technologies
13,find
13,out
13,how
13,cookies
13,pixels
13,and
13,tools
13,like
13,local
13,storage
13,are
13,used
13,to
13,provide
13,you
13,with
13,services
13,features
13,and
13,relevant
13,ads
13,and
13,content
14,some
14,other
14,things
14,you
14,need
14,to
14,know
15,learn
15,how
15,we
15,make
15,changes
15,to
15,this
15,policy
15,and
15,more
16,if
16,you
16,have
16,questions
16,or
16,complaints
16,regarding
16,our
16,data
16,use
16,policy
16,or
16,practices
16,please
16,contact
16,us
16,by
16,mail
16,if
16,you
16,are
16,located
16,in
16,the
16,u.s
16,or
16,canada
16,our
16,mailing
16,address
16,is
16,facebook
16,inc
16,1601
16,willow
16,road
16,menlo
16,park
16,ca
16,94025
16,if
16,you
16,are
16,located
16,outside
16,the
16,u.s
16,or
16,canada
16,our
16,mailing
16,address
16,is
16,facebook
16,ireland
16,ltd
16,hanover
16,reach
16,5
16,7
16,hanover
16,quay
16,dublin
16,2
16,ireland
16,you
16,may
16,also
16,contact
16,us
16,through
16,this
16,help
16,page
17,more
17,resources
18,interactive
18,tools
19,minors
19,and
19,safety
20,view
20,the
20,complete
20,data
20,use
20,policy
