para,word
1,date
1,of
1,last
1,revision
1,january
1,16
1,2015
3,facebook
3,pages
3,terms
4,the
4,following
4,terms
4,as
4,well
4,as
4,our
4,data
4,use
4,policy
4,and
4,statement
4,of
4,rights
4,and
4,responsibilities
4,apply
4,to
4,all
4,pages
4,on
4,facebook
4,additionally
4,all
4,content
4,on
4,pages
4,must
4,comply
4,with
4,our
4,community
4,standards
4,you
4,are
4,responsible
4,for
4,ensuring
4,that
4,your
4,page
4,complies
4,with
4,all
4,applicable
4,laws
4,statutes
4,and
4,regulations
5,i
5,general
6,a
6,a
6,page
6,for
6,a
6,brand
6,entity
6,place
6,or
6,organization
6,or
6,public
6,figure
6,may
6,be
6,administered
6,only
6,by
6,an
6,authorized
6,representative
6,of
6,that
6,brand
6,entity
6,place
6,or
6,organization
6,or
6,public
6,figure
6,an
6,official
6,page
7,b
7,any
7,user
7,may
7,create
7,a
7,page
7,to
7,express
7,support
7,for
7,or
7,interest
7,in
7,a
7,brand
7,entity
7,place
7,or
7,organization
7,or
7,public
7,figure
7,provided
7,that
7,it
7,does
7,not
7,mislead
7,others
7,into
7,thinking
7,it
7,is
7,an
7,official
7,page
7,or
7,violate
7,someone's
7,rights
7,if
7,your
7,page
7,is
7,not
7,the
7,official
7,page
7,of
7,a
7,brand
7,entity
7,place
7,or
7,organization
7,or
7,public
7,figure
7,you
7,must
8,i
8,not
8,speak
8,in
8,the
8,voice
8,of
8,or
8,post
8,content
8,as
8,though
8,it
8,was
8,coming
8,from
8,the
8,authorized
8,representative
8,of
8,the
8,page’s
8,subject
8,matter
8,and
9,ii
9,make
9,clear
9,that
9,the
9,page
9,is
9,not
9,the
9,official
9,page
9,of
9,the
9,brand
9,entity
9,place
9,or
9,organization
9,or
9,public
9,figure
10,c
10,content
10,posted
10,to
10,a
10,page
10,is
10,public
10,and
10,viewable
10,by
10,everyone
10,who
10,can
10,see
10,the
10,page
11,d
11,you
11,are
11,required
11,to
11,restrict
11,access
11,to
11,pages
11,through
11,our
11,gating
11,functionality
11,as
11,necessary
11,to
11,comply
11,with
11,applicable
11,laws
11,and
11,facebook
11,policies
11,including
11,our
11,community
11,standards
12,e
12,you
12,may
12,not
12,establish
12,terms
12,for
12,your
12,page
12,that
12,conflict
12,with
12,our
12,statement
12,of
12,rights
12,and
12,responsibilities
12,data
12,use
12,policy
12,or
12,these
12,terms
13,ii
13,page
13,management
14,a
14,page
14,names
14,and
14,facebook
14,web
14,addresses
15,page
15,names
15,and
15,facebook
15,web
15,addresses
15,must
15,accurately
15,reflect
15,page
15,content
15,we
15,may
15,remove
15,administrative
15,rights
15,or
15,require
15,you
15,to
15,change
15,the
15,page
15,name
15,and
15,facebook
15,web
15,address
15,for
15,any
15,page
15,that
15,fails
15,to
15,meet
15,this
15,requirement
16,page
16,names
16,must
17,i
17,not
17,consist
17,solely
17,of
17,generic
17,terms
17,e.g
17,beer
17,or
17,pizza
18,ii
18,use
18,proper
18,grammatically
18,correct
18,capitalization
18,and
18,may
18,not
18,include
18,all
18,capitals
18,except
18,for
18,acronyms
19,iii
19,not
19,include
19,character
19,symbols
19,such
19,as
19,excessive
19,punctuation
19,and
19,trademark
19,designations
20,iv
20,not
20,include
20,superfluous
20,descriptions
20,or
20,unnecessary
20,qualifiers
21,v
21,not
21,mislead
21,others
21,into
21,thinking
21,it
21,is
21,an
21,official
21,page
21,of
21,the
21,page’s
21,subject
21,matter
21,or
21,is
21,authorized
21,by
21,an
21,authorized
21,representative
21,of
21,the
21,page’s
21,subject
21,matter
21,and
22,vi
22,not
22,violate
22,someone’s
22,rights
23,b
23,name
23,changes
23,and
23,migrations
24,we
24,will
24,only
24,process
24,name
24,changes
