para,word
1,platform
1,policy
2,1
2,build
2,a
2,quality
2,product
3,2
3,give
3,people
3,control
4,3
4,protect
4,data
5,4
5,encourage
5,proper
5,use
6,5
6,follow
6,the
6,law
7,6
7,things
7,you
7,should
7,know
8,if
8,you
8,use
8,these
8,features
8,follow
8,these
8,additional
8,policies
9,7
9,login
10,8
10,ads
11,9
11,games
12,10
12,payments
13,11
13,app
13,center
14,12
14,open
14,graph
15,13
15,social
15,plugins
16,14
16,ads
16,api
17,15
17,definitions
18,last
18,updated
18,november
18,5
18,2014
19,facebook
19,platform
19,policy
20,other
20,languages
21,1
21,build
21,a
21,quality
21,product
22,build
22,an
22,app
22,that
22,is
22,stable
22,and
22,easily
22,navigable
23,ensure
23,that
23,your
23,app’s
23,content
23,including
23,ads
23,and
23,user
23,generated
23,content
23,meets
23,our
23,community
23,standards
24,follow
24,our
24,advertising
24,guidelines
24,for
24,your
24,app
24,name
24,icons
24,and
24,description
25,keep
25,your
25,app’s
25,description
25,and
25,categorization
25,up
25,to
25,date
26,don’t
26,confuse
26,deceive
26,defraud
26,mislead
26,spam
26,or
26,surprise
26,anyone
27,keep
27,your
27,app’s
27,negative
27,feedback
27,below
27,our
27,thresholds
28,follow
28,any
28,instructions
28,we
28,include
28,in
28,our
28,technical
28,documentation
29,2
29,give
29,people
29,control
30,obtain
30,consent
30,from
30,people
30,before
30,publishing
30,content
30,on
30,their
30,behalf
31,use
31,publishing
31,permissions
31,to
31,help
31,people
31,share
31,on
31,facebook
31,not
31,to
31,send
31,people
31,messages
31,from
31,your
31,app
32,don't
32,prefill
32,captions
32,comments
32,messages
32,or
32,the
32,user
32,message
32,parameter
32,of
32,posts
32,with
32,content
32,a
32,person
32,didn’t
32,create
32,even
32,if
32,the
32,person
32,can
32,edit
32,or
32,remove
32,the
32,content
32,before
32,sharing
33,provide
33,a
33,publicly
33,available
33,and
33,easily
33,accessible
33,privacy
33,policy
33,that
33,explains
33,what
33,data
33,you
33,are
33,collecting
33,and
33,how
33,you
33,will
33,use
33,that
33,data
34,you
34,may
34,use
34,account
34,information
34,in
34,accordance
34,with
34,your
34,privacy
34,policy
34,and
34,other
34,facebook
34,policies
34,all
34,other
34,data
34,may
34,only
34,be
34,used
34,outside
34,your
34,app
34,after
34,you
34,have
34,obtained
34,explicit
34,user
34,consent
35,include
35,your
35,privacy
35,policy
35,url
35,in
35,the
35,app
35,dashboard
36,link
36,to
36,your
36,privacy
36,policy
36,in
36,any
36,app
36,marketplace
36,that
36,allows
36,you
36,to
37,comply
37,with
37,your
37,privacy
37,policy
38,delete
38,all
38,of
38,a
38,person’s
38,data
38,you
38,have
38,received
38,from
38,us
38,including
38,friend
38,data
38,if
38,that
38,person
38,asks
38,you
38,to
38,unless
38,you
38,are
38,required
38,to
38,keep
38,it
38,by
38,law
38,regulation
38,or
38,separate
38,agreement
38,with
38,us
38,you
38,may
38,keep
38,aggregated
38,data
38,only
38,if
38,no
38,information
38,identifying
38,a
38,specific
38,person
38,could
38,be
38,inferred
38,or
38,created
38,from
38,it
39,obtain
39,consent
39,from
39,people
39,before
39,using
39,their
39,data
39,in
39,any
39,ad
40,obtain
40,consent
40,from
40,people
40,before
40,you
40,give
40,us
40,information
40,that
40,you
40,independently
40,collected
40,from
40,them
41,if
41,you
41,are
41,tracking
41,a
41,person's
41,activity
41,provide
41,an
41,opt
41,out
41,from
41,that
