para,word
1,this
1,agreement
1,was
1,written
1,in
1,english
1,us
1,to
1,the
1,extent
1,any
1,translated
1,version
1,of
1,this
1,agreement
1,conflicts
1,with
1,the
1,english
1,version
1,the
1,english
1,version
1,controls
1,please
1,note
1,that
1,section
1,16
1,contains
1,certain
1,changes
1,to
1,the
1,general
1,terms
1,for
1,users
1,outside
1,the
1,united
1,states
2,date
2,of
2,last
2,revision
2,january
2,30
2,2015
3,statement
3,of
3,rights
3,and
3,responsibilities
4,this
4,statement
4,of
4,rights
4,and
4,responsibilities
4,statement
4,terms
4,or
4,srr
4,derives
4,from
4,thefacebook
4,principles
4,and
4,is
4,our
4,terms
4,of
4,service
4,that
4,governs
4,our
4,relationship
4,with
4,users
4,and
4,others
4,who
4,interact
4,with
4,facebook
4,as
4,well
4,as
4,facebook
4,brands
4,products
4,and
4,services
4,which
4,we
4,call
4,the
4,facebook
4,services
4,or
4,services
4,by
4,using
4,or
4,accessing
4,the
4,facebook
4,services
4,you
4,agree
4,to
4,this
4,statement
4,as
4,updated
4,from
4,time
4,to
4,time
4,in
4,accordance
4,with
4,section
4,13
4,below
4,additionally
4,you
4,will
4,find
4,resources
4,at
4,the
4,end
4,of
4,this
4,document
4,that
4,help
4,you
4,understand
4,how
4,facebook
4,works
5,because
5,facebook
5,provides
5,a
5,wide
5,range
5,of
5,services
5,we
5,may
5,ask
5,you
5,to
5,review
5,and
5,accept
5,supplemental
5,terms
5,that
5,apply
5,to
5,your
5,interaction
5,with
5,a
5,specific
5,app
5,product
5,or
5,service
5,to
5,the
5,extent
5,those
5,supplemental
5,terms
5,conflict
5,with
5,this
5,srr
5,the
5,supplemental
5,terms
5,associated
5,with
5,the
5,app
5,product
5,or
5,service
5,govern
5,with
5,respect
5,to
5,your
5,use
5,of
5,such
5,app
5,product
5,or
5,service
5,to
5,the
5,extent
5,of
5,the
5,conflict
6,privacy
7,your
7,privacy
7,is
7,very
7,important
7,to
7,us
7,we
7,designed
7,our
7,data
7,policy
7,to
7,make
7,important
7,disclosures
7,about
7,how
7,you
7,can
7,use
7,facebook
7,to
7,share
7,with
7,others
7,and
7,how
7,we
7,collect
7,and
7,can
7,use
7,your
7,content
7,and
7,information
7,we
7,encourage
7,you
7,to
7,read
7,the
7,data
7,policy
7,and
7,to
7,use
7,it
7,to
7,help
7,you
7,make
7,informed
7,decisions
9,sharing
9,your
9,content
9,and
9,information
10,you
10,own
10,all
10,of
10,the
10,content
10,and
10,information
10,you
10,post
10,on
10,facebook
10,and
10,you
10,can
10,control
10,how
10,it
10,is
10,shared
10,through
10,yourprivacyandapplication
10,settings
10,in
10,addition
11,for
11,content
11,that
11,is
11,covered
11,by
11,intellectual
11,property
11,rights
11,like
11,photos
11,and
11,videos
11,ip
11,content
11,you
11,specifically
11,give
11,us
11,the
11,following
11,permission
11,subject
11,to
11,your
11,privacy
11,and
11,application
11,settings
11,you
11,grant
11,us
11,a
11,non
11,exclusive
11,transferable
11,sub
11,licensable
11,royalty
11,free
11,worldwide
11,license
11,to
11,use
11,any
11,ip
11,content
11,that
11,you
11,post
11,on
11,or
11,in
11,connection
11,with
11,facebook
11,ip
11,license
11,this
11,ip
11,license
11,ends
11,when
11,you
11,delete
11,your
11,ip
11,content
11,or
11,your
11,account
11,unless
11,your
11,content
11,has
11,been
11,shared
11,with
11,others
11,and
11,they
11,have
11,not
11,deleted
11,it
12,when
12,you
12,delete
12,ip
12,content
12,it
12,is
12,deleted
12,in
12,a
12,manner
12,similar
12,to
12,emptying
12,the
12,recycle
12,bin
12,on
12,a
12,computer
12,however
12,you
12,understand
12,that
12,removed
12,content
12,may
12,persist
12,in
12,backup
12,copies
12,for
12,a
12,reasonable
12,period
12,of
12,time
12,but
12,will
12,not
12,be
12,available
12,to
12,others
13,when
13,you
13,use
13,an
13,application
13,the
13,application
13,may
13,ask
13,for
13,your
13,permission
13,to
13,access
13,your
13,content
13,and
13,information
13,as
13,well
13,as
13,content
13,and
13,information
13,that
13,others
13,have
13,shared
13,with
13,you
13,we
13,require
13,applications
13,to
13,respect
13,your
13,privacy
13,and
13,your
13,agreement
13,with
13,that
13,application
13,will
13,control
13,how
13,the
13,application
13,can
13,use
13,store
13,and
13,transfer
13,that
13,content
13,and
13,information
13,to
13,learn
13,more
13,about
13,platform
13,including
13,how
13,you
13,can
13,control
13,what
13,information
13,other
13,people
13,may
13,share
13,with
13,applications
13,read
13,our
13,data
13,policy
13,and
13,platform
13,page
14,when
14,you
14,publish
14,content
14,or
14,information
14,using
14,the
14,public
14,setting
14,it
14,means
14,that
14,you
14,are
14,allowing
14,everyone
14,including
14,people
14,off
14,of
14,facebook
14,to
14,access
14,and
14,use
14,that
14,information
14,and
14,to
14,associate
14,it
14,with
14,you
14,i.e
14,your
14,name
14,and
14,profile
14,picture
15,we
15,always
15,appreciate
15,your
15,feedback
15,or
15,other
15,suggestions
15,about
15,facebook
15,but
15,you
15,understand
15,that
15,we
15,may
15,use
15,your
15,feedback
15,or
15,suggestions
15,without
15,any
15,obligation
15,to
15,compensate
15,you
