para,word
1,pełne
1,zasady
1,wykorzystania
1,danych
2,ustawienia
2,reklam
2,na
2,facebooku
3,podstawowe
3,informacje
3,dotyczące
3,prywatności
4,zasady
4,stosowania
4,plików
4,cookie
5,regulamin
6,więcej
6,zasobów
7,zobacz
7,pełne
7,zasady
7,wykorzystania
7,danych
8,interaktywne
8,narzędzia
9,osoby
9,niepełnoletnie
9,i
9,bezpieczeństwo
10,informacje
10,dotyczące
10,prywatności
10,na
10,facebooku
11,informacje
11,dotyczące
11,bezpieczeństwa
11,na
11,facebooku
12,informacje
12,dotyczące
12,zasad
12,obowiązujących
12,na
12,facebooku
13,ue
13,usa
13,zasady
13,bezpiecznego
13,transferu
13,danych
14,zasady
14,wykorzystania
14,danych
15,dajemy
15,ci
15,możliwość
15,dzielenia
15,się
15,informacjami
15,wypełniając
15,naszą
15,misję
15,budowania
15,otwartego
15,świata
15,i
15,ułatwiania
15,komunikacji
15,niżej
15,wyjaśniamy
15,jakie
15,informacje
15,gromadzimy
15,i
15,jak
15,są
15,one
15,wykorzystywane
15,i
15,udostępniane
15,dodatkowe
15,narzędzia
15,i
15,informacje
15,znajdziesz
15,na
15,stronie
15,poświęconejpodstawowym
15,zasadom
15,prywatności
16,czytając
16,o
16,naszych
16,zasadach
16,pamiętaj
16,że
16,dotyczą
16,one
16,wszystkich
16,marek
16,produktów
16,i
16,usług
16,facebooka
16,które
16,nie
16,posiadają
16,odrębnych
16,zasad
16,oraz
16,takich
16,które
16,do
16,niniejszych
16,zasad
16,odsyłają
16,zwanych
16,dalej
16,usługami
16,facebooka
16,lub
16,po
16,prostu
16,usługami
17,powrót
17,do
17,góry
18,jakiego
18,rodzaju
18,informacje
18,gromadzimy
19,zależnie
19,od
19,tego
19,z
19,jakich
19,usług
19,korzystasz
19,możemy
19,gromadzić
19,różne
19,informacje
19,na
19,twój
19,temat
20,to
20,co
20,robisz
20,oraz
20,informacje
20,których
20,dostarczasz
21,gromadzimy
21,treści
21,i
21,inne
21,informacje
21,otrzymywane
21,od
21,ciebie
21,podczas
21,korzystania
21,z
21,naszych
21,usług
21,np
21,dane
21,podawane
21,przy
21,rejestracji
21,konta
21,na
21,facebooku
21,tworzeniu
21,treści
21,i
21,ich
21,udostępnianiu
21,oraz
21,przy
21,wymianie
21,wiadomości
21,i
21,innego
21,rodzaju
21,komunikatów
21,z
21,innymi
21,osobami
21,mogą
21,to
21,być
21,informacje
21,zawarte
21,w
21,dostarczanych
21,przez
21,ciebie
21,treściach
21,lub
21,ich
21,dotyczące
21,np
21,informacje
21,o
21,miejscu
21,wykonania
21,zdjęcia
21,lub
21,dacie
21,utworzenia
21,pliku
21,gromadzimy
21,też
21,informacje
21,na
21,temat
21,sposobów
21,korzystania
21,przez
21,ciebie
21,z
21,usług
21,np
21,rodzaju
21,treści
21,które
21,przeglądasz
21,i
21,na
21,które
21,reagujesz
21,a
21,także
21,częstotliwości
21,i
21,czasu
21,trwania
21,różnych
21,twoich
21,działań
22,to
22,co
22,robią
22,inni
22,i
22,informacje
22,których
22,dostarczają
23,gromadzimy
23,także
23,treści
23,i
23,informacje
23,dostarczane
23,przez
23,inne
23,osoby
23,w
23,trakcie
23,korzystania
23,z
23,naszych
23,usług
23,w
23,tym
23,również
23,informacje
23,na
23,twój
23,temat
23,np
23,udostępniane
23,przez
23,nie
23,zdjęcia
23,na
23,których
23,się
23,znajdujesz
23,wysyłane
23,przez
23,nie
23,do
23,ciebie
23,wiadomości
23,czy
23,twoje
23,dane
23,kontaktowe
23,które
23,inni
23,przesyłają
23,synchronizują
23,lub
23,importują
24,twoje
24,sieci
24,i
24,połączenia
25,gromadzimy
25,informacje
25,na
25,temat
25,osób
25,i
25,grup
25,z
25,którymi
25,jesteś
25,połączony
25,a
25,oraz
25,twoich
25,interakcji
25,z
25,nimi
25,np
25,o
25,tym
25,z
25,którymi
25,osobami
25,porozumiewasz
25,się
25,najczęściej
25,lub
25,z
25,którymi
25,grupami
25,lubisz
25,dzielić
25,się
25,informacjami
25,gromadzimy
25,też
25,dane
25,kontaktowe
25,które
25,podajesz
25,przesyłając
25,synchronizując
25,lub
25,importując
25,je
25,np
25,w
25,formie
25,książki
25,adresowej
25,z
25,dowolnego
25,urządzenia
26,informacje
26,o
26,płatnościach
27,jeżeli
27,korzystasz
27,z
27,naszego
27,serwisu
27,do
27,robienia
27,zakupów
27,lub
27,wykonywania
27,transakcji
27,finansowych
27,na
27,przykład
27,gdy
27,kupujesz
27,coś
27,na
27,facebooku
27,dokonujesz
27,zakupu
27,w
27,dowolnej
27,grze
27,lub
27,wspierasz
27,kogoś
27,datkiem
27,gromadzimy
27,informacje
27,o
27,takich
27,zakupach
27,i
27,transakcjach
27,należą
27,do
27,nich
27,m.in
27,dane
27,o
27,płatnościach
27,np
27,numery
27,i
27,inne
27,dane
27,kart
27,kredytowych
27,lub
27,debetowych
27,dane
27,kont
27,i
27,informacje
27,przesyłane
27,przy
27,uwierzytelnianiu
27,transakcji
27,a
27,także
27,informacje
27,rozliczeniowe
27,wysyłkowe
27,i
27,dane
27,kontaktowe
28,informacje
28,o
28,urządzeniach
29,gromadzimy
29,informacje
29,pochodzące
29,z
29,komputerów
29,telefonów
29,i
29,innych
29,urządzeń
29,na
29,których
29,instalujesz
29,usługi
29,lub
29,których
29,używasz
29,aby
29,z
29,nich
29,korzystać
29,oraz
29,informacje
29,o
29,tych
29,komputerach
29,telefonach
29,i
29,urządzeniach
29,w
29,zakresie
29,zależnym
29,od
29,przyznanych
29,przez
29,ciebie
29,uprawnień
29,możemy
29,łączyć
29,informacje
29,pochodzące
29,z
29,różnych
29,urządzeń
29,co
29,ułatwia
29,nam
29,świadczenie
29,usług
29,w
29,sposób
29,spójny
29,na
29,wszystkich
29,twoich
29,urządzeniach
29,oto
29,kilka
29,przykładów
29,gromadzonych
29,przez
29,nas
29,informacji
29,o
29,urządzeniach
30,parametry
30,systemu
30,operacyjnego
30,wersje
30,podzespołów
30,ustawienia
30,urządzeń
30,nazwy
30,i
30,typy
30,plików
30,i
30,oprogramowania
30,dane
30,o
30,stanie
30,baterii
30,i
30,sile
30,sygnału
30,oraz
30,identyfikatory
30,urządzeń
31,położenie
31,urządzeń
31,w
31,tym
31,ich
31,lokalizacja
31,geograficzna
31,określona
31,na
31,podstawie
31,danych
31,z
31,systemu
31,gps
31,sygnału
31,bluetooth
31,lub
31,sieci
31,wi
31,fi
32,informacje
32,o
32,połączeniach
32,w
32,tym
32,nazwa
32,operatora
32,sieci
32,komórkowej
32,lub
32,dostawcy
32,usług
32,internetowych
32,typ
32,przeglądarki
32,język
32,i
32,strefa
32,czasowa
32,numer
32,telefonu
32,komórkowego
32,i
32,adres
32,ip
33,informacje
33,z
33,korzystających
33,z
33,naszych
33,usług
33,aplikacji
33,i
33,witryn
33,internetowych
34,gromadzimy
34,informacje
34,o
34,tym
34,kiedy
34,odwiedzasz
34,korzystające
34,z
34,naszych
34,usług
34,aplikacje
34,i
34,witryny
34,innych
34,podmiotów
34,np
34,zawierające
34,przycisk
34,lubię
34,to
34,lub
34,formularz
34,logowania
34,się
34,na
34,facebooku
34,lub
34,korzystające
34,z
34,naszych
34,usług
34,monitorowania
34,i
34,usług
34,reklamowych
34,do
34,tej
34,kategorii
34,należą
34,informacje
34,o
34,odwiedzanych
34,przez
34,ciebie
34,witrynach
34,i
34,aplikacjach
34,o
34,korzystaniu
34,przez
34,ciebie
34,z
34,dostępnych
34,w
34,tych
34,witrynach
34,i
34,aplikacjach
34,usług
34,oraz
34,informacje
34,przekazywane
34,nam
34,lub
34,tobie
34,przez
34,twórców
34,aplikacji
34,i
34,witryn
34,oraz
34,podmioty
34,je
34,publikujące
35,informacje
35,od
35,partnerów
35,zewnętrznych
36,otrzymujemy
36,informacje
36,dotyczące
36,ciebie
36,i
36,twoich
36,działań
36,w
36,serwisie
36,facebook
36,i
36,poza
36,nim
36,od
36,naszych
36,partnerów
36,zewnętrznych
36,np
36,od
36,tych
36,z
36,którymi
36,wspólnie
36,świadczymy
36,określone
