para,word
1,payments
1,terms
2,the
2,facebook
2,payments
2,service
2,facebook
2,payments
2,helps
2,developers
2,who
2,wish
2,to
2,offer
2,premium
2,in
2,game
2,content
2,generate
2,revenue
2,so
2,they
2,can
2,focus
2,on
2,creating
2,apps
2,games
2,and
2,features
2,generically
2,apps
2,rather
2,than
2,on
2,building
2,payment
2,systems
3,date
3,of
3,last
3,revision
3,december
3,29
3,2016
4,to
4,enhance
4,the
4,quality
4,convenience
4,and
4,security
4,of
4,the
4,user
4,experience
4,on
4,facebook
4,these
4,facebook
4,developer
4,payments
4,terms
4,the
4,terms
4,apply
4,to
4,all
4,developers
4,of
4,apps
4,using
4,facebook
4,payments
4,we
4,have
4,provided
4,section
4,headers
4,for
4,your
4,convenience
4,but
4,you
4,should
4,carefully
4,read
4,though
4,these
4,terms
4,in
4,order
4,to
4,understand
4,your
4,rights
4,and
4,responsibilities
4,as
4,well
4,as
4,ours
5,this
5,agreement
5,was
5,written
5,in
5,english
5,us
5,to
5,the
5,extent
5,any
5,translated
5,version
5,of
5,this
5,agreement
5,conflicts
5,with
5,the
5,english
5,version
5,the
5,english
5,version
5,controls
6,transactions
7,eligibility
7,we
7,may
7,approve
7,or
7,deny
7,your
7,request
7,to
7,integrate
7,facebook
7,payments
7,at
7,our
7,sole
7,discretion
7,you
7,must
7,be
7,eighteen
7,18
7,years
7,of
7,age
7,or
7,older
7,to
7,integrate
7,facebook
7,payments
7,in
7,your
7,app
7,in
7,addition
7,you
7,may
7,not
7,be
7,listed
7,as
7,an
7,administrator
7,for
7,a
7,payments
7,enabled
7,app
7,if
7,you
7,are
7,under
7,the
7,age
7,of
7,sixteen
7,16
7,we
7,may
7,also
7,revoke
7,your
7,eligibility
7,to
7,continue
7,utilizing
7,facebook
7,payments
7,at
7,any
7,time
7,at
7,our
7,sole
7,discretion
8,roles
8,of
8,parties
8,you
8,accept
8,responsibility
8,for
8,fulfilling
8,each
8,transaction
8,pursuant
8,to
8,the
8,terms
8,you
8,offer
8,facebook
8,is
8,not
8,involved
8,in
8,any
8,underlying
8,transaction
8,between
8,or
8,among
8,developers
8,and
8,users
8,except
8,as
8,noted
8,in
8,section
8,3.9
8,of
8,these
8,terms
9,pricing
9,price
9,setting
9,in
9,apps
9,is
9,governed
9,by
9,the
9,following
9,rules
10,you
10,may
10,price
10,items
10,for
10,sale
10,in
10,your
10,own
10,local
10,currency
10,where
10,such
10,pricing
10,is
10,supported
11,you
11,may
11,not
11,price
11,an
11,item
11,differently
11,based
11,on
11,a
11,user’s
11,electronic
11,value
11,balance
12,you
12,may
12,allow
12,users
12,to
12,import
12,your
12,in
12,game
12,virtual
12,currency
12,or
12,items
12,from
12,your
12,website
12,or
12,other
12,platform
12,that
12,the
12,user
12,is
12,connected
12,to
12,but
12,you
12,must
12,adhere
12,to
12,the
12,following
13,you
13,must
13,offer
13,the
13,same
13,price
13,on
13,facebook
13,that
13,you
13,offer
13,to
13,logged
13,in
13,facebook
13,users
13,on
13,your
13,own
13,website
13,or
13,other
13,platform
13,app
13,and
14,you
14,may
14,not
14,incentivize
14,logged
14,in
14,facebook
14,users
14,to
14,make
14,a
14,purchase
14,on
14,your
14,website
14,or
14,in
14,an
14,app
14,on
14,another
14,platform
14,by
14,for
14,example
14,providing
14,free
14,or
14,discounted
14,goods
14,or
14,services
14,that
14,are
14,not
14,available
14,to
14,purchasers
14,on
14,facebook
15,prohibitions
15,facebook
15,payments
15,does
15,not
15,allow
15,the
15,following
15,types
15,of
15,transactions
16,you
16,may
16,not
16,conduct
16,a
16,transaction
16,for
16,which
16,the
16,promotion
16,or
16,execution
16,is
16,prohibited
16,on
16,facebook
17,you
17,may
17,not
17,utilize
17,facebook
17,payments
17,to
17,sell
17,virtual
17,currency
17,or
17,other
17,stored
17,value
17,items
17,that
17,can
17,be
17,used
17,outside
17,of
17,the
17,app
17,where
17,the
17,transaction
17,was
17,completed
17,and
17,must
17,not
17,allow
17,users
17,to
17,cash
17,out
17,redeem
17,or
17,otherwise
17,receive
17,anything
17,of
17,value
17,in
17,exchange
17,for
17,anything
17,purchased
17,using
17,facebook
17,payments
17,in
17,addition
17,you
17,may
17,not
17,accept
17,electronic
17,value
17,from
17,a
17,user
17,in
17,one
17,app
17,and
17,then
17,deliver
17,or
17,transfer
17,the
17,purchased
17,item
17,to
17,the
17,user
17,in
17,another
17,app
17,without
17,our
17,prior
17,authorization
17,for
17,example
17,an
17,app
17,solely
17,designed
17,to
17,facilitate
17,transactions
17,is
17,not
17,permitted
18,except
18,as
18,a
18,method
18,of
18,purchasing
18,within
18,your
18,app
18,in
18,accordance
18,with
18,these
18,terms
18,or
18,with
18,our
18,prior
18,written
18,authorization
18,you
18,may
18,not
18,sell
18,trade
18,or
18,exchange
18,electronic
18,value
18,including
18,without
18,limitation
18,gift
18,card
18,balances
18,with
18,any
18,third
18,party
18,nor
18,may
18,you
18,enable
18,or
18,allow
18,others
18,to
18,do
18,so
19,except
19,with
19,our
19,prior
19,authorization
19,you
19,may
19,not
19,accept
19,payments
19,for
19,tangible
19,goods
19,including
19,as
19,payment
19,for
19,anything
19,that
19,may
19,subsequently
19,be
19,used
19,to
19,acquire
19,tangible
19,goods
19,defined
19,as
19,any
19,good
19,that
19,is
19,physically
19,delivered
19,to
19,a
19,user
20,except
20,with
20,our
20,prior
20,authorization
20,you
20,may
20,not
20,use
20,facebook
20,payments
20,to
20,solicit
20,collect
20,or
20,transfer
20,funds
20,for
20,charitable
20,causes
21,any
21,items
21,virtual
21,currency
21,or
21,services
21,you
21,offer
21,on
21,or
21,through
21,facebook
21,are
21,considered
21,to
21,be
21,content
21,or
21,apps
21,posted
21,by
21,you
21,to
21,facebook
21,under
21,the
21,statement
21,of
21,rights
21,and
21,responsibilities
22,you
22,may
22,not
22,offer
22,any
22,items
22,virtual
22,currency
22,or
22,services
22,on
22,or
22,through
22,facebook
22,that
22,require
22,consent
22,or
22,other
22,rights
22,from
22,any
22,third
22,party
22,unless
22,you
22,have
22,obtained
22,all
22,such
22,rights
22,you
22,may
22,not
22,offer
22,any
22,item
22,virtual
22,currency
22,or
22,service
22,that
22,would
22,require
22,us
22,to
22,pay
22,any
22,fee
22,or
22,royalty
22,to
22,any
22,third
22,party
22,you
22,agree
22,to
22,indemnify
22,and
22,hold
22,us
22,harmless
22,from
22,and
22,against
22,any
22,claim
22,arising
22,out
22,of
22,or
22,related
22,to
22,your
22,failure
22,to
22,comply
22,with
22,this
22,paragraph
23,except
23,with
23,our
23,prior
23,authorization
23,you
23,may
23,not
23,administer
23,a
23,promotion
23,on
23,facebook
23,in
23,which
23,a
23,user's
23,purchase
23,of
23,in
23,game
23,items
23,or
23,virtual
23,currency
23,contributes
23,to
23,or
23,results
23,in
23,eligibility
23,to
23,win
23,any
23,prize
23,of
23,value
23,to
23,request
23,permission
23,please
23,contact
23,us
23,and
23,include
23,an
23,opinion
23,letter
23,from
23,your
23,legal
23,counsel
23,that
23,explains
23,why
23,your
23,game
23,does
23,not
23,constitute
23,gambling
23,and
23,instead
23,is
23,a
23,lawful
23,activity
23,in
23,all
23,jurisdictions
23,where
23,the
23,promotion
23,is
23,available
23,to
23,users
24,non
24,disclosure
24,you
24,will
24,not
24,use
24,or
24,disclose
24,any
24,user’s
24,payment
24,information
24,obtained
24,from
24,us
24,for
24,any
24,purpose
24,other
24,than
24,to
24,complete
24,the
24,transaction
24,for
24,which
24,the
24,information
24,was
24,obtained
25,other
25,terms
25,apply
25,you
25,may
25,offer
25,supplemental
25,terms
25,and
25,conditions
25,in
25,conjunction
25,with
25,your
25,sales
25,however
25,they
25,may
25,not
25,conflict
25,with
25,facebook
25,terms
25,or
25,policies
25,you
25,must
25,comply
25,with
25,facebook’s
25,brand
25,asset
25,guidelines
26,balance
26,tracking
27,developer
27,balance
27,developers
27,using
27,facebook
27,payments
27,will
27,have
27,a
27,developer
27,balance
27,with
27,facebook
27,whenever
27,you
27,complete
27,a
27,sale
27,on
27,our
27,platform
27,facebook
27,will
27,credit
27,the
27,proceeds
27,from
27,that
27,sale
27,less
27,our
27,service
27,fee
27,to
27,your
27,developer
27,balance
27,facebook
27,will
27,earn
27,a
27,30
27,service
27,fee
27,plus
27,any
27,applicable
27,sales
27,tax
27,or
27,vat
27,in
27,connection
27,with
27,each
27,facebook
27,payments
27,transaction
27,on
27,our
27,platform
28,nature
28,of
28,service
28,facebook
28,is
28,not
28,a
28,bank
28,and
28,does
28,not
28,offer
28,banking
28,services
28,you
