para,word
1,community
1,payments
1,terms
2,last
2,updated
2,october
2,17
2,2018
3,if
3,you
3,are
3,under
3,the
3,age
3,of
3,eighteen
3,18
3,you
3,may
3,use
3,payments
3,only
3,with
3,the
3,involvement
3,of
3,your
3,parent
3,or
3,guardian
3,make
3,sure
3,you
3,review
3,these
3,terms
3,with
3,your
3,parent
3,or
3,guardian
3,so
3,that
3,you
3,both
3,understand
3,all
3,of
3,your
3,rights
3,and
3,responsibilities
4,we
4,have
4,provided
4,some
4,section
4,headers
4,for
4,your
4,convenience
4,but
4,you
4,should
4,carefully
4,read
4,through
4,these
4,community
4,payments
4,terms
4,the
4,terms
4,in
4,order
4,to
4,understand
4,your
4,rights
4,and
4,responsibilities
4,as
4,well
4,as
4,ours
5,when
5,you
5,use
5,the
5,facebook
5,payments
5,service
5,to
5,pay
5,for
5,things
5,on
5,facebook
5,or
5,the
5,instagram
5,service
5,you
5,agree
5,that
5,we
5,may
5,communicate
5,with
5,you
5,electronically
5,any
5,important
5,information
5,regarding
5,your
5,payments
5,or
5,your
5,account
6,protecting
6,the
6,privacy
6,of
6,your
6,financial
6,information
6,is
6,important
6,to
6,us
6,please
6,review
6,our
6,privacy
6,policy
6,for
6,users
6,in
6,the
6,u.s
6,including
6,our
6,annual
6,privacy
6,notice
6,as
6,well
6,as
6,our
6,privacy
6,policy
6,for
6,users
6,in
6,the
6,european
6,economic
6,area
6,to
6,learn
6,more
6,about
6,what
6,information
6,we
6,share
6,what
6,we
6,do
6,not
6,share
6,and
6,how
6,we
6,keep
6,your
6,information
6,safe
7,1
7,making
7,payments
8,funding
8,and
8,spending
8,when
8,you
8,make
8,a
8,payment
8,on
8,facebook
8,you
8,agree
8,to
8,provide
8,a
8,valid
8,funding
8,instrument
8,when
8,you
8,have
8,successfully
8,added
8,your
8,funding
8,instrument
8,we
8,will
8,allow
8,you
8,to
8,initiate
8,a
8,transaction
8,using
8,facebook
8,payments
8,facebook
8,payments
9,pricing
9,pay
9,attention
9,to
9,the
9,details
9,of
9,the
9,transaction
9,because
9,your
9,total
9,price
9,may
9,include
9,taxes
9,fees
9,and
9,shipping
9,costs
9,all
9,of
9,which
9,you
9,are
9,responsible
9,for
9,paying
10,extra
10,terms.you
10,may
10,be
10,presented
10,with
10,additional
10,terms
10,related
10,to
10,a
10,specific
10,payment
10,before
10,you
10,confirm
10,the
10,transaction
10,such
10,as
10,shipping
10,terms
10,for
10,tangible
10,goods
10,those
10,additional
10,terms
10,will
10,also
10,govern
10,that
10,transaction
11,subscriptions
11,if
11,you
11,purchase
11,a
11,subscription
11,to
11,an
11,app
11,or
11,to
11,a
11,feature
11,within
11,an
11,app
11,we
11,will
11,bill
11,your
11,funding
11,instrument
11,immediately
11,and
11,then
11,again
11,at
11,the
11,beginning
11,of
11,each
11,subscription
11,period
11,the
11,following
11,terms
11,apply
11,for
11,subscriptions
11,purchased
11,through
11,facebook
11,payments
12,if
12,a
12,free
12,trial
12,period
12,is
12,offered
12,and
12,you
12,do
12,not
12,cancel
12,during
12,the
12,free
12,trial
12,period
12,you
12,will
12,be
12,billed
12,at
12,the
12,end
12,of
12,the
12,free
12,trial
12,period
12,and
12,at
12,the
12,beginning
12,of
12,each
12,subsequent
12,subscription
12,period
13,you
13,can
13,cancel
13,subscriptions
13,at
13,any
13,time
13,on
13,your
13,account
13,settings
13,page
14,if
14,you
14,cancel
14,a
14,subscription
14,you
14,will
14,still
14,have
14,access
14,to
14,the
14,app
14,or
14,feature
14,you
14,subscribed
14,to
14,through
14,the
14,end
14,of
14,the
14,subscription
14,period
14,if
14,an
14,app
14,or
14,feature
14,you
14,subscribed
14,to
14,becomes
14,unavailable
14,during
14,your
14,subscription
14,you
14,will
14,not
14,be
14,billed
14,at
14,the
14,beginning
14,of
14,the
14,next
14,subscription
14,period
15,actual
15,sale
15,with
15,the
15,sole
15,exception
15,of
15,sections
15,1.6
15,1.7
15,and
15,1.8
15,below
15,you
15,may
15,only
15,use
15,facebook
15,payments
15,to
15,process
15,a
15,funding
15,transaction
15,for
15,a
15,legitimate
15,bona
15,fide
15,purchase
15,of
15,a
15,product
15,or
15,service
15,or
15,a
15,donation
15,payment
15,except
15,as
15,set
15,forth
15,below
15,you
15,may
15,not
15,use
15,facebook
15,payments
15,to
15,fund
15,a
15,transaction
15,or
15,otherwise
15,transfer
15,electronic
15,value
15,not
15,in
15,conjunction
15,with
15,a
15,purchase
15,or
15,a
15,donation
15,payment
16,person
16,to
16,person
16,transfers
16,person
16,to
16,person
16,transfer
16,of
16,funds
16,p2p
16,may
16,be
16,made
16,available
16,in
16,the
16,messenger
16,service
16,at
16,our
16,sole
16,discretion
16,if
16,you
16,use
16,p2p
16,you
16,consent
16,to
16,the
16,following
16,terms
17,you
17,may
17,not
17,use
17,p2p
17,if
17,you
17,are
17,under
17,the
17,age
17,of
17,18
18,we
18,may
18,require
18,that
18,you
18,provide
18,more
18,information
18,in
18,order
18,to
18,complete
18,a
18,transaction
19,p2p
19,is
19,not
19,intended
19,to
19,be
19,used
19,for
19,business
19,commercial
19,or
19,merchant
19,transactions
19,and
19,such
19,use
19,may
19,be
19,discontinued
19,without
19,notice
19,by
19,us
19,at
19,any
19,time
19,we
19,may
19,reverse
19,or
19,place
19,a
19,hold
19,on
19,your
19,transactions
19,or
19,place
19,funds
19,in
19,reserve
19,if
19,evidence
19,of
19,business
19,commercial
19,or
19,merchant
19,use
19,is
19,discovered
20,if
20,you
20,receive
20,and
20,accept
20,a
20,p2p
20,transfer
20,you
20,are
20,liable
20,to
20,us
20,for
20,not
20,only
20,the
20,payment
20,but
20,also
20,any
20,third
20,party
20,fees
20,that
20,may
20,result
20,from
20,a
20,later
20,invalidation
20,of
20,that
20,payment
20,for
20,any
20,reason
20,including
20,without
20,limitation
20,if
20,you
20,lose
20,a
20,claim
20,or
20,a
20,chargeback
20,or
20,if
20,the
20,payment
20,is
20,reversed
20,we
20,reserve
20,the
20,right
20,to
20,charge
20,your
20,funding
20,instrument
20,or
20,take
20,any
20,other
20,legal
20,action
20,to
20,collect
20,the
20,funds
20,to
20,the
20,full
20,extent
20,allowed
20,by
