para,word
1,facebook
1,commercial
1,terms
2,the
2,facebook
2,terms
2,and
2,these
2,terms
2,the
2,facebook
2,commercial
2,terms
2,or
2,commercial
2,terms
2,apply
2,to
2,access
2,or
2,use
2,of
2,the
2,facebook
2,products
2,or
2,products
2,including
2,facebook
2,business
2,tools
2,for
2,any
2,business
2,or
2,commercial
2,purpose
2,except
2,where
2,we
2,state
2,that
2,separate
2,terms
2,and
2,not
2,these
2,apply
2,to
2,such
2,access
2,or
2,use
2,of
2,a
2,facebook
2,product
2,this
2,includes
2,but
2,is
2,not
2,limited
2,to
2,buying
2,ads
2,selling
2,products
2,developing
2,apps
2,managing
2,a
2,group
2,or
2,page
2,for
2,a
2,business
2,or
2,using
2,our
2,measurement
2,services
3,you
3,agree
3,that
3,you
3,will
3,ensure
3,that
3,any
3,third
3,party
3,on
3,whose
3,behalf
3,you
3,access
3,or
3,use
3,any
3,facebook
3,product
3,for
3,any
3,business
3,or
3,commercial
3,purpose
3,except
3,again
3,where
3,we
3,state
3,that
3,separate
3,terms
3,and
3,not
3,these
3,apply
3,to
3,such
3,access
3,or
3,use
3,is
3,bound
3,by
3,the
3,terms
3,these
3,commercial
3,terms
3,and
3,any
3,applicable
3,supplemental
3,terms
3,and
3,you
3,represent
3,and
3,warrant
3,that
3,you
3,have
3,the
3,authority
3,to
3,bind
3,that
3,third
3,party
3,to
3,such
3,terms
4,these
4,commercial
4,terms
4,require
4,the
4,resolution
4,of
4,most
4,disputes
4,between
4,you
4,and
4,us
4,by
4,binding
4,arbitration
4,on
4,an
4,individual
4,basis
4,class
4,actions
4,and
4,jury
4,trials
4,are
4,not
4,permitted
5,note
5,we
5,have
5,updated
5,the
5,statement
5,of
5,rights
5,and
5,responsibilities
5,including
5,changing
5,its
5,name
5,to
5,the
5,facebook
5,terms
5,of
5,service
5,for
5,purposes
5,of
5,these
5,commercial
5,terms
5,references
5,in
5,existing
5,terms
5,or
5,agreements
5,to
5,i
5,the
5,statement
5,of
5,rights
5,and
5,responsibilities
5,statement
5,or
5,srr
5,shall
5,now
5,mean
5,the
5,facebook
5,terms
5,or
5,terms
5,and
5,ii
5,facebook
5,when
5,used
5,to
5,refer
5,to
5,our
5,products
5,and
5,services
5,or
5,facebook
5,services
5,or
5,services
5,shall
5,now
5,mean
5,facebook
5,products
6,licenses
6,as
6,described
6,in
6,the
6,permissions
6,you
6,give
6,us
6,section
6,in
6,our
6,terms
6,you
6,grant
6,us
6,a
6,license
6,to
6,content
6,that
6,is
6,covered
6,by
6,intellectual
6,property
6,rights
6,like
6,photos
6,or
6,videos
6,you
6,share
6,post
6,or
6,upload
6,on
6,or
6,in
6,connection
6,with
6,our
6,products
6,for
6,any
6,access
6,or
6,use
6,of
6,the
6,facebook
6,products
6,for
6,business
6,or
6,commercial
6,purposes
6,that
6,license
6,applies
6,to
6,content
6,you
6,or
6,someone
6,on
6,your
6,behalf
6,such
6,as
6,your
6,agency
6,that
6,places
6,an
6,ad
6,for
6,you
6,or
6,your
6,service
6,provider
6,that
6,manages
6,your
6,page
6,content
6,for
6,you
6,makes
6,available
6,on
6,or
6,in
6,connection
6,with
6,any
6,facebook
6,product
7,you
7,also
7,will
7,ensure
7,that
7,you
7,own
7,or
7,have
7,secured
7,all
7,rights
7,necessary
7,to
7,grant
7,the
7,licenses
7,and
7,rights
7,you
7,or
7,someone
7,on
7,your
7,behalf
7,grant
7,to
7,us
7,under
7,the
7,commercial
7,terms
7,and
7,any
7,applicable
7,supplemental
7,terms
7,including
7,permission
7,to
7,display
7,distribute
7,and
7,deliver
7,your
7,content
7,within
7,facebook
7,products
8,compliance
8,with
8,law
8,you
8,represent
8,and
8,warrant
8,that
8,your
8,access
8,or
8,use
8,of
8,facebook
8,products
8,for
8,business
8,or
8,commercial
8,purposes
8,complies
8,with
8,all
8,applicable
8,laws
8,rules
8,and
8,regulations
8,you
8,further
8,represent
8,that
8,you
8,will
8,restrict
8,access
8,to
8,your
8,content
8,and
8,apps
8,in
8,accordance
8,with
8,all
8,applicable
8,laws
8,rules
8,and
8,regulations
8,including
8,geo
8,filtering
8,or
8,age
8,gating
8,access
8,where
8,required
9,in
9,addition
9,to
9,and
9,without
9,limiting
9,the
9,requirements
9,about
9,who
9,can
9,use
9,the
9,facebook
9,products
9,under
9,our
9,terms
9,if
9,you
9,are
9,located
9,in
9,a
9,country
9,that
9,is
9,subject
9,to
9,embargo
9,under
9,the
9,laws
9,of
9,the
9,united
9,states
9,or
9,under
9,similar
9,laws
9,applicable
9,to
9,you
9,you
9,may
9,not
9,engage
9,in
9,commercial
9,activities
9,on
9,facebook
9,products
9,unless
9,authorized
9,by
9,applicable
9,laws
9,if
9,you
9,are
9,on
9,the
9,u.s
9,treasury
9,department’s
9,list
9,of
9,specially
9,designated
9,nationals
9,or
9,an
9,equivalent
9,lists
9,you
9,may
9,not
9,engage
9,in
9,commercial
9,or
9,business
9,activities
9,on
9,the
9,facebook
9,products
9,such
9,as
9,advertising
9,or
9,payments
9,you
9,also
9,may
9,not
9,access
9,or
9,use
9,the
9,facebook
9,products
9,if
9,you
9,are
9,prohibited
9,from
9,receiving
9,products
9,services
9,or
9,software
9,under
9,applicable
9,law
10,limits
10,on
10,liability
10,in
10,addition
10,to
10,and
10,without
10,limiting
10,the
10,scope
10,of
10,the
10,limits
10,on
10,liability
10,section
10,in
10,our
10,terms
10,you
10,agree
10,that
10,we
10,are
10,not
10,responsible
10,for
10,the
10,actions
10,services
10,content
10,or
10,data
10,of
10,third
10,parties
10,and
10,you
10,release
10,us
10,our
10,directors
10,officers
10,employees
10,and
10,agents
10,from
10,any
10,claims
10,and
10,damages
10,known
10,or
10,unknown
10,arising
10,out
10,of
10,or
10,in
10,any
10,way
10,connected
10,with
10,any
10,claim
10,you
10,have
10,against
10,any
10,such
10,third
10,parties
11,if
11,you
11,are
11,a
11,california
11,resident
11,you
11,agree
11,to
11,waive
11,california
11,civil
11,code
11,1542
11,which
11,says
12,a
12,general
12,release
12,does
12,not
12,extend
12,to
12,claims
12,which
12,the
12,creditor
12,does
12,not
12,know
12,or
12,suspect
12,to
12,exist
12,in
12,his
12,or
12,her
12,favor
12,at
12,the
12,time
12,of
12,executing
12,the
12,release
12,which
12,if
12,known
12,by
12,him
12,or
12,her
12,must
12,have
12,materially
12,affected
12,his
12,or
12,her
12,settlement
12,with
12,the
12,debtor
13,our
13,aggregate
13,liability
13,arising
13,out
13,of
13,or
13,relating
13,to
13,any
13,access
13,or
13,use
13,of
13,the
13,facebook
13,products
13,for
13,business
13,or
13,commercial
13,purposes
13,the
13,terms
13,for
13,any
13,access
13,or
13,use
13,of
13,the
13,facebook
13,products
13,for
13,business
13,or
13,commercial
13,purposes
13,or
13,these
13,commercial
13,terms
13,shall
13,not
13,exceed
13,the
13,greater
13,of
13,one
13,hundred
13,dollars
13,100
13,or
13,the
13,amount
13,you
13,have
13,paid
13,us
13,in
13,the
13,past
13,twelve
13,months
14,disputes
15,indemnification
15,if
15,anyone
15,brings
15,a
15,claim
15,cause
15,of
15,action
15,or
15,dispute
15,against
15,us
15,related
15,to
15,your
15,services
15,actions
15,content
15,or
15,information
15,on
15,facebook
15,or
15,other
15,facebook
15,products
15,or
15,your
15,use
15,of
15,any
15,facebook
15,products
15,you
15,agree
15,to
15,indemnify
15,and
15,hold
15,us
15,harmless
15,from
15,and
15,against
15,all
15,damages
15,losses
15,and
15,expenses
15,of
15,any
15,kind
15,including
15,reasonable
15,legal
15,fees
15,and
15,costs
15,related
15,to
15,any
15,such
15,claim
15,cause
15,of
15,action
15,or
15,dispute
16,dispute
16,resolution
17,if
17,you
17,reside
17,outside
17,the
17,us
17,or
17,your
17,business
17,is
17,located
17,outside
17,the
17,us
17,you
17,agree
17,that
17,any
17,claim
17,cause
17,of
17,action
17,or
17,dispute
17,you
17,have
17,against
17,us
17,that
17,arises
17,out
17,of
17,or
17,relates
17,to
17,any
17,access
17,or
17,use
17,of
17,the
17,facebook
17,products
17,for
17,business
17,or
17,commercial
17,purposes
17,must
17,be
17,resolved
17,exclusively
17,in
17,the
17,u.s
17,district
17,court
17,for
17,the
17,northern
17,district
17,of
17,california
17,or
17,a
17,state
17,court
17,located
17,in
17,san
17,mateo
