para,word
1,self
1,serve
1,ad
1,terms
2,the
2,following
2,terms
2,the
2,self
2,serve
2,advertising
2,terms
2,or
2,self
2,serve
2,ad
2,terms
2,apply
2,to
2,your
2,use
2,of
2,facebook
2,products
2,such
2,as
2,the
2,self
2,service
2,advertising
2,interfaces
2,and
2,apis
2,for
2,creation
2,submission
2,and
2,or
2,delivery
2,of
2,any
2,advertising
2,or
2,other
2,commercial
2,or
2,sponsored
2,activity
2,or
2,content
2,collectively
2,the
2,self
2,serve
2,ad
2,interfaces
2,and
2,any
2,order
2,you
2,place
2,through
2,the
2,self
2,serve
2,ad
2,interfaces
2,order
3,you
3,can
3,target
3,your
3,desired
3,audience
3,by
3,buying
3,ads
3,to
3,be
3,delivered
3,on
3,facebook
3,messenger
3,instagram
3,our
3,publisher
3,network
3,or
3,any
3,place
3,we
3,serve
3,ads
4,when
4,you
4,place
4,an
4,order
4,you
4,will
4,tell
4,us
4,the
4,type
4,of
4,advertising
4,you
4,want
4,to
4,buy
4,the
4,amount
4,you
4,want
4,to
4,spend
4,and
4,your
4,bid
4,if
4,we
4,accept
4,your
4,order
4,we
4,will
4,deliver
4,your
4,ads
4,as
4,inventory
4,becomes
4,available
4,when
4,serving
4,your
4,ad
4,we
4,use
4,best
4,efforts
4,to
4,deliver
4,the
4,ads
4,to
4,the
4,audience
4,you
4,specify
4,or
4,to
4,achieve
4,the
4,outcome
4,you
4,select
4,though
4,we
4,cannot
4,guarantee
4,in
4,every
4,instance
4,that
4,your
4,ad
4,will
4,reach
4,its
4,intended
4,target
4,or
4,achieve
4,the
4,outcome
4,you
4,select
5,your
5,ads
5,must
5,comply
5,with
5,all
5,applicable
5,laws
5,regulations
5,and
5,guidelines
5,as
5,well
5,as
5,ouradvertising
5,policies
5,failure
5,to
5,comply
5,may
5,result
5,in
5,a
5,variety
5,of
5,consequences
5,including
5,the
5,cancellation
5,of
5,ads
5,you
5,have
5,placed
5,and
5,termination
5,of
5,your
5,account
6,we
6,may
6,reject
6,or
6,remove
6,any
6,ad
6,for
6,any
6,reason
7,you
7,will
7,pay
7,for
7,your
7,orders
7,in
7,accordance
7,with
7,the
7,following
8,you
8,will
8,comply
8,with
8,ourcommunity
8,payments
8,termsto
8,the
8,extent
8,applicable
9,you
9,will
9,pay
9,all
9,amounts
9,specified
9,in
9,each
9,order
9,you
9,place
9,along
9,with
9,any
9,applicable
9,taxes
9,the
9,amount
9,you
9,owe
9,for
9,each
9,order
9,will
9,be
9,calculated
9,based
9,on
9,our
9,tracking
9,mechanisms
10,by
10,placing
10,an
10,order
10,you
10,authorize
10,us
10,to
10,obtain
10,your
10,personal
10,and
10,or
10,business
10,credit
10,report
10,from
10,a
10,credit
10,bureau
10,either
10,when
10,you
10,place
10,an
10,order
10,or
10,at
10,any
10,time
10,thereafter
11,you
11,are
11,responsible
11,for
11,maintaining
11,the
11,security
11,of
11,your
11,advertising
11,account
11,and
11,you
11,understand
11,that
11,you
11,will
11,be
11,charged
11,for
11,any
11,orders
11,placed
11,on
11,or
11,through
11,your
11,advertising
11,account
12,if
12,you
12,are
12,making
12,direct
12,debit
12,payments
12,you
12,agree
12,that
12,we
12,can
12,charge
12,you
12,any
12,amount
12,that
12,falls
12,within
12,the
12,range
12,you
12,agreed
12,to
12,upon
12,signup
12,we
12,will
12,notify
12,you
12,in
12,advance
12,if
12,any
12,charge
12,will
12,exceed
12,the
12,agreed
12,upon
12,range
13,you
13,can
13,cancel
13,an
13,order
13,at
13,any
13,time
13,but
13,your
13,ads
13,may
13,run
13,for
13,24
13,hours
13,after
13,you
13,notify
13,us
13,and
13,you
13,are
13,still
13,responsible
13,for
13,paying
13,for
13,all
13,ads
13,that
13,run
14,the
14,amounts
14,we
14,charge
14,you
14,may
14,be
14,subject
14,to
14,and
14,include
14,applicable
14,taxes
14,and
14,levies
14,including
14,without
14,limitation
14,withholding
14,taxes
14,you
14,are
14,responsible
14,for
14,bearing
14,and
14,remitting
14,any
14,taxes
14,that
14,apply
14,to
14,your
14,transactions
14,you
14,will
14,indemnify
14,and
14,hold
14,us
14,harmless
14,from
14,and
14,against
14,any
14,claim
14,arising
14,out
14,of
14,your
14,failure
14,to
14,do
14,so
15,if
15,your
15,payment
15,method
15,fails
15,or
15,your
15,account
15,is
15,past
15,due
15,we
15,may
15,take
15,additional
15,steps
15,to
15,collect
15,past
15,due
15,amounts
15,you
15,will
15,pay
15,all
15,expenses
15,associated
15,with
15,such
15,collection
15,including
15,reasonable
15,attorneys
15,fees
15,past
15,due
15,amounts
15,will
15,accrue
15,interest
15,at
15,1
15,per
15,month
15,or
15,the
15,lawful
15,maximum
15,whichever
15,is
15,less
16,we
16,may
16,allow
16,you
16,to
16,purchase
16,ads
16,with
16,an
16,advertiser
16,balance
16,which
16,is
16,a
16,pre
16,paid
16,balance
16,that
16,can
16,be
16,used
16,solely
16,to
16,purchase
16,ads
16,on
16,facebook
16,advertiser
16,balances
16,are
16,only
16,for
16,business
16,or
16,commercial
16,purposes
16,advertiser
16,balances
16,are
16,non
16,refundable
16,except
16,where
16,required
16,by
16,law
16,facebook
16,is
16,not
16,a
16,bank
16,and
16,does
16,not
16,offer
16,banking
16,services
16,accordingly
16,advertiser
16,balances
16,do
16,not
16,earn
16,interest
16,are
16,not
16,deposit
16,obligations
16,and
16,are
16,not
16,insured
16,by
16,the
16,federal
16,deposit
16,insurance
16,corporation
16,the
16,financial
16,services
16,compensation
16,scheme
16,or
16,any
16,other
16,entity
16,or
16,insurance
16,scheme
16,whether
16,governmental
16,or
16,private
17,you
17,will
17,fall
17,under
17,one
17,of
17,two
17,categories
17,depending
17,on
17,your
17,payment
17,method
17,invoiced
17,or
17,non
17,invoiced
17,client
17,invoiced
17,clients
17,are
17,those
17,to
17,whom
17,facebook
17,extends
17,a
17,credit
17,line
17,and
17,issues
17,invoices
17,on
17,a
17,periodic
17,basis
17,for
17,payment
17,in
17,accordance
17,with
17,the
17,applicable
17,invoicing
17,terms
17,non
17,invoiced
17,clients
17,are
17,those
17,who
17,make
17,payments
17,at
17,the
17,time
17,of
17,purchase
17,itself
17,in
17,its
17,sole
17,discretion
17,facebook
17,may
17,classify
17,clients
17,as
17,invoiced
17,clients
17,based
17,on
17,factors
17,such
17,as
17,ad
17,spend
17,and
17,creditworthiness
18,from
18,time
18,to
18,time
18,we
18,need
18,to
18,test
18,improvements
18,to
18,our
18,audiences
18,and
18,delivery
18,systems
18,which
18,could
18,impact
18,your
18,advertising
18,our
18,testing
18,is
18,designed
18,to
18,improve
18,the
18,effectiveness
18,of
18,your
18,advertising
18,performance
18,we
18,reserve
18,the
18,right
18,to
18,test
18,when
18,we
18,believe
18,it
18,will
18,be
18,beneficial
18,for
18,advertiser
18,performance
19,we
19,will
19,determine
19,the
19,size
19,placement
19,and
19,positioning
19,of
19,your
19,ads
20,scheduling
20,of
20,delivery
20,is
20,subject
20,to
20,availability
20,and
20,may
20,not
20,be
20,continuous
21,we
21,do
21,not
21,guarantee
21,the
21,reach
21,or
21,performance
21,that
21,your
21,ads
21,will
21,receive
21,such
21,as
21,the
21,number
21,of
21,people
21,who
21,will
21,see
21,your
21,ads
21,or
21,the
21,number
21,of
21,clicks
21,your
21,ads
21,will
21,get
22,we
22,cannot
22,control
22,how
22,clicks
22,are
22,generated
22,on
22,your
22,ads
22,we
22,have
22,systems
22,that
22,attempt
22,to
22,detect
22,and
22,filter
22,certain
22,click
22,activity
22,but
22,we
22,are
22,not
22,responsible
22,for
22,click
22,fraud
22,technological
22,issues
22,or
22,other
22,potentially
22,invalid
22,click
22,activity
22,that
22,may
22,affect
22,the
22,cost
22,of
22,running
22,ads
23,our
23,license
23,to
23,deliver
23,your
23,ad
23,will
23,end
23,when
23,we
23,have
23,completed
23,your
23,order
23,you
23,understand
23,however
23,that
24,once
24,displayed
24,ads
24,are
24,public
24,information
24,ads
24,may
24,be
24,re
24,shared
24,and
24,accessed
24,outside
24,of
24,the
24,targeted
24,audience
24,including
24,from
24,the
24,facebook
24,page
24,running
24,the
24,ads
24,or
24,within
24,facebook
24,products
24,if
24,users
24,have
24,interacted
24,with
24,your
24,ad
24,your
24,ad
24,may
24,remain
24,on
24,our
24,products
24,e.g
24,shared
24,until
24,the
24,users
24,delete
24,it
24,or
24,visible
24,to
24,users
24,through
24,their
24,account
24,tools
25,if
25,your
25,ad
25,is
25,apolitical
25,ad
25,facebook
25,may
25,display
25,at
25,no
25,cost
25,to
25,you
25,and
25,provide
25,access
25,to
25,the
25,ad
25,content
25,and
25,creative
25,and
25,information
25,about
25,the
25,ad
25,campaign
25,such
25,as
25,total
25,spend
25,and
25,delivery
25,data
25,for
25,a
25,period
25,of
25,seven
25,7
25,years
25,from
25,the
25,completion
25,of
25,your
25,order
26,you
26,consent
26,that
26,facebook
26,may
26,disclose
26,your
26,advertising
26,content
26,and
26,all
26,information
26,associated
26,with
26,your
26,advertising
26,to
26,a
26,governmental
26,entity
26,or
26,body
26,if
26,facebook
26,believes
26,that
26,disclosure
26,would
26,assist
26,in
26,a
26,lawful
26,investigation
27,we
27,will
27,provide
27,you
27,with
27,reports
27,about
27,the
27,kinds
27,of
27,people
27,seeing
27,your
27,ads
27,and
27,how
27,your
27,ads
27,are
27,performing
27,your
27,use
27,of
27,these
27,reports
27,is
27,subject
27,to
27,the
27,data
27,use
27,restrictions
27,in
27,ouradvertising
27,policies
28,we
28,offer
28,tools
28,to
28,provide
28,transparency
28,to
28,our
28,users
28,about
28,how
28,facebook
28,advertising
28,works
28,including
28,information
28,sufficient
28,to
28,show
28,them
28,why
28,they
28,are
28,being
28,shown
28,specific
28,ads
28,you
28,agree
28,that
28,information
28,associated
28,with
28,your
28,advertising
28,may
28,be
28,included
28,in
28,these
28,tools
29,you
29,will
29,not
29,issue
29,any
29,press
29,release
29,or
29,make
29,public
29,statements
29,about
29,your
29,relationship
29,with
29,facebook
29,or
29,the
29,facebook
29,products
29,without
29,our
29,prior
29,written
29,permission
30,if
30,you
30,are
30,placing
30,ads
30,on
30,someone
30,else's
30,behalf
30,you
30,must
30,have
30,permission
30,to
30,place
30,those
30,ads
30,and
30,agree
30,as
30,follows
31,you
31,represent
31,and
31,warrant
31,that
31,you
31,have
31,the
31,authority
31,to
31,bind
31,the
31,advertiser
31,to
31,these
31,self
31,serve
31,ad
31,terms
31,and
31,the
31,terms
31,of
31,service
31,including
31,the
31,commercial
31,terms
32,if
32,the
32,advertiser
32,you
32,represent
32,violates
32,these
32,self
32,serve
32,ad
32,terms
32,or
32,the
32,terms
32,of
32,service
32,including
32,the
32,commercial
32,terms
32,we
32,may
32,hold
32,you
32,responsible
32,for
32,that
32,violation
33,you
33,agree
33,that
33,we
33,may
33,provide
33,campaign
33,reporting
33,information
33,to
33,the
33,end
33,advertiser
33,for
33,whom
33,you
33,placed
33,a
33,campaign
34,we
34,may
34,ask
34,you
34,to
34,review
34,and
34,accept
34,supplemental
34,terms
34,that
34,apply
34,to
34,your
34,use
34,of
34,a
34,specific
34,feature
34,or
34,functionality
34,made
34,available
34,through
34,the
34,self
34,serve
34,ad
34,interfaces
34,to
34,the
34,extent
34,those
34,supplemental
34,terms
34,conflict
34,with
34,these
34,self
34,serve
34,ad
34,terms
34,the
34,supplemental
34,terms
34,will
34,govern
34,with
34,respect
34,to
34,your
34,use
34,of
34,the
34,specific
34,feature
34,or
34,functionality
34,to
34,the
34,extent
34,of
34,the
34,conflict
34,we
34,may
34,change
34,or
34,update
34,these
34,self
34,serve
34,ad
34,terms
34,from
34,time
34,to
34,time
34,and
34,your
34,continued
34,use
34,of
34,the
34,self
34,serve
34,ad
34,interfaces
34,constitutes
34,acceptance
34,of
34,those
34,changes
34,if
34,you
34,are
34,a
34,resident
34,of
34,or
34,have
34,your
34,principal
34,place
34,of
34,business
34,in
34,the
34,us
34,or
34,canada
34,facebook
34,inc
34,contracts
34,with
34,you
34,under
34,these
34,self
34,serve
34,ad
34,terms
34,otherwise
34,you
34,contract
34,with
34,facebook
34,ireland
34,ltd
34,under
34,these
34,self
34,serve
34,ad
34,terms
34,except
34,that
34,advertisers
34,in
34,some
34,countries
34,may
34,under
34,certain
34,circumstances
34,contract
34,directly
34,with
34,facebook
34,affiliate
34,companies
34,solely
34,for
34,purposes
34,of
34,ordering
34,ads
34,if
34,applicable
34,to
34,you
34,you
34,can
34,find
34,special
34,provisions
34,applicable
34,to
34,your
34,orders
34,from
34,those
34,affiliates
34,here
34,these
34,self
34,serve
34,ad
34,terms
34,will
34,terminate
34,in
34,the
34,event
34,of
34,any
34,termination
34,of
34,the
34,terms
34,of
34,service
34,but
34,the
34,following
34,provisions
34,will
34,still
34,apply
34,the
34,lead
34,in
34,paragraph
34,sections
34,2
34,4
34,8
34,12
34,and
34,this
34,paragraph
35,effective
35,date
35,may
35,25
35,2018
