para,word
1,music
1,guidelines
2,these
2,supplemental
2,terms
2,apply
2,if
2,you
2,post
2,or
2,share
2,any
2,videos
2,or
2,other
2,content
2,containing
2,music
2,on
2,any
2,facebook
2,products
3,you
3,are
3,responsible
3,for
3,the
3,content
3,you
3,post
4,people
4,use
4,our
4,products
4,to
4,share
4,content
4,with
4,their
4,family
4,and
4,friends
4,keep
4,in
4,mind
4,you
4,remain
4,solely
4,responsible
4,for
4,the
4,content
4,that
4,you
4,post
4,including
4,any
4,music
4,that
4,features
4,in
4,that
4,content
4,nothing
4,in
4,these
4,terms
4,constitutes
4,any
4,authorization
4,by
4,us
4,with
4,respect
4,to
4,any
4,use
4,of
4,music
4,on
4,any
4,of
4,our
4,products
5,use
5,of
5,music
5,for
5,commercial
5,or
5,non
5,personal
5,purposes
5,in
5,particular
5,is
5,prohibited
5,unless
5,you
5,have
5,obtained
5,appropriate
5,licenses
6,you
6,may
6,not
6,use
6,videos
6,on
6,our
6,products
6,to
6,create
6,a
6,music
6,listening
6,experience
7,we
7,want
7,you
7,to
7,be
7,able
7,to
7,enjoy
7,videos
7,posted
7,by
7,family
7,and
7,friends
7,however
7,if
7,you
7,use
7,videos
7,on
7,our
7,products
7,to
7,create
7,a
7,music
7,listening
7,experience
7,for
7,yourself
7,or
7,for
7,others
7,your
7,videos
7,will
7,be
7,blocked
7,and
7,your
7,page
7,profile
7,or
7,group
7,may
7,be
7,deleted
7,this
7,includes
7,live
8,unauthorized
8,content
8,may
8,be
8,removed
9,if
9,you
9,post
9,content
9,that
9,contains
9,music
9,owned
9,by
9,someone
9,else
9,your
9,content
9,may
9,be
9,blocked
9,or
9,may
9,be
9,reviewed
9,by
9,the
9,applicable
9,rights
9,owner
9,and
9,removed
9,if
9,your
9,use
9,of
9,that
9,music
9,is
9,not
9,properly
9,authorized
10,you
10,may
10,not
10,be
10,able
10,to
10,post
10,or
10,access
10,videos
10,containing
10,music
10,in
10,every
10,country
10,of
10,the
10,world
11,we
11,want
11,you
11,to
11,be
11,able
11,to
11,share
11,videos
11,with
11,your
11,family
11,and
11,friends
11,wherever
11,they
11,are
11,but
11,any
11,music
11,in
11,your
11,video
11,if
11,it
11,is
11,allowed
11,at
11,all
11,may
11,not
11,be
11,available
11,in
11,all
11,countries
11,of
11,the
11,world
