para,word
1,more
1,resources
2,printable
2,cookies
2,policy
3,data
3,policy
4,terms
5,facebook
5,ads
5,settings
6,privacy
6,basics
7,cookies
7,other
7,storage
7,technologies
8,cookies
8,are
8,small
8,pieces
8,of
8,text
8,used
8,to
8,store
8,information
8,on
8,web
8,browsers
8,cookies
8,are
8,used
8,to
8,store
8,and
8,receive
8,identifiers
8,and
8,other
8,information
8,on
8,computers
8,phones
8,and
8,other
8,devices
8,other
8,technologies
8,including
8,data
8,we
8,store
8,on
8,your
8,web
8,browser
8,or
8,device
8,identifiers
8,associated
8,with
8,your
8,device
8,and
8,other
8,software
8,are
8,used
8,for
8,similar
8,purposes
8,in
8,this
8,policy
8,we
8,refer
8,to
8,all
8,of
8,these
8,technologies
8,as
8,cookies
9,we
9,use
9,cookies
9,if
9,you
9,have
9,a
9,facebook
9,account
9,use
9,thefacebook
9,products
9,including
9,our
9,website
9,and
9,apps
9,or
9,visit
9,other
9,websites
9,and
9,apps
9,that
9,use
9,the
9,facebook
9,products
9,including
9,the
9,like
9,button
9,or
9,other
9,facebook
9,technologies
9,cookies
9,enable
9,facebook
9,to
9,offer
9,the
9,facebook
9,products
9,to
9,you
9,and
9,to
9,understand
9,the
9,information
9,we
9,receive
9,about
9,you
9,including
9,information
9,about
9,your
9,use
9,of
9,other
9,websites
9,and
9,apps
9,whether
9,or
9,not
9,you
9,are
9,registered
9,or
9,logged
9,in
10,this
10,policy
10,explains
10,how
10,we
10,use
10,cookies
10,and
10,the
10,choices
10,you
10,have
10,except
10,as
10,otherwise
10,stated
10,in
10,this
10,policy
10,thedata
10,policywill
10,apply
10,to
10,our
10,processing
10,of
10,the
10,data
10,that
10,we
10,collect
10,via
10,cookies
11,return
11,to
11,top
12,why
12,do
12,we
12,use
12,cookies
13,cookies
13,help
13,us
13,provide
13,protect
13,and
13,improve
13,the
13,facebook
13,products
13,such
13,as
13,by
13,personalising
13,content
13,tailoring
13,and
13,measuring
13,ads
13,and
13,providing
13,a
13,safer
13,experience
13,the
13,cookies
13,that
13,we
13,use
13,include
13,session
13,cookies
13,which
13,are
13,deleted
13,when
13,you
13,close
13,your
13,browser
13,and
13,persistent
13,cookies
13,which
13,stay
13,on
13,your
13,browser
13,until
13,they
13,expire
13,or
13,you
13,delete
13,them
13,while
13,the
13,cookies
13,that
13,we
13,use
13,may
13,change
13,from
13,time
13,to
13,time
13,as
13,we
13,improve
13,and
13,update
13,the
13,facebook
13,products
13,we
13,use
13,them
13,for
13,the
13,following
13,purposes
14,authentication
15,we
15,use
15,cookies
15,to
15,verify
15,your
15,account
15,and
15,determine
15,when
15,you’re
15,logged
15,in
15,so
15,we
15,can
15,make
15,it
15,easier
15,for
15,you
15,to
15,access
15,the
15,facebook
15,products
15,and
15,show
15,you
15,the
15,appropriate
15,experience
15,and
15,features
16,for
16,example
16,we
16,use
16,cookies
16,to
16,keep
16,you
16,logged
16,in
16,as
16,you
16,navigate
16,between
16,facebook
16,pages
16,cookies
16,also
16,help
16,us
16,remember
16,your
16,browser
16,so
16,you
16,do
16,not
16,have
16,to
16,keep
16,logging
16,in
16,to
16,facebook
16,and
16,so
16,you
16,can
16,more
16,easily
16,log
16,in
16,to
16,facebook
16,via
16,third
16,party
16,apps
16,and
16,websites
16,for
16,example
16,we
16,use
16,the
16,c_user
16,and
16,xs
16,cookies
16,for
16,this
16,purpose
16,with
16,a
16,lifespan
16,of
16,365
16,days
17,security
17,site
17,and
17,product
17,integrity
18,we
18,use
18,cookies
18,to
18,help
18,us
18,keep
18,your
18,account
18,data
18,and
18,the
18,facebook
18,products
18,safe
18,and
18,secure
19,for
19,example
19,cookies
19,can
19,help
19,us
19,identify
19,and
19,impose
19,additional
19,security
19,measures
19,when
19,someone
19,may
19,be
19,attempting
19,to
19,access
19,a
19,facebook
19,account
19,without
19,authorisation
19,for
19,instance
19,by
19,rapidly
19,guessing
19,different
19,passwords
19,we
19,also
19,use
19,cookies
19,to
19,store
19,information
19,that
19,allows
19,us
19,to
19,recover
19,your
19,account
19,in
19,the
19,event
19,that
19,you
19,forget
19,your
19,password
19,or
19,to
19,require
19,additional
19,authentication
19,if
19,you
19,tell
19,us
19,that
19,your
19,account
19,has
19,been
19,hacked
19,this
19,includes
19,for
19,example
19,our
19,sb
19,and
19,dbln
19,cookies
19,which
19,enable
19,us
19,to
19,identify
19,your
19,browser
19,securely
20,we
20,also
20,use
20,cookies
20,to
20,combat
20,activity
20,that
20,violates
20,our
20,policies
20,or
20,otherwise
20,degrades
20,our
20,ability
20,to
20,provide
20,the
20,facebook
20,products
21,for
21,example
21,cookies
21,help
21,us
21,fight
21,spam
21,and
21,phishing
21,attacks
21,by
21,enabling
21,us
21,to
21,identify
21,computers
21,that
21,are
21,used
21,to
21,create
21,large
21,numbers
21,of
21,fake
21,facebook
21,accounts
21,we
21,also
21,use
21,cookies
21,to
21,detect
21,computers
21,infected
21,with
21,malware
21,and
21,to
21,take
21,steps
21,to
21,prevent
21,them
21,from
21,causing
21,further
21,harm
21,our
21,csrf
21,cookie
21,for
21,example
21,helps
21,us
21,prevent
21,cross
21,site
21,request
21,forgery
21,attacks
21,cookies
21,also
21,help
21,us
21,prevent
21,underage
21,people
21,from
21,registering
21,for
21,facebook
21,accounts
22,advertising
22,recommendations
22,insights
22,and
22,measurement
23,we
23,use
23,cookies
23,to
23,help
23,us
23,show
23,ads
23,and
23,to
23,make
23,recommendations
23,for
23,businesses
23,and
23,other
23,organisations
23,to
23,people
23,who
23,may
23,be
23,interested
23,in
23,the
23,products
23,services
23,or
23,causes
23,they
23,promote
24,for
24,example
24,cookies
24,allow
24,us
24,to
24,help
24,deliver
24,ads
24,to
24,people
24,who
24,have
24,previously
24,visited
24,a
24,business’s
24,website
24,purchased
24,its
24,products
24,or
24,used
24,its
24,apps
24,and
24,to
24,recommend
24,products
24,and
24,services
24,based
24,on
24,that
24,activity
24,cookies
24,also
24,allow
24,us
24,to
24,limit
24,the
24,number
24,of
24,times
24,that
24,you
24,see
24,an
24,ad
24,so
24,you
