para,word
1,facebook
1,live
1,policies
2,1
2,overview
3,understanding
3,our
3,policies
4,the
4,following
4,terms
4,as
4,well
4,as
4,our
4,data
4,policy
4,community
4,standards
4,and
4,terms
4,of
4,service
4,apply
4,to
4,all
4,users
4,on
4,facebook
4,you
4,are
4,responsible
4,for
4,ensuring
4,that
4,your
4,content
4,complies
4,with
4,all
4,applicable
4,laws
4,statutes
4,and
4,regulations
5,2
5,general
5,policies
5,for
5,facebook
5,live
6,prohibited
6,practices
7,facebook
7,live
7,must
7,not
7,be
7,used
7,to
7,mislead
7,users
7,that
7,specific
7,footage
7,is
7,occurring
7,in
7,real
7,time
7,when
7,it
7,is
7,not
8,example
9,misrepresenting
9,footage
9,of
9,an
9,event
9,that
9,occurred
9,a
9,year
9,ago
9,as
9,currently
9,happening
10,inaccurate
10,location
11,facebook
11,live
11,must
11,not
11,be
11,used
11,to
11,mislead
11,users
11,that
11,specific
11,footage
11,is
11,happening
11,in
11,a
11,particular
11,locale
11,when
11,it
11,is
11,not
12,example
13,misrepresenting
13,footage
13,from
13,a
13,different
13,country
13,as
13,footage
13,from
13,the
13,united
13,states
14,pre
14,recorded
14,content
15,all
15,pre
15,recorded
15,content
15,contained
15,in
15,a
15,broadcast
15,streamed
15,to
15,facebook
15,live
15,must
15,be
15,clearly
15,marked
15,as
15,pre
15,recorded
15,for
15,broadcasts
15,that
15,contain
15,a
15,mixture
15,of
15,live
15,footage
15,and
15,pre
15,recorded
15,footage
15,only
15,the
15,pre
15,recorded
15,footage
15,must
15,be
15,marked
15,as
15,pre
15,recorded
16,example
17,adding
17,a
17,graphic
17,to
17,mark
17,specific
17,footage
17,as
17,pre
17,recorded
18,including
18,a
18,disclaimer
18,in
18,the
18,video
18,description
18,or
18,title
18,that
18,specific
18,content
18,is
18,pre
18,recorded
19,looping
19,or
19,static
19,content
20,facebook
20,live
20,should
20,not
20,be
20,used
20,to
20,broadcast
20,looping
20,videos
20,static
20,images
20,or
20,poll
20,only
20,videos
21,example
22,streaming
22,a
22,20
22,minute
22,clip
22,that
22,is
22,continuously
22,looped
23,a
23,broadcast
23,that
23,is
23,limited
23,to
23,a
23,photo
23,and
23,has
23,no
23,other
23,auditory
23,or
23,visual
23,elements
24,a
24,broadcast
24,that
24,only
24,contains
24,a
24,poll
25,privacy
25,terms
25,advertising
25,ad
25,choices
25,cookies
25,more
25,meta
25,2022
