para,word
1,premium
1,code
1,terms
1,and
1,conditions
2,effective
2,as
2,from
2,14
2,july
2,2011
3,this
3,document
3,premium
3,code
3,agreement
3,is
3,a
3,legally
3,binding
3,agreement
3,between
3,you
3,and
3,spotify
3,usa
3,inc
3,a
3,delaware
3,company
3,spotify
3,that
3,governs
3,your
3,purchase
3,of
3,a
3,premium
3,access
3,code
3,premium
3,code
3,for
3,access
3,to
3,the
3,advertisement
3,free
3,version
3,of
3,the
3,spotify
3,online
3,streaming
3,music
3,service
3,with
3,offline
3,mode
3,and
3,other
3,additional
3,features
3,premium
3,service
3,or
3,a
3,version
3,of
3,the
3,premium
3,service
3,that
3,provides
3,access
3,to
3,the
3,premium
3,service
3,via
3,a
3,supported
3,mobile
3,handset
3,mobile
3,premium
3,service
3,by
3,purchasing
3,a
3,premium
3,code
3,you
3,agree
3,to
3,the
3,terms
3,and
3,conditions
3,of
3,this
3,premium
3,code
3,agreement
3,the
3,spotify
3,terms
3,and
3,conditions
3,of
3,useand
3,the
3,spotify
3,privacy
3,policy
4,1
4,rights
4,of
4,premium
4,code
4,holders
5,the
5,premium
5,code
5,entitles
5,the
5,holder
5,access
5,to
5,the
5,premium
5,service
5,in
5,accordance
5,with
5,the
5,terms
5,stated
5,in
5,this
5,premium
5,code
5,agreement
5,the
5,spotify
5,terms
5,and
5,conditions
5,of
5,useand
5,the
5,spotify
5,privacy
5,policy
5,in
5,order
5,to
5,use
5,a
5,premium
5,code
5,you
5,must
5,agree
5,to
5,the
5,spotify
5,terms
5,and
5,conditions
5,of
5,useand
5,the
5,spotify
5,privacy
5,policy
5,if
5,you
5,do
5,not
5,agree
5,to
5,both
5,then
5,you
5,will
5,not
5,be
5,able
5,to
5,use
5,the
5,premium
5,code
6,2
6,changes
6,to
6,the
6,premium
6,code
6,agreement
7,spotify
7,may
7,make
7,changes
7,to
7,this
7,premium
7,code
7,agreement
7,at
7,its
7,sole
7,discretion
7,if
7,we
7,make
7,any
7,changes
7,to
7,this
7,premium
7,code
7,agreement
7,we
7,will
7,notify
7,you
7,by
7,posting
7,the
7,new
7,version
