para,word
1,spotify
1,privacy
1,policy
2,effective
2,as
2,from
2,12
2,december
2,2011
3,spotify
3,usa
3,inc
3,a
3,delaware
3,corporation
3,spotify
3,we
3,or
3,us
3,wishes
3,to
3,bring
3,you
3,the
3,best
3,music
3,service
3,available
3,to
3,be
3,able
3,to
3,do
3,this
3,and
3,to
3,offer
3,you
3,products
3,and
3,services
3,described
3,on
3,the
3,spotify
3,websites
3,at
3,http
3,www.spotify.com
3,and
3,other
3,spotify
3,branded
3,urls
3,the
3,spotify
3,websites
3,spotify
3,will
3,request
3,some
3,information
3,from
3,you
3,and
3,automatically
3,collect
3,information
3,about
3,your
3,use
3,of
3,the
3,spotify
3,software
3,application
3,the
3,spotify
3,service
3,both
3,as
3,defined
3,in
3,the
3,spotify
3,terms
3,and
3,conditions
3,of
3,use
3,further
3,spotify
3,will
3,request
3,information
3,from
3,third
3,party
3,services
3,if
3,such
3,services
3,are
3,activated
3,via
3,spotify
3,this
3,policy
3,the
3,spotify
3,privacy
3,policy
3,describes
3,our
3,online
3,privacy
3,practices
3,and
3,what
3,personal
3,information
3,we
3,may
3,collect
3,from
3,you
3,and
3,what
3,we
3,will
3,and
3,will
3,not
3,do
3,with
3,that
3,information
4,1
4,how
4,we
4,collect
4,and
4,use
4,personal
4,information
5,when
5,you
5,sign
5,up
5,for
5,a
5,spotify
5,account
5,or
5,purchase
5,spotify’s
5,products
5,and
5,services
5,described
5,on
5,the
5,spotify
5,websites
5,we
5,may
5,ask
5,you
5,for
5,certain
5,personal
5,information
5,such
5,as
5,email
5,address
5,postal
5,address
5,age
5,gender
5,and
5,residence
5,when
5,creating
5,a
5,spotify
5,account
5,or
5,connecting
5,your
5,already
5,existing
5,spotify
5,account
5,with
5,your
5,facebook
5,account
5,we
5,will
5,also
5,receive
5,and
5,store
5,the
5,following
5,information
5,from
5,facebook
5,inc
5,facebook
5,your
5,name
5,user
5,name
5,password
5,profile
5,picture
5,unique
5,facebook
5,identifier
5,and
5,access
5,token
5,gender
5,birthday
5,and
5,email
5,address
5,in
5,addition
5,when
5,you
5,use
5,the
5,spotify
5,software
5,application
5,spotify
5,service
5,and
5,spotify
5,websites
5,we
5,will
5,automatically
5,receive
5,information
5,about
5,your
5,use
5,of
5,the
5,application
5,service
5,and
5,website
5,including
5,information
5,such
5,as
5,media
5,that
5,you
5,access
5,queries
5,you
5,make
5,date
5,and
5,time
5,of
5,your
5,request
5,your
5,internet
5,protocol
5,address
5,performance
5,of
5,your
5,network
5,and
5,computer
5,your
5,browser
5,type
5,language
5,and
5,identifying
5,information
5,your
5,operating
5,system
5,and
5,application
5,version
6,we
6,will
6,use
6,your
6,personal
6,information
6,i
6,to
6,provide
6,the
6,products
6,and
6,services
6,that
6,you
6,have
6,purchased
6,or
6,requested
6,including
6,spotify
6,social
6,as
6,defined
6,in
6,the
6,spotify
6,terms
6,and
6,conditions
6,of
6,use
6,and
6,the
6,display
6,of
6,customized
6,content
6,and
6,advertising
6,ii
6,to
6,communicate
6,with
6,you
6,concerning
6,your
6,account
6,customer
6,service
6,issues
6,and
6,spotify
6,products
6,and
6,services
6,iii
6,to
6,personalize
6,and
6,improve
6,the
6,spotify
6,software
6,application
6,the
6,spotify
6,service
6,and
6,the
6,spotify
6,websites
6,iv
6,to
6,ensure
6,the
6,technical
6,functioning
6,of
6,our
6,products
6,and
6,services
6,v
6,to
6,develop
6,new
6,products
6,and
6,services
6,vi
6,to
6,protect
6,the
6,copyright
6,protected
6,content
6,of
6,the
6,spotify
6,service
6,e.g
6,by
6,limiting
6,access
6,to
6,the
6,spotify
6,service
6,content
6,to
6,users
6,with
6,a
6,spotify
6,account
6,and
6,vii
6,as
6,otherwise
6,stated
6,in
6,this
6,spotify
6,privacy
6,policy
7,if
7,you
7,connect
7,your
7,spotify
7,account
7,to
7,facebook
7,we
7,will
7,make
7,available
7,and
7,or
7,share
7,your
7,facebook
7,user
7,name
7,and
7,your
7,facebook
7,profile
7,picture
7,to
7,other
7,spotify
7,users
7,further
7,spotify
7,users
7,may
7,be
7,able
7,to
7,use
7,the
7,spotify
7,service
7,to
7,search
7,for
7,or
7,view
7,your
7,spotify
7,profile
7,and
7,the
7,information
7,contained
7,therein
7,such
7,as
7,playlists
7,as
7,defined
7,below
7,for
7,example
7,if
7,they
7,know
7,and
7,input
7,your
7,user
7,name
7,in
7,the
