para,word
1,spotify
1,copyright
1,policy
2,last
2,updated
2,17
2,october
2,2012
3,hello
3,and
3,thank
3,you
3,for
3,visiting
3,spotify's
3,copyright
3,policy
3,page
3,spotify
3,respects
3,intellectual
3,property
3,rights
3,and
3,expects
3,its
3,users
3,to
3,do
3,the
3,same
3,if
3,you
3,are
3,a
3,copyright
3,holder
3,and
3,you
3,believe
3,that
3,any
3,of
3,the
3,copyrighted
3,material
3,which
3,is
3,directly
3,available
3,via
3,the
3,spotify
3,service
3,infringes
3,your
3,copyrighted
3,work
3,please
3,let
3,us
3,know
4,pursuant
4,to
4,the
4,digital
4,millennium
4,copyright
4,act
4,dmca
4,17
4,united
4,states
4,code
4,512
4,c
4,3
4,a
4,notice
4,of
4,alleged
4,copyright
4,infringement
4,should
4,be
4,sent
4,to
4,spotify's
4,designated
4,copyright
4,agent
4,at
4,the
4,following
4,address
5,spotify
5,usa
5,inc
6,attn
6,legal
6,department
6,copyright
6,agent
7,76
7,9th
7,avenue
7,suite
7,1110
7,11th
7,floor
8,new
8,york
8,ny
8,10011
8,usa
9,legal
9,spotify.com
10,a
10,notification
10,of
10,alleged
10,copyright
10,infringement
10,must
10,be
10,addressed
10,to
10,spotify's
10,copyright
10,agent
10,as
10,listed
10,above
10,and
10,include
10,the
10,following
11,a
11,physical
11,or
11,electronic
11,signature
11,of
11,the
11,owner
11,or
11,person
11,authorized
11,to
11,act
11,on
11,behalf
11,of
11,the
11,owner
11,of
11,the
11,copyright
11,that
11,is
11,allegedly
11,infringed
12,specific
12,identification
12,of
12,each
12,copyrighted
12,work
12,claimed
12,to
12,have
12,been
12,infringed
13,a
13,description
13,of
13,where
13,the
13,material
13,believed
13,to
13,be
13,infringed
13,is
13,located
13,on
13,spotify
13,service
13,or
13,the
13,spotify
13,websites
13,please
13,be
13,as
13,detailed
13,as
13,possible
13,and
13,provide
13,a
13,url
13,to
13,help
13,us
13,locate
13,the
13,material
13,you
13,are
13,reporting
14,contact
14,information
14,for
14,the
14,complaining
14,party
14,such
14,as
14,a
14,complete
14,name
14,address
14,telephone
14,number
14,and
14,email
14,address
15,a
15,statement
15,that
15,the
15,complaining
15,party
15,has
15,a
15,good
15,faith
15,belief
15,that
15,use
15,of
15,the
15,work
15,s
15,in
15,the
15,manner
15,complained
15,of
15,is
15,not
15,authorized
15,by
15,the
15,copyright
15,owner
15,its
15,agent
15,or
15,the
15,law
15,and
16,a
16,statement
16,that
16,the
16,information
16,in
16,the
16,notification
16,is
16,accurate
16,and
16,under
16,penalty
16,of
16,perjury
16,that
16,the
16,complaining
16,party
16,is
16,authorized
16,to
16,act
16,on
16,behalf
16,of
16,the
16,owner
16,of
16,an
16,exclusive
16,right
16,that
16,is
16,allegedly
16,infringed
17,we
17,should
17,also
17,let
17,you
17,know
17,that
17,spotify
17,has
17,a
17,policy
17,to
17,terminate
17,in
17,appropriate
17,circumstances
17,the
17,accounts
17,of
17,subscribers
17,who
17,are
17,repeat
17,infringers
18,copyright
18,2012
18,spotify
18,ab
18,all
18,rights
18,reserved
19,spotify
19,usa
19,inc
19,76
19,9th
19,avenue
20,suite
20,1110
20,11th
20,floor
21,new
21,york
21,ny
21,10011
22,usa
