para,word
1,spotify
1,mobile
1,terms
1,and
1,conditions
1,of
1,use
2,last
2,updated
2,17
2,october
2,2012
3,hello
3,these
3,are
3,our
3,mobile
3,terms
3,and
3,conditions
3,of
3,use
3,mobile
3,terms
4,by
4,using
4,the
4,mobile
4,service
4,you
4,accept
4,and
4,agree
4,to
4,be
4,bound
4,by
4,these
4,mobile
4,terms
4,the
4,terms
4,and
4,conditions
4,of
4,use
4,terms
4,and
4,the
4,privacy
4,policy
4,together
4,the
4,agreements
4,your
4,continued
4,use
4,of
4,the
4,mobile
4,service
4,is
4,conditioned
4,upon
4,your
4,compliance
4,with
4,the
4,mobile
4,terms
4,unless
4,otherwise
4,stated
4,any
4,defined
4,terms
4,used
4,in
4,these
4,mobile
4,terms
4,have
4,the
4,same
4,meaning
4,given
4,to
4,them
4,in
4,the
4,terms
5,1
5,accessing
5,the
5,mobile
5,service
6,if
6,you
6,have
6,not
6,previously
6,used
6,the
6,premium
6,service
6,as
6,defined
6,in
6,the
6,terms
6,the
6,first
6,time
6,you
6,accept
6,these
6,mobile
6,terms
6,and
6,access
6,the
6,mobile
6,service
6,you
6,will
6,be
6,automatically
6,given
6,a
6,forty
6,eight
6,48
6,hour
6,trial
6,of
6,the
6,mobile
6,service
6,you
6,understand
6,and
6,agree
6,that
6,spotify
6,has
6,no
6,obligation
6,to
6,maintain
6,support
6,upgrade
6,or
6,update
6,the
6,mobile
6,service
6,or
6,to
6,provide
6,all
6,or
6,any
6,specific
6,content
6,through
6,the
6,mobile
6,service
7,2
7,non
7,use
7,of
7,the
7,mobile
7,service
8,if
8,you
8,don’t
8,use
8,the
8,mobile
8,service
8,for
8,ninety
8,90
8,consecutive
8,days
8,we
8,have
8,the
8,right
8,to
8,revoke
8,your
8,access
8,to
8,the
8,mobile
8,service
8,immediately
8,you
8,may
8,use
8,the
8,mobile
8,service
8,again
8,after
8,revocation
8,but
8,you
8,will
8,have
8,to
8,register
8,and
8,agree
8,to
8,the
8,mobile
8,terms
8,again
9,3
9,entire
9,agreement
10,these
10,agreements
10,constitute
10,all
10,the
10,terms
10,and
10,conditions
10,agreed
10,upon
10,between
10,you
10,and
10,spotify
10,and
10,supersede
10,any
10,prior
10,agreements
10,in
10,relation
10,to
10,the
10,subject
10,matter
10,of
10,these
10,agreements
10,whether
10,written
10,or
10,oral
10,any
10,additional
10,or
10,different
10,terms
10,or
10,conditions
10,in
10,relation
10,to
10,the
10,subject
10,matter
10,of
10,the
10,agreements
10,in
10,any
10,written
10,or
10,oral
10,communication
10,from
10,you
10,to
10,spotify
10,are
10,void
10,you
10,represent
10,that
10,you
10,have
10,not
10,accepted
10,the
10,agreements
10,in
10,reliance
10,on
10,any
10,oral
10,or
10,written
10,representations
10,made
10,by
10,spotify
10,that
10,are
10,not
10,contained
10,in
10,the
10,agreements
11,please
11,note
11,however
11,that
11,other
11,aspects
11,of
11,your
11,use
11,of
11,the
11,spotify
11,service
11,may
11,be
11,governed
11,by
11,additional
11,agreements
11,that
11,could
11,include
11,for
11,example
11,access
11,to
11,the
11,spotify
11,community
11,for
11,customer
11,support
11,access
11,to
11,the
11,spotify
11,service
11,as
11,a
11,result
11,of
11,a
11,gift
11,card
11,or
11,free
11,or
11,discounted
11,trials
11,you
11,will
11,agree
11,to
11,separate
11,terms
11,and
11,conditions
11,in
11,those
11,circumstances
11,which
11,are
11,listed
11,in
11,full
11,here
11,those
11,terms
11,and
11,conditions
11,shall
11,govern
11,only
11,with
11,regard
11,to
11,the
11,aspect
11,of
11,the
11,service
11,to
11,which
11,they
11,apply
11,and
11,are
11,distinct
11,from
11,and
11,supplemental
11,to
11,these
11,agreements
11,and
11,do
11,not
11,supersede
11,these
11,agreements
11,to
11,the
11,extent
11,that
11,there
11,is
11,any
11,conflict
11,between
11,those
11,agreements
11,and
11,these
11,agreements
11,these
11,agreements
11,shall
11,control
11,except
11,as
11,otherwise
11,provided
11,in
11,the
11,agreements
12,occasionally
12,we
12,may
12,offer
12,you
12,the
12,chance
12,to
12,participate
12,in
12,sweepstakes
12,contests
12,and
12,surveys
12,special
12,promotions
12,through
12,the
12,spotify
12,service
12,special
12,promotions
12,may
12,be
12,governed
12,by
12,terms
12,and
12,conditions
12,that
12,are
12,separate
12,from
12,the
12,agreements
12,if
12,the
12,provisions
12,of
12,a
12,special
12,promotion’s
12,terms
12,and
12,conditions
12,conflict
12,with
12,the
12,agreements
12,those
12,separate
12,terms
12,and
12,conditions
12,shall
12,prevail
13,4
13,choice
13,of
13,law
14,unless
14,otherwise
14,required
14,by
14,a
14,mandatory
14,law
14,of
14,a
14,member
14,state
14,of
14,the
14,european
14,union
14,or
14,any
14,other
14,jurisdiction
14,these
14,agreements
14,are
14,subject
14,to
14,the
14,law
14,of
14,the
14,state
14,of
14,california
14,united
14,states
14,without
14,regard
14,to
14,choice
14,or
14,conflicts
14,of
14,law
14,principles
14,further
14,you
14,and
14,spotify
14,agree
14,to
14,the
14,exclusive
14,jurisdiction
14,of
14,the
14,state
14,and
14,federal
14,courts
14,in
14,san
14,francisco
14,county
14,california
14,or
14,new
14,york
14,new
14,york
14,to
14,resolve
14,any
14,dispute
14,claim
14,or
14,controversy
14,that
14,arises
14,in
14,connection
14,with
14,these
14,agreements
15,if
15,you
15,are
15,a
15,united
15,states
15,user
15,the
15,mandatory
15,arbitration
15,provisions
15,in
15,the
15,terms
15,and
15,conditions
15,of
15,use
15,also
15,apply
15,to
15,you
15,so
15,please
15,read
15,them
15,carefully
16,copyright
16,2012
16,spotify
16,ab
16,all
16,rights
16,reserved
17,spotify
17,usa
17,inc
17,45
17,w
17,18th
17,street
18,7th
18,floor
19,new
19,york
19,ny
19,10011
20,usa
