para,word
1,spotify
1,privacy
1,policy
2,effective
2,as
2,of
2,september
2,9
2,2015
3,1
3,introduction
4,2
4,key
4,highlights
4,of
4,what
4,you’re
4,consenting
4,to
5,3
5,the
5,information
5,we
5,collect
6,4
6,how
6,we
6,use
6,the
6,information
6,we
6,collect
7,5
7,sharing
7,information
8,6
8,your
8,preferences
9,7
9,transfer
9,to
9,other
9,countries
10,8
10,links
11,9
11,security
12,10
12,children
13,11
13,accessing
13,and
13,updating
13,user
13,information
14,12
14,changes
14,to
14,the
14,privacy
14,policy
15,13
15,information
15,about
15,cookies
15,other
15,technologies
15,and
15,third
15,party
15,data
15,collection
16,hello
16,and
16,welcome
16,to
16,our
16,privacy
16,policy
16,this
16,privacy
16,policy
16,helps
16,you
16,to
16,make
16,informed
16,decisions
16,about
16,your
16,relationship
16,with
16,us
16,so
16,please
16,read
16,it
16,carefully
16,we
16,hope
16,you’re
16,sitting
16,comfortably
16,and
16,getting
16,ready
16,for
16,some
16,great
16,tunes
16,here
16,we
16,go
17,1
17,introduction
18,thanks
18,for
18,choosing
18,spotify
18,this
18,is
18,our
18,privacy
18,policy
18,before
18,getting
18,into
18,the
18,details
18,we’d
18,like
18,to
18,highlight
18,some
18,of
18,the
18,key
18,principles
18,behind
18,it
18,these
18,principles
18,are
18,important
18,to
18,us
18,because
18,we
18,know
18,they’re
18,important
18,to
18,you
19,the
19,privacy
19,policy
19,is
19,here
19,to
19,do
19,three
19,things
20,all
20,the
20,information
20,we
20,collect
20,is
20,related
20,to
20,providing
20,the
20,spotify
20,service
20,and
20,its
20,features
21,broadly
21,speaking
21,there
21,are
21,two
21,categories
21,of
21,information
21,we
21,collect
21,1
21,information
21,that
21,we
21,must
21,have
21,in
21,order
21,for
21,you
21,to
21,use
21,spotify
21,and
21,2
21,information
21,that
21,we
21,can
21,use
21,to
21,provide
21,additional
21,features
21,and
21,improved
21,experiences
21,if
21,you
21,choose
21,to
21,share
21,that
21,information
22,the
22,first
22,category
22,includes
23,the
23,second
23,category
23,includes
23,information
23,that
23,enables
23,us
23,to
23,offer
23,you
23,additional
23,features
23,we
23,never
23,receive
23,any
23,of
23,the
23,following
23,information
23,unless
23,you
23,expressly
23,choose
23,to
23,share
23,it
23,with
23,us
23,it’s
23,as
23,simple
23,as
23,that
23,here
23,are
23,some
23,examples
24,the
24,distinction
24,between
24,these
24,two
24,categories
24,is
24,important
24,information
24,in
24,the
24,first
24,category
24,is
24,information
24,you
24,must
24,provide
24,in
24,order
24,to
24,use
24,spotify
24,when
24,you
24,agree
24,to
24,our
24,privacy
24,policy
24,you
24,give
24,us
24,the
24,right
24,to
24,collect
24,this
24,information
24,and
24,use
24,it
24,for
24,the
24,purposes
24,described
24,information
24,in
24,the
24,second
24,category
24,is
24,information
24,we
24,will
24,only
24,collect
24,if
24,you
24,explicitly
24,give
24,us
24,permission
24,to
24,do
24,so
24,in
24,the
24,future
24,for
24,this
24,second
24,category
24,of
24,information
24,we
24,will
24,ask
24,for
24,your
24,permission
24,before
24,first
24,accessing
24,it
24,we
24,will
24,describe
24,how
24,we
24,will
24,use
24,it
24,if
24,you
24,give
24,us
24,permission
24,we
24,will
24,only
24,use
24,the
24,information
24,for
24,the
24,purpose
24,we
24,described
24,and
24,you
24,will
24,always
24,have
24,the
24,ability
24,to
24,change
24,your
24,mind
24,and
24,revoke
24,that
24,permission
24,acceptance
24,of
24,our
24,privacy
24,policy
24,does
24,not
24,mean
24,you
24,have
24,granted
24,us
24,permission
24,to
24,access
24,or
24,use
24,information
24,in
24,the
24,second
24,category
24,we’re
24,just
24,explaining
24,to
24,you
24,that
24,one
24,day
24,we
24,might
24,ask
24,you
24,for
24,that
24,permission
25,we
25,will
25,be
25,clear
25,with
25,you
25,about
25,how
25,and
25,when
25,we
25,might
25,share
25,information
26,in
26,some
26,contexts
26,we
26,will
26,share
26,certain
26,information
26,for
26,example
26,like
26,most
26,services
26,if
26,you
26,sign
26,up
26,for
26,spotify
26,through
26,a
26,third
26,party
26,like
26,facebook
26,or
26,a
26,mobile
26,provider
26,we
26,share
26,some
26,information
26,with
26,them
26,and
26,they
26,share
26,some
26,information
26,with
26,us
26,in
26,order
26,to
26,enable
26,your
26,account
26,and
26,we
26,also
26,share
26,de
26,identified
26,information
26,with
26,our
26,music
26,industry
26,partners
26,to
26,help
26,them
26,understand
26,how
