para,word
1,spotify
1,privacy
1,policy
2,effective
2,as
2,of
2,1
2,september
2,2021
3,about
3,this
3,policy
4,your
4,personal
4,data
4,rights
4,and
4,controls
5,personal
5,data
5,we
5,collect
5,about
5,you
6,our
6,purpose
6,for
6,using
6,your
6,personal
6,data
7,sharing
7,your
7,personal
7,data
8,data
8,retention
8,and
8,deletion
9,transfer
9,to
9,other
9,countries
10,keeping
10,your
10,personal
10,data
10,safe
11,children
12,changes
12,to
12,this
12,policy
13,how
13,to
13,contact
13,us
14,to
14,help
14,you
14,understand
14,this
14,policy
14,our
14,privacy
14,videos
14,bring
14,privacy
14,at
14,spotify
14,to
14,life
15,1
15,about
15,this
15,policy
16,this
16,policy
16,describes
16,how
16,we
16,process
16,your
16,personal
16,data
16,at
16,spotify
16,usa
16,inc
17,it
17,applies
17,to
17,your
17,use
17,of
18,all
18,spotify
18,streaming
18,services
18,as
18,a
18,user
18,this
18,includes
18,use
18,of
18,these
18,services
18,under
18,our
18,free
18,or
18,paid
18,options
18,each
18,a
18,service
18,option
18,and
19,other
19,spotify
19,services
19,which
19,include
19,a
19,link
19,to
19,this
19,privacy
19,policy
19,e.g
19,spotify
19,websites
19,customer
19,support
19,and
19,the
19,community
19,site
20,from
20,now
20,on
20,we'll
20,collectively
20,call
20,these
20,the
20,spotify
20,service
21,from
21,time
21,to
21,time
21,we
21,may
21,develop
21,new
21,or
21,offer
21,additional
21,services
21,they'll
21,also
21,be
21,subject
21,to
21,this
21,policy
21,unless
21,stated
21,otherwise
21,when
21,we
21,introduce
21,them
22,this
22,policy
22,is
22,not
23,the
23,spotify
23,terms
23,of
23,use
23,that's
23,a
23,separate
23,document
23,outlining
23,the
23,legal
23,contract
23,between
23,you
23,and
23,spotify
23,for
23,using
23,the
23,spotify
23,service
23,it
23,also
23,describes
23,the
23,rules
23,of
23,spotify
23,and
23,your
23,user
23,rights
24,about
24,your
24,use
24,of
24,other
24,spotify
24,services
24,which
24,have
24,their
24,own
24,dedicated
24,privacy
24,policy
24,such
24,as
24,anchor
24,soundtrap
24,megaphone
24,and
24,greenroom
25,we
25,have
25,included
25,further
25,information
25,about
25,rights
25,and
25,disclosures
25,as
25,required
25,under
25,the
25,california
25,consumer
25,privacy
25,act
25,ccpa
25,in
25,our
25,california
25,privacy
25,disclosures
25,supplement
26,2
26,your
26,personal
26,data
26,rights
26,and
26,controls
27,privacy
27,laws
27,including
27,the
27,general
27,data
27,protection
27,regulation
27,gdpr
27,give
27,rights
27,to
27,individuals
27,over
27,their
27,personal
27,data
28,see
28,your
28,rights
28,and
28,their
28,descriptions
28,in
28,this
28,table
28,you
28,can
28,also
28,watch
28,our
28,video
28,about
28,your
28,privacy
28,controls
29,it’s
29,your
29,right
29,to
29,access
29,be
29,informed
29,of
29,the
29,personal
29,data
29,we
29,process
29,about
29,you
29,and
29,to
29,request
29,access
29,to
29,it
29,rectification
29,request
29,that
29,we
29,amend
29,or
29,update
29,your
29,personal
29,data
29,where
29,it’s
29,inaccurate
29,or
29,incomplete
29,erasure
29,request
29,that
29,we
29,delete
29,certain
29,of
29,your
29,personal
29,data
29,restriction
29,request
29,that
29,we
29,temporarily
29,or
29,permanently
29,stop
29,processing
29,all
29,or
29,some
29,of
29,your
29,personal
29,data
29,object
29,object
29,to
29,us
29,processing
29,your
29,personal
29,data
29,at
29,any
29,time
29,on
29,grounds
29,relating
29,to
29,your
29,particular
29,situationobject
29,to
29,your
29,personal
29,data
29,being
29,processed
29,for
29,direct
29,marketing
29,purposes
29,data
29,portability
29,request
29,a
29,copy
29,of
29,your
29,personal
29,data
29,in
29,electronic
29,format
29,and
29,the
29,right
29,to
29,transmit
29,that
29,personal
29,data
29,for
29,use
29,in
29,another
29,party’s
29,service
29,not
29,be
29,subject
29,to
29,automated
29,decision
29,making
29,not
29,be
29,subject
29,to
29,a
29,decision
29,based
29,solely
29,on
29,automated
29,decision
29,making
29,decisions
29,without
29,human
29,involvement
29,including
29,profiling
29,where
29,the
29,decision
29,would
29,have
29,a
29,legal
29,effect
29,on
29,you
29,or
29,produce
29,a
29,similarly
29,significant
29,effect
30,how
30,to
30,exercise
30,your
30,rights
30,with
30,spotify
31,access
31,to
31,request
31,a
31,copy
31,of
31,your
31,personal
31,data
31,from
31,spotify
31,visit
31,your
31,account
31,privacy
31,settings
31,there
31,you
31,can
31,automatically
