para,word
1,procedure
1,for
1,claiming
1,that
1,content
1,on
1,spotify
1,infringes
1,your
1,rights
2,if
2,you
2,wish
2,to
2,notify
2,spotify
2,of
2,a
2,claim
2,relating
2,to
2,user
2,generated
2,images
2,playlists
2,and
2,profiles
2,on
2,spotify
2,please
2,visit
2,this
2,web
2,site
2,https
2,support.spotify.com
2,uk
2,using_spotify
2,playlists
2,report
2,a
2,playlist
3,to
3,notify
3,spotify
3,of
3,an
3,infringement
3,claim
3,relating
3,to
3,music
3,podcasts
3,and
3,accompanying
3,artwork
3,on
3,the
3,spotify
3,service
3,please
3,complete
3,the
3,form
3,below
4,please
4,note
4,your
4,statements
4,in
4,this
4,document
4,may
4,subject
4,you
4,to
4,legal
4,consequences
4,you
4,may
4,wish
4,to
4,consult
4,an
4,attorney
4,before
4,submitting
4,a
4,claim
5,if
5,you
5,have
5,concerns
5,unrelated
5,to
5,infringement
5,please
5,refer
5,to
5,our
5,faq
6,denotes
6,a
6,mandatory
6,field
7,your
7,details
8,first
8,name
9,last
9,name
10,company
10,name
11,mailing
11,address
12,email
13,phone
13,number
14,any
14,further
14,contact
14,details
15,your
15,relationship
15,to
15,the
15,rightsholder
16,your
16,relationship
16,to
16,the
16,rightsholder
16,your
16,relationship
16,to
16,the
16,rightsholder
16,rightsholderauthorized
16,agent
16,for
16,the
16,rightsholder
17,name
17,of
17,rightsholder
18,your
18,relationship
18,to
18,the
18,rightsholder
18,your
18,relationship
18,to
18,the
18,rightsholder
18,managerlabelpublisherattorneycollecting
18,societydistributorother
19,infringement
19,claim
20,type
20,of
20,claim
20,type
20,of
20,claim
20,copyrighttrademarkother
21,type
21,of
21,copyright
21,claim
21,type
21,of
21,copyright
21,claim
21,sound
21,recordingsartworkcomposition
22,please
22,identify
22,and
22,describe
22,the
22,authorized
22,copyrighted
22,work
22,and
22,provide
22,a
22,link
22,to
22,an
22,authorized
22,example
22,of
22,the
22,copyrighted
22,work
22,if
22,possible
23,trademark
23,status
23,trademark
23,status
23,registeredunregistered
23,application
23,pending
23,unregistered
23,no
23,application
24,trademark
24,registration
24,numbers
24,if
24,known
25,infringing
25,content
25,type
25,allegedly
25,infringing
25,content
25,musicpodcastartwork
26,in
26,which
26,territories
26,are
26,you
26,asserting
26,rights
26,please
26,choose
26,from
26,the
26,following
26,list
26,or
26,enter
26,a
26,comma
26,separated
26,list
26,of
26,territories
26,below
27,worldwide
28,africa
29,antarctica
30,asia
31,europe
32,north
32,america
33,oceania
34,south
34,america
35,in
35,which
35,territories
35,are
35,you
35,asserting
35,rights
35,please
35,choose
35,from
35,the
35,following
35,list
35,or
35,enter
35,a
35,comma
35,separated
35,list
35,of
35,territories
35,below
36,any
36,other
36,territories
37,please
37,provide
37,the
37,spotify
37,uri
37,s
37,of
37,the
37,allegedly
37,infringing
37,content
37,to
37,find
37,the
37,spotify
37,uri
37,simply
37,right
37,click
37,the
37,track
37,album
37,podcast
37,in
37,the
37,spotify
37,client
37,and
37,select
37,copy
37,spotify
37,uri
38,details
39,please
39,provide
39,the
39,spotify
39,uri
39,s
39,of
39,the
39,allegedly
39,infringing
39,content
39,to
39,find
39,the
39,spotify
39,uri
39,simply
39,right
39,click
39,the
39,track
39,album
39,podcast
39,in
39,the
39,spotify
39,client
39,and
39,select
39,copy
39,spotify
39,uri
40,please
40,describe
40,why
40,how
40,you
40,believe
40,the
40,content
40,in
40,question
40,infringes
40,the
40,rights
40,holder's
40,rights
41,more
41,information
42,please
42,describe
42,why
42,how
42,you
42,believe
42,the
42,content
42,in
42,question
42,infringes
42,the
42,rights
42,holder's
42,rights
43,by
43,clicking
43,on
43,submit
43,claim
43,below
43,you
43,are
43,certifying
43,the
43,following
43,statements
44,i
44,state
44,that
44,under
44,penalty
44,of
44,perjury
44,i
44,am
44,the
44,owner
44,of
44,the
44,exclusive
44,right
44,that
44,is
44,allegedly
44,infringed
44,or
44,an
44,authorized
44,agent
44,for
44,the
44,rightsholder
45,i
45,state
45,that
45,i
45,have
45,a
45,good
45,faith
45,belief
45,that
45,use
45,of
45,the
45,work
45,s
45,in
45,the
45,manner
45,complained
45,of
45,is
45,not
45,authorized
45,by
45,the
45,rightsholder
45,its
45,agent
45,or
45,the
45,law
45,i.e
45,fair
45,use
46,i
46,state
46,that
46,the
46,information
46,in
46,this
46,notification
46,is
46,accurate
47,i
47,understand
47,that
47,my
47,contact
47,information
47,and
47,or
47,claim
47,will
47,be
47,passed
47,to
47,the
47,alleged
47,infringing
47,party
47,and
47,retained
47,as
47,long
47,as
47,required
47,for
47,legal
47,purposes
48,i
48,understand
48,that
48,submitting
48,a
48,fraudulent
48,report
48,or
48,engaging
48,in
48,other
48,misuse
48,of
48,this
48,process
48,may
48,result
48,in
48,legal
48,consequences
48,and
48,or
48,revocation
48,of
48,your
48,right
48,to
48,use
48,this
48,tool
49,typing
49,the
49,date
49,and
49,your
49,full
49,name
49,below
49,will
49,act
49,as
49,a
49,digital
49,signature
50,please
50,note
50,that
50,we
50,may
50,ask
50,for
50,additional
50,information
50,to
50,process
50,your
50,claim
50,if
50,your
50,notice
50,is
50,incomplete
