para,word
2,spotify
2,terms
2,of
2,use
3,effective
3,as
3,of
3,september
3,1st
3,2021
4,introduction
5,the
5,spotify
5,service
5,provided
5,by
5,us
6,your
6,use
6,of
6,the
6,spotify
6,service
7,content
7,and
7,intellectual
7,property
7,rights
8,customer
8,support
8,information
8,questions
8,complaints
9,problems
9,and
9,disputes
10,about
10,these
10,terms
11,1
11,introduction
12,please
12,read
12,these
12,terms
12,of
12,use
12,these
12,terms
12,carefully
12,as
12,they
12,govern
12,your
12,use
12,of
12,which
12,includes
12,access
12,to
12,spotify's
12,personalized
12,services
12,for
12,streaming
12,music
12,and
12,other
12,content
12,including
12,all
12,of
12,our
12,websites
12,and
12,software
12,applications
12,that
12,incorporate
12,or
12,link
12,to
12,these
12,terms
12,collectively
12,the
12,spotify
12,service
12,and
12,any
12,music
12,videos
12,podcasts
12,or
12,other
12,material
12,that
12,is
12,made
12,available
12,through
12,the
12,spotify
12,service
12,the
12,content
13,use
13,of
13,the
13,spotify
13,service
13,may
13,be
13,subject
13,to
13,additional
13,terms
13,and
13,conditions
13,presented
13,by
13,spotify
13,which
13,are
13,hereby
13,incorporated
13,by
13,this
13,reference
13,into
13,these
13,terms
14,by
14,signing
14,up
14,for
14,or
14,otherwise
14,using
14,the
14,spotify
14,service
14,you
14,agree
14,to
14,these
14,terms
14,if
14,you
14,do
14,not
14,agree
14,to
14,these
14,terms
14,then
14,you
14,must
14,not
14,use
14,the
14,spotify
14,service
14,or
14,access
14,any
14,content
15,these
15,terms
15,contain
15,a
15,mandatory
15,arbitration
15,provision
15,that
15,as
15,further
15,set
15,forth
15,in
15,section
15,6
15,below
15,requires
15,the
15,use
15,of
15,arbitration
15,on
15,an
15,individual
15,basis
15,to
15,resolve
15,disputes
15,rather
15,than
15,jury
15,trials
15,or
15,any
15,other
15,court
15,proceedings
15,or
15,class
15,actions
15,of
15,any
15,kind
16,service
16,provider
17,these
17,terms
17,are
17,between
17,you
17,and
17,spotify
17,usa
17,inc
17,4
17,world
17,trade
17,center
17,150
17,greenwich
17,street
17,62nd
17,floor
17,new
17,york
17,ny
17,10007
18,age
18,and
18,eligibility
18,requirements
19,by
19,using
19,the
19,spotify
19,service
19,you
19,affirm
19,that
19,you
19,are
19,18
19,years
19,or
19,older
19,to
19,enter
19,into
19,these
19,terms
19,or
19,if
19,you
19,are
19,not
19,that
19,you
19,are
19,13
19,years
19,or
19,older
19,and
19,have
19,obtained
19,parental
19,or
19,guardian
19,consent
19,to
19,enter
19,into
19,these
19,terms
19,additionally
19,in
19,order
19,to
19,use
19,the
19,spotify
19,service
19,and
19,access
19,any
19,content
19,you
19,represent
19,that
19,you
19,reside
19,in
19,the
19,united
19,states
19,and
19,any
19,registration
19,and
19,account
19,information
19,that
19,you
19,submit
19,to
19,spotify
19,is
19,true
19,accurate
19,and
19,complete
19,and
19,you
19,agree
19,to
19,keep
19,it
19,that
19,way
19,at
19,all
19,times
20,2
20,the
20,spotify
20,service
20,provided
20,by
20,us
21,spotify
21,service
21,options
22,we
22,provide
22,numerous
22,spotify
22,service
22,options
22,certain
22,spotify
22,service
22,options
22,are
22,provided
22,free
22,of
22,charge
22,while
22,other
22,options
22,require
22,payment
22,before
22,they
22,can
22,be
22,accessed
22,the
22,paid
22,subscriptions
22,we
22,may
22,also
22,offer
22,special
22,promotional
22,plans
22,memberships
22,or
22,services
22,including
22,offerings
22,of
22,third
22,party
22,products
22,and
22,services
22,we
22,are
22,not
22,responsible
22,for
22,the
22,products
22,and
22,services
22,provided
22,by
22,such
22,third
22,parties
23,trials
24,from
24,time
24,to
24,time
24,we
24,or
24,others
24,on
24,our
24,behalf
24,may
24,offer
24,trials
24,of
24,paid
24,subscriptions
24,for
24,a
24,specified
24,period
24,without
24,payment
24,or
24,at
24,a
24,reduced
24,rate
24,a
24,trial
24,by
24,using
24,a
24,spotify
24,service
24,via
24,a
24,trial
24,you
24,agree
24,to
24,the
24,spotify
24,premium
24,promotional
24,offer
24,terms
25,third
25,party
25,applications
25,devices
25,and
25,open
25,source
25,software
26,the
26,spotify
26,service
26,may
26,be
26,integrated
26,with
26,or
26,may
26,otherwise
26,interact
26,with
26,third
26,party
26,applications
26,websites
26,and
26,services
26,third
26,party
26,applications
26,and
26,third
26,party
26,personal
26,computers
26,mobile
26,handsets
26,tablets
26,wearable
26,devices
26,speakers
26,and
26,other
26,devices
26,devices
26,your
26,use
26,of
26,such
26,third
26,party
26,applications
26,and
26,devices
26,may
26,be
26,subject
26,to
26,additional
26,terms
26,conditions
26,and
26,policies
26,provided
26,to
26,you
26,by
26,the
26,applicable
26,third
26,party
26,spotify
26,does
26,not
26,guarantee
26,that
26,third
26,party
26,applications
26,and
26,devices
26,will
26,be
26,compatible
26,with
26,the
26,spotify
26,service
27,service
27,limitations
27,and
27,modifications
28,we
28,use
28,reasonable
28,efforts
28,to
28,keep
28,the
28,spotify
28,service
28,operational
28,and
28,to
28,provide
28,you
28,with
28,a
28,personalized
28,immersive
28,audio
28,experience
28,however
28,our
28,service
28,offerings
28,and
28,their
28,availability
28,may
28,change
28,from
28,time
28,to
28,time
28,without
28,liability
28,to
28,you
28,for
28,example
29,if
29,you
29,have
29,prepaid
29,fees
29,directly
29,to
29,spotify
29,for
29,a
29,paid
29,subscription
29,that
29,spotify
29,permanently
29,discontinues
29,prior
29,to
29,the
29,end
29,of
29,your
29,pre
29,paid
29,period
29,as
29,that
29,term
29,is
29,defined
29,in
29,the
29,payments
29,and
29,cancellations
29,section
29,below
29,spotify
29,will
29,refund
29,you
29,the
29,prepaid
29,fees
29,for
29,the
29,pre
29,paid
29,period
29,after
29,such
29,discontinuation
29,your
29,account
29,and
29,billing
29,information
29,must
29,be
29,up
29,to
29,date
29,in
29,order
29,for
29,us
29,to
29,refund
29,you
30,spotify
30,has
30,no
30,liability
30,to
30,you
30,nor
30,any
30,obligation
30,to
30,provide
30,a
30,refund
30,to
30,you
30,in
30,connection
30,with
30,internet
30,or
30,other
30,service
30,outages
30,or
30,failures
30,that
30,are
30,caused
30,by
30,the
30,actions
30,of
30,government
30,authorities
30,other
30,third
30,parties
30,or
30,events
30,beyond
30,our
30,control
31,3
31,your
31,use
31,of
31,the
31,spotify
31,service
32,creating
32,a
32,spotify
32,account
33,you
33,may
33,need
33,to
33,create
33,a
33,spotify
33,account
33,to
33,use
33,all
33,or
33,part
33,of
33,the
33,spotify
33,service
33,your
33,username
33,and
33,password
33,are
33,for
33,your
33,personal
33,use
33,only
33,and
33,should
33,be
33,kept
33,confidential
33,you
33,understand
33,that
33,you
33,are
33,responsible
33,for
33,all
33,use
33,including
33,any
33,unauthorized
33,use
33,of
33,your
33,username
33,and
33,password
33,notify
33,our
33,customer
33,service
33,team
33,immediately
33,if
33,your
33,username
33,or
33,password
33,is
33,lost
33,or
33,stolen
33,or
33,if
33,you
33,believe
33,there
33,has
33,been
33,unauthorized
33,access
33,to
33,your
33,account
34,spotify
34,may
34,reclaim
34,or
34,require
34,you
34,to
34,change
34,your
34,username
34,for
34,any
34,reason
35,your
35,rights
35,to
35,use
35,the
35,spotify
35,service
36,subject
36,to
36,your
36,compliance
36,with
36,these
36,terms
36,including
36,any
36,other
36,applicable
36,terms
36,and
36,conditions
36,we
36,grant
36,to
36,you
36,limited
36,non
36,exclusive
36,revocable
36,permission
36,to
36,make
36,personal
36,non
36,commercial
36,use
36,of
36,the
36,spotify
36,service
36,and
36,the
36,content
36,collectively
36,access
36,this
36,access
36,shall
36,remain
36,in
36,effect
36,unless
36,and
36,until
36,terminated
36,by
36,you
36,or
36,spotify
36,you
36,agree
36,that
36,you
36,will
36,not
36,redistribute
36,or
36,transfer
36,the
36,spotify
36,service
36,or
36,the
36,content
37,the
37,spotify
37,software
37,applications
37,and
37,the
37,content
37,are
37,licensed
37,not
37,sold
37,or
37,transferred
37,to
37,you
37,and
37,spotify
37,and
37,its
37,licensors
37,retain
37,ownership
37,of
37,all
37,copies
37,of
37,the
37,spotify
37,software
37,applications
37,and
37,content
37,even
37,after
37,installation
37,on
37,your
37,devices
38,the
38,spotify
38,service
38,and
38,the
38,content
38,are
38,the
38,property
38,of
38,spotify
38,or
38,spotify's
38,licensors
38,all
38,spotify
38,trademarks
38,service
38,marks
38,trade
38,names
38,logos
38,domain
38,names
38,and
38,any
38,other
38,features
38,of
38,the
38,spotify
38,brand
38,spotify
38,brand
38,features
38,are
38,the
38,sole
38,property
38,of
38,spotify
38,or
38,its
38,licensors
38,these
38,terms
38,do
38,not
38,grant
38,you
38,any
38,rights
38,to
38,use
38,any
38,spotify
38,brand
38,features
38,whether
38,for
38,commercial
38,or
38,non
38,commercial
38,use
39,you
39,agree
39,to
39,abide
39,by
39,the
39,spotify
39,user
39,guidelines
39,and
39,not
39,to
39,use
39,the
39,spotify
39,service
39,the
39,content
39,or
39,any
39,part
39,thereof
39,in
39,any
39,manner
39,not
39,expressly
39,permitted
39,by
39,these
39,terms
40,payments
40,and
40,cancellation
41,you
41,may
41,purchase
41,a
41,paid
41,subscription
41,directly
41,from
41,spotify
41,or
41,through
41,a
41,third
41,party
41,either
41,by
42,tax
42,rates
42,are
42,calculated
42,based
42,on
42,the
42,information
42,you
42,provide
42,and
42,the
42,applicable
42,rate
42,at
42,the
42,time
42,of
42,your
42,monthly
42,charge
43,if
43,you
43,purchase
43,access
43,to
43,a
43,paid
43,subscription
43,through
43,a
43,third
43,party
43,separate
43,terms
43,and
43,conditions
43,with
43,such
43,third
43,party
43,may
43,apply
43,to
43,your
43,use
43,of
43,the
43,spotify
43,service
43,in
43,addition
43,to
43,these
43,terms
43,please
43,contact
43,the
43,third
43,party
43,regarding
43,any
43,refunds
43,or
43,to
43,manage
43,your
43,subscription
43,if
43,you
43,purchase
43,a
43,paid
43,subscription
43,using
43,a
43,code
43,gift
43,card
43,pre
43,paid
43,offer
43,or
43,other
43,offer
43,provided
43,or
43,sold
43,by
43,or
43,on
43,behalf
43,of
43,spotify
43,for
43,access
43,to
43,a
43,paid
43,subscription
43,codes
43,you
43,hereby
43,agree
43,to
43,the
43,spotify
43,card
43,terms
44,spotify
44,may
44,from
44,time
44,to
44,time
44,make
44,changes
44,to
44,paid
44,subscriptions
44,including
44,recurring
44,subscription
44,fees
44,the
44,pre
44,paid
44,period
44,for
44,periods
44,not
44,yet
44,paid
44,or
44,codes
44,and
44,will
44,communicate
44,any
44,price
44,changes
44,to
44,you
44,in
44,advance
44,price
44,changes
44,will
44,take
44,effect
44,at
44,the
44,start
44,of
44,the
44,next
44,subscription
44,period
44,following
44,the
44,date
44,of
44,the
44,price
44,change
44,and
44,by
44,continuing
44,to
44,use
44,the
44,spotify
44,service
44,after
44,the
44,price
44,change
44,takes
44,effect
44,you
44,will
44,have
44,accepted
44,the
44,new
44,price
44,if
44,you
44,do
44,not
44,agree
44,to
44,a
44,price
44,change
44,you
44,can
44,reject
44,the
44,change
44,by
44,unsubscribing
44,from
44,the
44,applicable
44,paid
44,subscription
44,prior
44,to
44,the
44,price
44,change
44,going
44,into
44,effect
45,tax
45,rates
45,are
45,based
45,on
45,the
45,rates
45,applicable
45,at
45,the
45,time
45,of
45,your
45,monthly
45,charge
45,these
45,amounts
45,can
45,change
45,over
45,time
45,with
45,local
45,tax
45,requirements
45,in
45,your
45,country
45,state
45,territory
45,county
45,or
45,city
45,any
45,change
45,in
45,tax
45,rate
45,will
45,be
45,automatically
45,applied
45,based
45,on
