type,policy_name,target_url,target_dt,snapshot_dt,snapshot_url,word_count
primary,Terms of Use,https://gotinder.com/terms,2013-03-01,2013-04-01T00:30:35Z,http://web.archive.org/web/20130401003035/http://www.gotinder.com:80/terms/,3152
primary,Terms of Use,https://gotinder.com/terms,2013-04-01,2013-04-01T00:30:35Z,http://web.archive.org/web/20130401003035/http://www.gotinder.com:80/terms/,3152
primary,Terms of Use,https://gotinder.com/terms,2013-05-01,2013-04-01T00:30:35Z,http://web.archive.org/web/20130401003035/http://www.gotinder.com:80/terms/,3152
primary,Terms of Use,https://gotinder.com/terms,2013-06-01,2013-04-01T00:30:35Z,http://web.archive.org/web/20130401003035/http://www.gotinder.com:80/terms/,3152
primary,Terms of Use,https://gotinder.com/terms,2013-07-01,2013-04-01T00:30:35Z,http://web.archive.org/web/20130401003035/http://www.gotinder.com:80/terms/,3152
primary,Terms of Use,https://gotinder.com/terms,2013-08-01,2013-04-01T00:30:35Z,http://web.archive.org/web/20130401003035/http://www.gotinder.com:80/terms/,3152
primary,Terms of Use,https://gotinder.com/terms,2013-09-01,2013-04-01T00:30:35Z,http://web.archive.org/web/20130401003035/http://www.gotinder.com:80/terms/,3152
primary,Terms of Use,https://gotinder.com/terms,2013-10-01,2013-04-01T00:30:35Z,http://web.archive.org/web/20130401003035/http://www.gotinder.com:80/terms/,3152
primary,Terms of Use,https://gotinder.com/terms,2013-11-01,2013-04-01T00:30:35Z,http://web.archive.org/web/20130401003035/http://www.gotinder.com:80/terms/,3152
primary,Terms of Use,https://gotinder.com/terms,2013-12-01,2013-04-01T00:30:35Z,http://web.archive.org/web/20130401003035/http://www.gotinder.com:80/terms/,3152
primary,Terms of Use,https://gotinder.com/terms,2014-01-01,2014-02-09T01:25:25Z,http://web.archive.org/web/20140209012525/http://www.gotinder.com:80/terms/,3083
primary,Terms of Use,https://gotinder.com/terms,2014-02-01,2014-02-09T01:25:25Z,http://web.archive.org/web/20140209012525/http://www.gotinder.com:80/terms/,3083
primary,Terms of Use,https://gotinder.com/terms,2014-03-01,2014-02-09T01:25:25Z,http://web.archive.org/web/20140209012525/http://www.gotinder.com:80/terms/,3083
primary,Terms of Use,https://gotinder.com/terms,2014-04-01,2014-02-09T01:25:25Z,http://web.archive.org/web/20140209012525/http://www.gotinder.com:80/terms/,3083
primary,Terms of Use,https://gotinder.com/terms,2014-05-01,2014-02-09T01:25:25Z,http://web.archive.org/web/20140209012525/http://www.gotinder.com:80/terms/,3083
primary,Terms of Use,https://gotinder.com/terms,2014-06-01,2014-02-09T01:25:25Z,http://web.archive.org/web/20140209012525/http://www.gotinder.com:80/terms/,3083
primary,Terms of Use,https://gotinder.com/terms,2014-07-01,2014-02-09T01:25:25Z,http://web.archive.org/web/20140209012525/http://www.gotinder.com:80/terms/,3083
primary,Terms of Use,https://gotinder.com/terms,2014-08-01,2014-02-09T01:25:25Z,http://web.archive.org/web/20140209012525/http://www.gotinder.com:80/terms/,3083
primary,Terms of Use,https://gotinder.com/terms,2014-09-01,2014-02-09T01:25:25Z,http://web.archive.org/web/20140209012525/http://www.gotinder.com:80/terms/,3083
primary,Terms of Use,https://gotinder.com/terms,2014-10-01,2014-02-09T01:25:25Z,http://web.archive.org/web/20140209012525/http://www.gotinder.com:80/terms/,3083
primary,Terms of Use,https://gotinder.com/terms,2014-11-01,2014-02-09T01:25:25Z,http://web.archive.org/web/20140209012525/http://www.gotinder.com:80/terms/,3083
primary,Terms of Use,https://gotinder.com/terms,2014-12-01,2014-02-09T01:25:25Z,http://web.archive.org/web/20140209012525/http://www.gotinder.com:80/terms/,3083
primary,Terms of Use,https://gotinder.com/terms,2015-01-01,2015-01-13T07:31:29Z,http://web.archive.org/web/20150113073129/http://www.gotinder.com:80/terms,0
primary,Terms of Use,https://gotinder.com/terms,2015-02-01,2015-01-13T07:31:29Z,http://web.archive.org/web/20150113073129/http://www.gotinder.com:80/terms,0
primary,Terms of Use,https://gotinder.com/terms,2015-03-01,2015-01-13T07:31:29Z,http://web.archive.org/web/20150113073129/http://www.gotinder.com:80/terms,0
primary,Terms of Use,https://gotinder.com/terms,2015-04-01,2015-01-13T07:31:29Z,http://web.archive.org/web/20150113073129/http://www.gotinder.com:80/terms,0
