para,word
1,tinder
2,terms
2,of
2,service
3,last
3,updated
3,march
3,26
3,2013
4,please
4,read
4,this
4,document
4,carefully
5,tinder
5,inc
5,tinder
5,co
5,we
5,or
5,us
5,operates
5,the
5,tinder
5,mobile
5,app
5,and
5,related
5,website
5,tinder
5,by
5,using
5,tinder
5,in
5,any
5,way
5,you
5,accept
5,these
5,terms
5,of
5,service
5,agreement
5,if
5,you
5,do
5,not
5,wish
5,to
5,be
5,bound
5,by
5,this
5,agreement
5,do
5,not
5,use
5,tinder
6,contents
7,who
7,may
7,use
7,tinder
8,license
8,to
8,use
8,tinder
9,privacy
10,registration
11,term
11,and
11,termination
11,account
11,deletion
12,disclaimers
12,limitation
12,of
12,liability
13,code
13,of
13,conduct
13,prohibited
13,activities
14,content
14,restrictions
15,licenses
15,granted
15,by
15,you
16,your
16,representations
16,and
16,warranties
17,indemnification
18,third
18,party
18,copyrights
18,and
18,other
18,rights
19,general
19,provisions
20,who
20,may
20,use
20,tinder
21,you
21,must
21,be
21,at
21,least
21,13
21,years
21,old
21,to
21,use
21,tinder
21,use
21,is
21,void
21,where
21,prohibited
21,by
21,using
21,tinder
21,you
21,represent
21,and
21,warrant
21,that
21,you
21,have
21,the
21,right
21,authority
21,and
21,capacity
21,to
21,enter
21,into
21,this
21,agreement
21,and
21,to
21,abide
21,by
21,all
21,of
21,the
21,terms
21,and
21,conditions
21,of
21,this
21,agreement
21,if
21,you
21,use
21,tinder
21,you
21,represent
21,and
21,warrant
21,that
21,you
21,have
21,never
21,been
21,convicted
21,of
21,a
21,felony
21,and
21,that
21,you
21,are
21,not
21,required
21,to
21,register
21,as
21,a
21,sex
21,offender
21,with
21,any
21,government
21,entity
22,license
22,to
22,use
22,tinder
23,tinder
23,co
23,grants
23,you
23,a
23,limited
23,non
23,exclusive
23,license
23,to
23,access
23,and
23,use
23,tinder
23,for
23,your
23,own
23,personal
23,non
23,commercial
23,purposes
23,this
23,license
23,is
23,personal
23,to
23,you
23,and
23,may
23,not
23,be
23,assigned
23,or
23,sublicensed
23,to
23,anyone
23,else
24,except
24,as
24,expressly
24,permitted
24,by
24,tinder
24,co
24,in
24,writing
24,you
24,will
24,not
24,reproduce
24,redistribute
24,sell
24,create
24,derivative
24,works
24,from
24,decompile
24,reverse
24,engineer
24,or
24,disassemble
24,tinder
24,nor
24,will
24,you
24,take
24,any
24,measures
24,to
24,interfere
24,with
24,or
24,damage
24,tinder
24,all
24,rights
24,not
24,expressly
24,granted
24,by
24,tinder
24,co
24,are
24,reserved
25,privacy
26,your
26,privacy
26,rights
26,are
26,set
26,forth
26,in
26,our
26,privacy
26,policy
26,privacy
26,policy
26,which
26,forms
26,a
26,part
26,of
26,this
26,agreement
26,please
26,review
26,the
26,privacy
26,policy
26,to
26,learn
26,about
27,what
27,information
27,we
27,may
27,collect
27,about
27,you
28,what
28,we
28,use
28,that
28,information
28,for
29,what
29,third
29,party
29,information
29,if
29,any
29,you
29,are
29,agreeing
29,to
29,share
29,by
29,using
29,tiner
29,and
30,with
30,whom
30,we
30,share
30,that
30,information
31,registration
32,to
32,use
32,tinder
32,you
32,must
32,register
32,an
32,account
32,your
32,facebook
32,login
32,meaning
32,you
32,are
32,authorizing
32,us
32,to
32,access
32,certain
32,information
32,in
32,your
32,facebook
32,account
32,including
32,information
32,about
32,facebook
32,friends
32,you
32,might
32,share
32,in
32,common
32,with
32,other
32,tinder
32,users
32,by
32,allowing
32,us
32,to
32,access
32,your
32,facebook
32,account
32,you
32,expressly
32,acknowledge
32,and
32,agree
32,that
32,we
32,may
32,obtain
32,and
32,share
32,your
32,name
32,and
32,a
32,profile
32,picture
32,as
32,well
32,as
32,the
32,name
32,and
32,profile
32,picture
32,of
32,your
32,facebook
32,friends
32,who
32,are
32,common
32,facebook
32,friends
32,with
32,other
32,tinder
32,users
32,in
32,your
32,network
32,or
32,geolocation
32,please
32,take
32,precautions
32,to
32,protect
32,your
32,password
32,and
32,contact
32,us
32,at
32,help
32,gotinder.com
32,if
32,you
32,believe
32,your
32,account
32,has
32,been
32,accessed
32,by
32,an
32,unauthorized
32,person
33,term
33,and
33,termination
33,account
33,deletion
34,this
34,agreement
34,begins
34,on
34,the
34,date
34,you
34,first
34,use
34,tinder
34,and
34,continues
34,until
34,terminated
34,in
34,accordance
34,with
34,the
34,provisions
34,hereof
35,tinder
35,co.may
35,suspend
35,disable
35,or
35,delete
35,your
35,account
