para,word
1,safety
2,our
2,commitment
2,to
2,safety
3,match
3,group’s
3,safety
3,tools
4,match
4,group’s
4,safety
4,policies
5,response
5,to
5,reports
5,of
5,assault
6,match
6,group
6,advisory
6,council
7,government
7,relations
8,user
8,education
9,our
9,commitment
9,to
9,safety
10,at
10,match
10,group
10,the
10,safety
10,security
10,and
10,well
10,being
10,of
10,our
10,users
10,is
10,something
10,we
10,take
10,very
10,seriously
10,we
10,consider
10,it
10,a
10,top
10,priority
10,while
10,relatively
10,few
10,of
10,the
10,hundreds
10,of
10,millions
10,of
10,people
10,that
10,have
10,used
10,our
10,products
10,have
10,been
10,harmed
10,by
10,bad
10,actors
10,we
10,believe
10,that
10,any
10,incident
10,of
10,misconduct
10,or
10,criminal
10,behavior
10,is
10,one
10,too
10,many
11,we
11,have
11,various
11,brands
11,in
11,our
11,portfolio
11,that
11,employ
11,different
11,tools
11,processes
11,and
11,policies
11,to
11,foster
11,respectful
11,communities
11,and
11,environments
11,the
11,information
11,provided
11,below
11,gives
11,an
11,overview
11,of
11,these
11,technologies
11,and
11,methods
11,depending
11,on
11,the
11,needs
11,of
11,each
11,platform
11,and
11,the
11,audiences
11,they
11,serve
11,different
11,tools
11,may
11,be
11,adopted
11,by
11,different
11,brands
11,however
11,the
11,objective
11,is
11,universal
11,we
11,are
11,committed
11,to
11,creating
11,a
11,safe
11,and
11,positive
11,experience
11,for
11,all
11,our
11,users
11,on
11,all
11,our
11,platforms
13,match
13,group’s
13,safety
13,tools
14,we
14,use
14,a
14,network
14,of
14,trusted
14,safety
14,tools
15,match
15,group
15,brands
15,use
15,a
15,network
15,of
15,industry
15,leading
15,automated
15,and
15,manual
15,moderation
15,and
15,review
15,tools
15,technology
15,process
15,and
15,policies
15,we
15,spend
15,millions
15,of
15,dollars
15,annually
15,to
15,prevent
15,detect
15,and
15,remove
15,people
15,who
15,engage
15,in
15,inappropriate
15,behavior
15,on
15,our
15,platforms
15,examples
15,of
15,tools
15,our
15,brands
15,use
15,include
17,automatic
17,scans
17,of
17,profiles
17,upon
17,creation
17,for
