para,word
1,p
1,width
1,95
2,twitter
2,privacy
2,policy
3,this
3,privacy
3,policy
3,describes
3,twitter's
3,policies
3,and
3,procedures
3,on
3,the
3,collection
3,use
3,and
3,disclosure
3,of
3,your
3,information
3,twitter
3,receives
3,your
3,information
3,through
3,our
3,various
3,web
3,sites
3,sms
3,apis
3,services
3,and
3,third
3,parties
3,services
3,when
3,using
3,any
3,of
3,our
3,services
3,you
3,consent
3,to
3,the
3,collection
3,transfer
3,manipulation
3,storage
3,disclosure
3,and
3,other
3,uses
3,of
3,your
3,information
3,as
3,described
3,in
3,this
3,privacy
3,policy
3,irrespective
3,of
3,which
3,country
3,that
3,you
3,reside
3,in
3,or
3,create
3,information
3,from
3,your
3,information
3,may
3,be
3,used
3,by
3,twitter
3,in
3,the
3,united
3,states
3,or
3,any
3,other
3,country
3,where
3,twitter
3,operates
4,if
4,you
4,have
4,any
4,questions
4,or
4,comments
4,about
4,this
4,privacy
4,policy
4,please
4,contact
4,us
4,at
4,eval
4,unescape
4,64
4,6f
4,63
4,75
4,6d
4,65
4,6e
4,74
4,2e
4,77
4,72
4,69
4,74
4,65
4,28
4,27
4,3c
4,61
4,20
4,68
4,72
4,65
4,66
4,3d
4,22
4,6d
4,61
4,69
4,6c
4,74
4,6f
4,3a
4,70
4,72
4,69
4,76
4,61
4,63
4,79
4,40
4,74
4,77
4,69
4,74
4,74
4,65
4,72
4,2e
4,63
4,6f
4,6d
4,22
4,3e
4,70
4,72
4,69
4,76
4,61
4,63
4,79
4,40
4,74
4,77
4,69
4,74
4,74
4,65
4,72
4,2e
4,63
4,6f
4,6d
4,3c
4,2f
4,61
4,3e
4,27
4,29
4,3b
5,information
5,collection
5,and
5,use
6,tip
6,we
6,collect
6,and
6,use
6,your
6,information
6,to
6,provide
6,our
6,services
6,and
6,improve
6,them
6,over
6,time
7,information
7,collected
7,upon
7,registration
7,when
7,you
7,create
7,or
7,reconfigure
7,a
7,twitter
7,account
7,you
7,provide
7,some
7,personal
7,information
7,such
7,as
7,your
7,name
7,username
7,password
7,and
7,email
7,address
7,some
7,of
7,this
7,information
7,for
7,example
7,your
7,name
7,and
7,username
7,is
7,listed
7,publicly
7,on
7,our
7,services
7,including
7,on
7,your
7,profile
7,page
7,and
7,in
7,search
7,results
7,some
7,services
7,such
7,as
7,search
7,public
7,user
7,profiles
7,and
7,viewing
7,lists
7,do
7,not
7,require
7,registration
8,additional
8,information
8,you
8,may
8,provide
8,us
8,with
8,additional
8,information
8,to
8,make
8,public
8,such
8,as
8,a
8,short
8,biography
8,your
8,location
8,or
8,a
8,picture
8,you
8,may
8,customize
8,your
8,account
8,with
8,information
8,such
8,as
8,a
8,cell
8,phone
8,number
8,for
8,the
8,delivery
8,of
8,sms
8,messages
8,or
8,your
8,address
8,book
8,so
8,that
8,we
8,can
8,help
8,you
8,find
8,twitter
8,users
8,you
8,know
8,we
8,may
8,use
8,your
8,contact
8,information
8,to
8,send
8,you
8,information
8,about
8,our
8,services
8,or
8,to
8,market
8,to
8,you
8,you
8,may
8,unsubscribe
8,from
8,these
8,messages
8,by
8,following
8,the
8,instructions
8,contained
8,within
8,the
8,messages
8,or
8,the
8,instructions
8,on
8,our
8,web
8,site
8,if
8,you
8,email
8,us
8,we
8,may
8,keep
8,your
8,message
8,email
8,address
8,and
8,contact
8,information
8,to
8,respond
8,to
8,your
8,request
8,providing
8,the
8,additional
8,information
8,described
8,in
8,this
8,section
8,is
8,entirely
8,optional
9,tweets
9,following
9,lists
9,and
9,other
9,public
9,information
9,our
9,services
9,are
9,primarily
9,designed
9,to
9,help
9,you
9,share
9,information
9,with
9,the
9,world
9,most
9,of
9,the
9,information
9,you
9,provide
9,to
9,us
9,is
9,information
9,you
9,are
9,asking
9,us
9,to
9,make
9,public
9,this
9,includes
9,not
9,only
9,the
9,messages
9,you
9,tweet
9,and
9,the
9,metadata
9,provided
9,with
9,tweets
9,such
9,as
9,when
9,you
9,tweeted
9,but
9,also
9,the
9,lists
9,you
9,create
9,the
9,people
9,you
9,follow
9,the
9,tweets
9,you
9,mark
9,as
9,favorites
9,or
9,retweet
9,and
9,many
9,other
9,bits
9,of
9,information
9,our
9,default
9,is
9,almost
9,always
9,to
9,make
9,the
9,information
9,you
9,provide
9,public
9,but
9,we
9,generally
9,give
9,you
9,settings
9,to
9,make
9,the
9,information
9,more
9,private
9,if
9,you
9,want
9,your
9,public
9,information
9,is
9,broadly
9,and
9,instantly
9,disseminated
9,for
9,example
9,your
9,public
9,tweets
9,are
9,searchable
9,by
9,many
9,search
9,engines
9,and
9,are
9,immediately
9,delivered
9,via
9,sms
9,and
9,our
9,apis
9,to
9,a
9,wide
9,range
9,of
9,users
9,and
9,services
9,you
9,should
9,be
9,careful
9,about
9,all
9,information
9,that
9,will
9,be
9,made
9,public
9,by
9,twitter
9,not
9,just
9,your
9,tweets
10,tip
10,what
10,you
10,say
10,on
10,twitter
10,may
10,be
10,viewed
10,all
10,around
10,the
10,world
10,instantly
11,location
11,information
11,you
11,may
11,choose
11,to
11,note
11,your
11,location
11,in
11,your
11,tweets
11,and
11,in
11,your
11,twitter
11,profile
11,if
11,you
11,turn
11,on
11,tweeting
11,with
11,your
11,location
11,we
11,may
11,also
11,save
11,exact
11,coordinates
11,to
11,help
11,improve
11,our
11,service
11,you
11,can
11,control
11,your
11,location
11,information
11,settings
11,in
11,your
11,account
11,settings
12,log
12,data
12,our
12,servers
12,automatically
12,record
12,information
12,log
12,data
12,created
12,by
12,your
12,use
12,of
12,the
12,services
12,log
12,data
12,may
12,include
12,information
12,such
12,as
12,your
12,ip
12,address
12,browser
12,type
12,the
12,referring
12,domain
12,pages
12,visited
12,and
12,search
12,terms
12,other
12,actions
12,such
12,as
12,interactions
12,with
12,advertisements
12,may
12,also
12,be
12,included
12,in
12,log
12,data
13,links
13,twitter
13,may
13,keep
13,track
13,of
13,how
13,you
13,interact
13,with
13,links
13,in
13,tweets
13,across
13,our
13,services
13,including
13,third
13,party
13,clients
13,by
13,redirecting
13,clicks
13,or
13,through
13,other
13,means
13,we
13,do
13,this
13,to
13,help
13,improve
13,our
13,services
13,including
13,advertising
13,and
13,to
13,be
13,able
13,to
13,share
13,aggregate
13,click
13,statistics
13,such
13,as
13,how
13,many
13,times
13,a
13,particular
13,link
13,was
13,clicked
13,on
14,cookies
14,like
14,many
14,websites
14,we
14,use
14,cookie
14,technology
14,to
14,collect
14,additional
14,website
14,usage
14,data
14,and
14,to
14,improve
14,our
14,services
14,but
14,we
14,do
14,not
14,require
14,cookies
14,for
14,many
14,parts
14,of
14,our
14,services
14,such
14,as
14,searching
14,and
14,looking
14,at
14,public
14,user
14,profiles
14,or
14,lists
14,a
14,cookie
14,is
14,a
14,small
14,data
14,file
14,that
14,is
14,transferred
14,to
14,your
14,computer's
14,hard
14,disk
14,twitter
14,may
14,use
14,both
14,session
14,cookies
14,and
14,persistent
14,cookies
14,to
14,better
14,understand
14,how
14,you
14,interact
14,with
14,our
14,services
14,to
14,monitor
14,aggregate
14,usage
14,by
14,our
14,users
14,and
14,web
14,traffic
14,routing
14,on
14,our
14,services
14,and
14,to
14,improve
14,our
14,services
14,most
14,internet
14,browsers
14,automatically
14,accept
14,cookies
14,you
14,can
14,instruct
14,your
14,browser
14,by
14,editing
14,its
14,options
14,to
14,stop
14,accepting
14,cookies
14,or
14,to
14,prompt
14,you
14,before
14,accepting
14,a
14,cookie
14,from
14,the
14,websites
14,you
14,visit
15,third
15,party
15,services
15,twitter
15,uses
15,a
15,variety
15,of
15,services
15,hosted
15,by
15,third
15,parties
15,to
15,help
15,provide
15,our
15,services
15,such
15,as
15,hosting
15,our
15,various
15,blogs
15,and
15,wikis
15,and
15,to
15,help
15,us
15,understand
15,the
15,use
15,of
15,our
15,services
15,such
15,as
15,google
15,analytics
15,these
15,services
15,may
15,collect
15,information
15,sent
15,by
15,your
15,browser
15,as
15,part
15,of
15,a
15,web
15,page
15,request
15,such
15,as
15,cookies
15,or
15,your
15,ip
15,request
16,information
16,sharing
16,and
16,disclosure
17,tip
17,we
17,do
17,not
17,disclose
17,your
17,private
17,information
17,except
17,in
17,the
17,limited
17,circumstances
17,described
17,here
18,your
18,consent
18,we
18,may
18,share
18,or
18,disclose
18,your
18,information
18,with
18,your
18,consent
18,such
18,as
18,when
18,you
18,use
18,a
18,third
18,party
18,web
18,client
18,to
18,access
18,your
18,twitter
18,account
19,service
19,providers
19,we
19,engage
19,certain
19,trusted
19,third
19,parties
19,to
19,perform
19,functions
19,and
19,provide
19,services
19,to
19,us
19,we
19,may
19,share
19,your
19,personal
19,information
19,with
19,these
19,third
19,parties
19,but
19,only
19,to
19,the
19,extent
19,necessary
19,to
19,perform
19,these
19,functions
19,and
19,provide
19,such
19,services
19,and
19,only
19,pursuant
19,to
19,obligations
19,mirroring
19,the
19,protections
19,of
19,this
19,privacy
19,policy
20,law
20,and
20,harm
20,we
20,may
20,disclose
20,your
20,information
20,if
20,we
20,believe
20,that
20,it
20,is
20,reasonably
20,necessary
20,to
20,comply
20,with
20,a
20,law
20,regulation
20,or
20,legal
20,request
20,to
20,protect
20,the
20,safety
20,of
20,any
20,person
20,to
20,address
20,fraud
20,security
20,or
20,technical
20,issues
20,or
20,to
20,protect
20,twitter's
20,rights
20,or
20,property
21,business
21,transfers
21,in
21,the
21,event
21,that
21,twitter
21,is
21,involved
21,in
21,a
21,bankruptcy
21,merger
21,acquisition
